region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,8549,70.73 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,PRESIDENT PHILIPPINES,2,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,2848,23.56 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,PRESIDENT PHILIPPINES,3,"ROBREDO, LENI (IND)",IND,468,3.87 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,PRESIDENT PHILIPPINES,4,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,100,0.82 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,PRESIDENT PHILIPPINES,5,"LACSON, PING (PDR)",PDR,47,0.38 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,PRESIDENT PHILIPPINES,6,"MONTEMAYOR, JOSE JR. (DPP)",DPP,30,0.24 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,PRESIDENT PHILIPPINES,7,"GONZALES, NORBERTO (PDSP)",PDSP,21,0.17 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,PRESIDENT PHILIPPINES,8,"ABELLA, ERNIE (IND)",IND,13,0.10 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,PRESIDENT PHILIPPINES,9,"DE GUZMAN, LEODY (PLM)",PLM,5,0.04 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,PRESIDENT PHILIPPINES,10,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,5,0.04 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,9660,88.00 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,VICE PRESIDENT PHILIPPINES,2,"SOTTO, VICENTE TITO (NPC)",NPC,714,6.50 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,VICE PRESIDENT PHILIPPINES,3,"PANGILINAN, KIKO (LP)",LP,350,3.18 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,100,0.91 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,84,0.76 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,VICE PRESIDENT PHILIPPINES,6,"LOPEZ, MANNY SD (WPP)",WPP,25,0.22 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,VICE PRESIDENT PHILIPPINES,7,"BELLO, WALDEN (PLM)",PLM,16,0.14 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,VICE PRESIDENT PHILIPPINES,8,"DAVID, RIZALITO (DPP)",DPP,15,0.13 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,VICE PRESIDENT PHILIPPINES,9,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,13,0.11 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR PHILIPPINES,1,"PADILLA, ROBIN (PDPLBN)",PDPLBN,5681,9.61 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR PHILIPPINES,2,"TULFO, IDOL RAFFY (IND)",IND,3631,6.14 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR PHILIPPINES,3,"CAYETANO, ALAN PETER (IND)",IND,3394,5.74 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR PHILIPPINES,4,"LEGARDA, LOREN (NPC)",NPC,3334,5.64 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR PHILIPPINES,5,"VILLAR, MARK (NP)",NP,3317,5.61 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR PHILIPPINES,6,"ZUBIRI, MIGZ (IND)",IND,3132,5.30 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR PHILIPPINES,7,"GATCHALIAN, WIN (NPC)",NPC,2866,4.85 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR PHILIPPINES,8,"ESCUDERO, CHIZ (NPC)",NPC,2846,4.81 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR PHILIPPINES,9,"BINAY, JOJO (UNA)",UNA,2585,4.37 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR PHILIPPINES,10,"TEODORO, GIBO (PRP)",PRP,2369,4.01 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR PHILIPPINES,11,"ESTRADA, JINGGOY (PMP)",PMP,2275,3.85 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR PHILIPPINES,12,"EJERCITO, JV ESTRADA (NPC)",NPC,2195,3.71 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR PHILIPPINES,13,"HONTIVEROS, RISA (AKBAYAN)",AKBAYAN,2140,3.62 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR PHILIPPINES,14,"HONASAN, GRINGO (IND)",IND,2082,3.52 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR PHILIPPINES,15,"ELEAZAR, GEN. GUILLERMO (PDR)",PDR,1781,3.01 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR PHILIPPINES,16,"VILLANUEVA,JOEL TESDAMAN (IND)",IND,1567,2.65 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR PHILIPPINES,17,"ROQUE, HARRY SPOX (PRP)",PRP,1280,2.16 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR PHILIPPINES,18,"BAUTISTA, HERBERT BISTEK (NPC)",NPC,983,1.66 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR PHILIPPINES,19,"GADON, LARRY (KBL)",KBL,951,1.61 %
REGION IX,ZAMBOANGA DEL SUR,VINCENZO A. SAGUN,SENATOR PHILIPPINES,20,"GORDON, WOW DICK (BVNP)",BVNP,754,1.27 %
