region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IX,ZAMBOANGA SIBUGAY,NAGA,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,9474,45.94 %
REGION IX,ZAMBOANGA SIBUGAY,NAGA,PRESIDENT PHILIPPINES,2,"ROBREDO, LENI (IND)",IND,4979,24.14 %
REGION IX,ZAMBOANGA SIBUGAY,NAGA,PRESIDENT PHILIPPINES,3,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,4937,23.94 %
REGION IX,ZAMBOANGA SIBUGAY,NAGA,PRESIDENT PHILIPPINES,4,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,745,3.61 %
REGION IX,ZAMBOANGA SIBUGAY,NAGA,PRESIDENT PHILIPPINES,5,"LACSON, PING (PDR)",PDR,157,0.76 %
REGION IX,ZAMBOANGA SIBUGAY,NAGA,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,154,0.74 %
REGION IX,ZAMBOANGA SIBUGAY,NAGA,PRESIDENT PHILIPPINES,7,"ABELLA, ERNIE (IND)",IND,78,0.37 %
REGION IX,ZAMBOANGA SIBUGAY,NAGA,PRESIDENT PHILIPPINES,8,"GONZALES, NORBERTO (PDSP)",PDSP,40,0.19 %
REGION IX,ZAMBOANGA SIBUGAY,NAGA,PRESIDENT PHILIPPINES,9,"DE GUZMAN, LEODY (PLM)",PLM,36,0.17 %
REGION IX,ZAMBOANGA SIBUGAY,NAGA,PRESIDENT PHILIPPINES,10,"MONTEMAYOR, JOSE JR. (DPP)",DPP,19,0.09 %
REGION IX,ZAMBOANGA SIBUGAY,NAGA,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,13555,69.99 %
REGION IX,ZAMBOANGA SIBUGAY,NAGA,VICE PRESIDENT PHILIPPINES,2,"PANGILINAN, KIKO (LP)",LP,3057,15.78 %
REGION IX,ZAMBOANGA SIBUGAY,NAGA,VICE PRESIDENT PHILIPPINES,3,"SOTTO, VICENTE TITO (NPC)",NPC,1900,9.81 %
REGION IX,ZAMBOANGA SIBUGAY,NAGA,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,322,1.66 %
REGION IX,ZAMBOANGA SIBUGAY,NAGA,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,228,1.17 %
REGION IX,ZAMBOANGA SIBUGAY,NAGA,VICE PRESIDENT PHILIPPINES,6,"LOPEZ, MANNY SD (WPP)",WPP,148,0.76 %
REGION IX,ZAMBOANGA SIBUGAY,NAGA,VICE PRESIDENT PHILIPPINES,7,"BELLO, WALDEN (PLM)",PLM,58,0.29 %
REGION IX,ZAMBOANGA SIBUGAY,NAGA,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,57,0.29 %
