region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IX,ZAMBOANGA SIBUGAY,TUNGAWAN,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,176,0.82 %
REGION IX,ZAMBOANGA SIBUGAY,TUNGAWAN,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,72,0.33 %
REGION IX,ZAMBOANGA SIBUGAY,TUNGAWAN,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,410,1.92 %
REGION IX,ZAMBOANGA SIBUGAY,TUNGAWAN,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,84,0.39 %
REGION IX,ZAMBOANGA SIBUGAY,TUNGAWAN,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,180,0.84 %
REGION IX,ZAMBOANGA SIBUGAY,TUNGAWAN,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,449,2.11 %
REGION IX,ZAMBOANGA SIBUGAY,TUNGAWAN,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,8425,39.63 %
REGION IX,ZAMBOANGA SIBUGAY,TUNGAWAN,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,567,2.91 %
REGION IX,ZAMBOANGA SIBUGAY,TUNGAWAN,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,175,0.90 %
REGION IX,ZAMBOANGA SIBUGAY,TUNGAWAN,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,65,0.33 %
REGION IX,ZAMBOANGA SIBUGAY,TUNGAWAN,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,12032,61.92 %
REGION IX,ZAMBOANGA SIBUGAY,TUNGAWAN,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,349,1.79 %
REGION IX,ZAMBOANGA SIBUGAY,TUNGAWAN,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,336,1.72 %
REGION IX,ZAMBOANGA SIBUGAY,TUNGAWAN,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,2907,14.96 %
REGION IX,ZAMBOANGA SIBUGAY,TUNGAWAN,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,139,0.71 %
REGION IX,ZAMBOANGA SIBUGAY,TUNGAWAN,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,2860,14.71 %
REGION IX,ZAMBOANGA SIBUGAY,TUNGAWAN,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,618,0.46 %
REGION IX,ZAMBOANGA SIBUGAY,TUNGAWAN,SENATOR PHILIPPINES,2,"ALBANI, IBRAHIM",WPP,1953,1.47 %
REGION IX,ZAMBOANGA SIBUGAY,TUNGAWAN,SENATOR PHILIPPINES,3,"ARRANZA, MANG JESS",IND,450,0.33 %
REGION IX,ZAMBOANGA SIBUGAY,TUNGAWAN,SENATOR PHILIPPINES,4,"BAGUILAT, TEDDY",LP,582,0.43 %
