region,province,city,position,rank,candidate_name,party,votes,percentage
REGION V,CAMARINES SUR,GARCHITORENA,PRESIDENT PHILIPPINES,1,"ROBREDO, LENI (IND)",IND,13371,91.26 %
REGION V,CAMARINES SUR,GARCHITORENA,PRESIDENT PHILIPPINES,2,"MARCOS, BONGBONG (PFP)",PFP,861,5.87 %
REGION V,CAMARINES SUR,GARCHITORENA,PRESIDENT PHILIPPINES,3,"ABELLA, ERNIE (IND)",IND,128,0.87 %
REGION V,CAMARINES SUR,GARCHITORENA,PRESIDENT PHILIPPINES,4,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,106,0.72 %
REGION V,CAMARINES SUR,GARCHITORENA,PRESIDENT PHILIPPINES,5,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,51,0.34 %
REGION V,CAMARINES SUR,GARCHITORENA,PRESIDENT PHILIPPINES,6,"LACSON, PING (PDR)",PDR,49,0.33 %
REGION V,CAMARINES SUR,GARCHITORENA,PRESIDENT PHILIPPINES,7,"GONZALES, NORBERTO (PDSP)",PDSP,36,0.24 %
REGION V,CAMARINES SUR,GARCHITORENA,PRESIDENT PHILIPPINES,8,"DE GUZMAN, LEODY (PLM)",PLM,31,0.21 %
REGION V,CAMARINES SUR,GARCHITORENA,PRESIDENT PHILIPPINES,9,"MONTEMAYOR, JOSE JR. (DPP)",DPP,10,0.06 %
REGION V,CAMARINES SUR,GARCHITORENA,PRESIDENT PHILIPPINES,10,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,7,0.04 %
REGION V,CAMARINES SUR,GARCHITORENA,VICE PRESIDENT PHILIPPINES,1,"PANGILINAN, KIKO (LP)",LP,10324,77.98 %
REGION V,CAMARINES SUR,GARCHITORENA,VICE PRESIDENT PHILIPPINES,2,"DUTERTE, SARA (LAKAS)",LAKAS,1443,10.89 %
REGION V,CAMARINES SUR,GARCHITORENA,VICE PRESIDENT PHILIPPINES,3,"SOTTO, VICENTE TITO (NPC)",NPC,917,6.92 %
REGION V,CAMARINES SUR,GARCHITORENA,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,223,1.68 %
REGION V,CAMARINES SUR,GARCHITORENA,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,101,0.76 %
REGION V,CAMARINES SUR,GARCHITORENA,VICE PRESIDENT PHILIPPINES,6,"LOPEZ, MANNY SD (WPP)",WPP,85,0.64 %
REGION V,CAMARINES SUR,GARCHITORENA,VICE PRESIDENT PHILIPPINES,7,"BELLO, WALDEN (PLM)",PLM,69,0.52 %
REGION V,CAMARINES SUR,GARCHITORENA,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,61,0.46 %
REGION V,CAMARINES SUR,GARCHITORENA,VICE PRESIDENT PHILIPPINES,9,"DAVID, RIZALITO (DPP)",DPP,16,0.12 %
REGION V,CAMARINES SUR,GARCHITORENA,SENATOR PHILIPPINES,1,"DE LIMA, LEILA (LP)",LP,4340,5.56 %
REGION V,CAMARINES SUR,GARCHITORENA,SENATOR PHILIPPINES,2,"HONTIVEROS, RISA (AKBAYAN)",AKBAYAN,4157,5.32 %
REGION V,CAMARINES SUR,GARCHITORENA,SENATOR PHILIPPINES,3,"TULFO, IDOL RAFFY (IND)",IND,4054,5.19 %
REGION V,CAMARINES SUR,GARCHITORENA,SENATOR PHILIPPINES,4,"TRILLANES, ANTONIO IV (LP)",LP,4042,5.18 %
REGION V,CAMARINES SUR,GARCHITORENA,SENATOR PHILIPPINES,5,"ESCUDERO, CHIZ (NPC)",NPC,3957,5.07 %
REGION V,CAMARINES SUR,GARCHITORENA,SENATOR PHILIPPINES,6,"LEGARDA, LOREN (NPC)",NPC,3856,4.94 %
REGION V,CAMARINES SUR,GARCHITORENA,SENATOR PHILIPPINES,7,"PADILLA, ROBIN (PDPLBN)",PDPLBN,3693,4.73 %
REGION V,CAMARINES SUR,GARCHITORENA,SENATOR PHILIPPINES,8,"BINAY, JOJO (UNA)",UNA,3609,4.62 %
REGION V,CAMARINES SUR,GARCHITORENA,SENATOR PHILIPPINES,9,"VILLANUEVA,JOEL TESDAMAN (IND)",IND,3343,4.28 %
REGION V,CAMARINES SUR,GARCHITORENA,SENATOR PHILIPPINES,10,"GORDON, WOW DICK (BVNP)",BVNP,2991,3.83 %
REGION V,CAMARINES SUR,GARCHITORENA,SENATOR PHILIPPINES,11,"DIOKNO, CHEL (KANP)",KANP,2836,3.63 %
REGION V,CAMARINES SUR,GARCHITORENA,SENATOR PHILIPPINES,12,"CAYETANO, ALAN PETER (IND)",IND,2771,3.55 %
REGION V,CAMARINES SUR,GARCHITORENA,SENATOR PHILIPPINES,13,"VILLAR, MARK (NP)",NP,2509,3.21 %
REGION V,CAMARINES SUR,GARCHITORENA,SENATOR PHILIPPINES,14,"GATCHALIAN, WIN (NPC)",NPC,2481,3.18 %
REGION V,CAMARINES SUR,GARCHITORENA,SENATOR PHILIPPINES,15,"ZUBIRI, MIGZ (IND)",IND,2234,2.86 %
REGION V,CAMARINES SUR,GARCHITORENA,SENATOR PHILIPPINES,16,"ESTRADA, JINGGOY (PMP)",PMP,2122,2.72 %
REGION V,CAMARINES SUR,GARCHITORENA,SENATOR PHILIPPINES,17,"BAUTISTA, HERBERT BISTEK (NPC)",NPC,1961,2.51 %
REGION V,CAMARINES SUR,GARCHITORENA,SENATOR PHILIPPINES,18,"LACSON, KUYA ALEX (KP)",KP,1879,2.40 %
REGION V,CAMARINES SUR,GARCHITORENA,SENATOR PHILIPPINES,19,"EJERCITO, JV ESTRADA (NPC)",NPC,1827,2.34 %
REGION V,CAMARINES SUR,GARCHITORENA,SENATOR PHILIPPINES,20,"BAGUILAT, TEDDY (LP)",LP,1694,2.17 %
REGION V,CAMARINES SUR,GARCHITORENA,SENATOR PHILIPPINES,21,"HONASAN, GRINGO (IND)",IND,1510,1.93 %
