region,province,city,position,rank,candidate_name,party,votes,percentage
REGION V,CAMARINES SUR,PASACAO,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,59,0.22 %
REGION V,CAMARINES SUR,PASACAO,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,45,0.17 %
REGION V,CAMARINES SUR,PASACAO,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,93,0.35 %
REGION V,CAMARINES SUR,PASACAO,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,50,0.19 %
REGION V,CAMARINES SUR,PASACAO,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,86,0.33 %
REGION V,CAMARINES SUR,PASACAO,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,10,0.03 %
REGION V,CAMARINES SUR,PASACAO,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,2837,10.91 %
REGION V,CAMARINES SUR,PASACAO,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,141,0.57 %
REGION V,CAMARINES SUR,PASACAO,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,66,0.27 %
REGION V,CAMARINES SUR,PASACAO,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,63,0.25 %
REGION V,CAMARINES SUR,PASACAO,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,4189,17.13 %
REGION V,CAMARINES SUR,PASACAO,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,92,0.37 %
REGION V,CAMARINES SUR,PASACAO,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,466,1.90 %
REGION V,CAMARINES SUR,PASACAO,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,17264,70.63 %
REGION V,CAMARINES SUR,PASACAO,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,91,0.37 %
REGION V,CAMARINES SUR,PASACAO,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,2069,8.46 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,432,0.24 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,2,"ALBANI, IBRAHIM",WPP,337,0.19 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,3,"ARRANZA, MANG JESS",IND,323,0.18 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,4,"BAGUILAT, TEDDY",LP,3505,1.99 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,5,"BAILEN, AGNES",IND,407,0.23 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,6,"BALITA, CARL",AKSYON,1468,0.83 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,7,"BARBO, LUTZ",PDPLBN,353,0.20 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,8,"BAUTISTA, HERBERT BISTEK",NPC,3340,1.89 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,9,"BELGICA, GRECO",PDDS,975,0.55 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,10,"BELLO, SILVESTRE JR.",PDPLBN,422,0.23 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,11,"BINAY, JOJO",UNA,6065,3.44 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,12,"CABONEGRO, ROY",PLM,434,0.24 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,13,"CASTRICIONES, BRO JOHN",PDPLBN,250,0.14 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,14,"CAYETANO, ALAN PETER",IND,8068,4.58 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,15,"CHAVEZ, MELCHOR",WPP,395,0.22 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,16,"COLMENARES, NERI",MKBYN,3794,2.15 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,17,"D'ANGELO, DAVID",PLM,313,0.17 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,18,"DE LIMA, LEILA",LP,8994,5.10 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,19,"DEL ROSARIO, MONSOUR",PDR,1570,0.89 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,20,"DIAZ, DING",PPP,267,0.15 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,21,"DIOKNO, CHEL",KANP,6148,3.49 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,22,"EJERCITO, JV ESTRADA",NPC,4015,2.28 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,23,"ELEAZAR, GEN. GUILLERMO",PDR,3450,1.95 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,24,"EREÑO, BRO. ERNIE",PM,345,0.19 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,25,"ESCUDERO, CHIZ",NPC,9545,5.42 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,26,"ESPIRITU, LUKE",PLM,2366,1.34 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,27,"ESTRADA, JINGGOY",PMP,5127,2.91 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,28,"FALCONE, BAL FALCON",DPP,271,0.15 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,29,"GADON, LARRY",KBL,1728,0.98 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,30,"GATCHALIAN, WIN",NPC,5481,3.11 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,31,"GORDON, WOW DICK",BVNP,4822,2.73 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,32,"GUTOC, SAMIRA",AKSYON,512,0.29 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,33,"HONASAN, GRINGO",IND,3980,2.26 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,34,"HONTIVEROS, RISA",AKBAYAN,9682,5.49 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,35,"JAVELLANA, RJ",IND,297,0.16 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,36,"KIRAM, NUR-MAHAL",IND,247,0.14 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,37,"LABOG, ELMER",MKBYN,895,0.50 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,38,"LACSON, KUYA ALEX",KP,3906,2.21 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,39,"LANGIT, REY",PDPLBN,486,0.27 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,40,"LEGARDA, LOREN",NPC,9451,5.36 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,41,"LIM, ARIEL",IND,358,0.20 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,42,"MALLILLIN, EMILY",PPM,276,0.15 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,43,"MARCOLETA, RODANTE",PDPLBN,538,0.30 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,44,"MARCOS, FRANCIS LEO",IND,846,0.48 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,45,"MATULA, SONNY",IND,2478,1.40 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,46,"MINDALANO-ADAM,MARIETA",KTPNAN,203,0.11 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,47,"OLARTE, ATTY/DR. LEO",BIGKIS,194,0.11 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,48,"PADILLA, DRA. MINGUITA",PDR,1108,0.62 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,49,"PADILLA, ROBIN",PDPLBN,9090,5.16 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,50,"PANELO, SAL PANALO",PDPLBN,882,0.50 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,51,"PIMENTEL, ASTRA",PDPLBN,1096,0.62 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,52,"PIÑOL, MANNY",NPC,610,0.34 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,53,"RICABLANCA, WILLIE JR.",PM,252,0.14 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,54,"ROQUE, HARRY SPOX",PRP,2029,1.15 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,55,"SAHIDULLA, LADY ANNE",PDDS,181,0.10 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,56,"SISON, JOPET",AKSYON,736,0.41 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,57,"TEODORO, GIBO",PRP,1771,1.00 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,58,"TRILLANES, ANTONIO IV",LP,8199,4.65 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,59,"TULFO, IDOL RAFFY",IND,9168,5.20 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,60,"VALEROS, REY",IND,202,0.11 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,61,"VILLANUEVA,JOEL TESDAMAN",IND,8665,4.92 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,62,"VILLAR, MARK",NP,5785,3.28 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,63,"ZUBIAGA, CARMEN",IND,862,0.48 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,64,"ZUBIRI, MIGZ",IND,6071,3.44 %
REGION V,CAMARINES SUR,PASACAO,SENATOR PHILIPPINES,65,35 BH,BAGONG HENERASYON,112,0.71 %
REGION V,CAMARINES SUR,PASACAO,"MEMBER, HOUSE OF REPRESENTATIVES CAMARINES SUR - SECOND LEGDIST",1,"ABASOLA, ABA",LAKAS,3949,19.69 %
REGION V,CAMARINES SUR,PASACAO,"MEMBER, HOUSE OF REPRESENTATIVES CAMARINES SUR - SECOND LEGDIST",2,"VILLAFUERTE, LRAY",NUP,16105,80.30 %
REGION V,CAMARINES SUR,PASACAO,PROVINCIAL GOVERNOR CAMARINES SUR,1,"ANDAYA, NONOY",NPC,9655,39.62 %
REGION V,CAMARINES SUR,PASACAO,PROVINCIAL GOVERNOR CAMARINES SUR,2,"BONGAT, IRENEO JR.",IND,156,0.64 %
REGION V,CAMARINES SUR,PASACAO,PROVINCIAL GOVERNOR CAMARINES SUR,3,"CABAL, RICHARD",IND,131,0.53 %
REGION V,CAMARINES SUR,PASACAO,PROVINCIAL GOVERNOR CAMARINES SUR,4,"PAPIN, IMELDA",PFP,371,1.52 %
REGION V,CAMARINES SUR,PASACAO,PROVINCIAL GOVERNOR CAMARINES SUR,5,"VILLAFUERTE, LUIGI LRV",PDPLBN,14054,57.67 %
REGION V,CAMARINES SUR,PASACAO,PROVINCIAL VICE-GOVERNOR CAMARINES SUR,1,"FORTUNO, SAL JR.",PDPLBN,11693,59.15 %
REGION V,CAMARINES SUR,PASACAO,PROVINCIAL VICE-GOVERNOR CAMARINES SUR,2,"JULIA, SON",IND,1638,8.28 %
REGION V,CAMARINES SUR,PASACAO,PROVINCIAL VICE-GOVERNOR CAMARINES SUR,3,"NACARIO, ROMEO",IND,612,3.09 %
REGION V,CAMARINES SUR,PASACAO,PROVINCIAL VICE-GOVERNOR CAMARINES SUR,4,"PILAPIL, JJ",NPC,5824,29.46 %
REGION V,CAMARINES SUR,PASACAO,"MEMBER, SANGGUNIANG PANLALAWIGAN CAMARINES SUR - SECOND PROVDIST",1,"CACATIAN, JAIME",NPC,3403,8.68 %
REGION V,CAMARINES SUR,PASACAO,"MEMBER, SANGGUNIANG PANLALAWIGAN CAMARINES SUR - SECOND PROVDIST",2,"CACERES, JEZZ",KTPNAN,327,0.83 %
REGION V,CAMARINES SUR,PASACAO,"MEMBER, SANGGUNIANG PANLALAWIGAN CAMARINES SUR - SECOND PROVDIST",3,"HERNANDEZ, ROMULO",PDPLBN,12514,31.93 %
REGION V,CAMARINES SUR,PASACAO,"MEMBER, SANGGUNIANG PANLALAWIGAN CAMARINES SUR - SECOND PROVDIST",4,"ORIÑO, ARIEL",NPC,4747,12.11 %
REGION V,CAMARINES SUR,PASACAO,"MEMBER, SANGGUNIANG PANLALAWIGAN CAMARINES SUR - SECOND PROVDIST",5,"TAYCO, NIÑO",PDPLBN,18194,46.43 %
REGION V,CAMARINES SUR,PASACAO,MAYOR CAMARINES SUR - PASACAO,1,"ARCEÑO, AVA",IND,2162,8.51 %
REGION V,CAMARINES SUR,PASACAO,MAYOR CAMARINES SUR - PASACAO,2,"BENGUA, JOJO",PDPLBN,13650,53.78 %
REGION V,CAMARINES SUR,PASACAO,MAYOR CAMARINES SUR - PASACAO,3,"DACANAY, TONET MADRIGAL",NPC,9569,37.70 %
REGION V,CAMARINES SUR,PASACAO,VICE-MAYOR CAMARINES SUR - PASACAO,1,"OLIVAN, DOLANDZ",NPC,6440,28.32 %
REGION V,CAMARINES SUR,PASACAO,VICE-MAYOR CAMARINES SUR - PASACAO,2,"TAYCO, MARYOL",PDPLBN,16297,71.67 %
