region,province,city,position,rank,candidate_name,party,votes,percentage
REGION V,CATANDUANES,SAN MIGUEL,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,55,0.56 %
REGION V,CATANDUANES,SAN MIGUEL,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,45,0.46 %
REGION V,CATANDUANES,SAN MIGUEL,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,144,1.48 %
REGION V,CATANDUANES,SAN MIGUEL,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,29,0.29 %
REGION V,CATANDUANES,SAN MIGUEL,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,110,1.13 %
REGION V,CATANDUANES,SAN MIGUEL,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,10,0.10 %
REGION V,CATANDUANES,SAN MIGUEL,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,1754,18.08 %
REGION V,CATANDUANES,SAN MIGUEL,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,72,0.79 %
REGION V,CATANDUANES,SAN MIGUEL,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,38,0.41 %
REGION V,CATANDUANES,SAN MIGUEL,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,19,0.20 %
REGION V,CATANDUANES,SAN MIGUEL,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,2338,25.65 %
REGION V,CATANDUANES,SAN MIGUEL,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,58,0.63 %
REGION V,CATANDUANES,SAN MIGUEL,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,288,3.16 %
REGION V,CATANDUANES,SAN MIGUEL,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,4491,49.28 %
REGION V,CATANDUANES,SAN MIGUEL,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,37,0.40 %
REGION V,CATANDUANES,SAN MIGUEL,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,1771,19.43 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,174,0.26 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,2,"ALBANI, IBRAHIM",WPP,158,0.23 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,3,"ARRANZA, MANG JESS",IND,117,0.17 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,4,"BAGUILAT, TEDDY",LP,705,1.06 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,5,"BAILEN, AGNES",IND,149,0.22 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,6,"BALITA, CARL",AKSYON,473,0.71 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,7,"BARBO, LUTZ",PDPLBN,138,0.20 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,8,"BAUTISTA, HERBERT BISTEK",NPC,1479,2.22 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,9,"BELGICA, GRECO",PDDS,150,0.22 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,10,"BELLO, SILVESTRE JR.",PDPLBN,191,0.28 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,11,"BINAY, JOJO",UNA,2738,4.11 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,12,"CABONEGRO, ROY",PLM,161,0.24 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,13,"CASTRICIONES, BRO JOHN",PDPLBN,85,0.12 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,14,"CAYETANO, ALAN PETER",IND,3007,4.52 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,15,"CHAVEZ, MELCHOR",WPP,200,0.30 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,16,"COLMENARES, NERI",MKBYN,1249,1.87 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,17,"D'ANGELO, DAVID",PLM,142,0.21 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,18,"DE LIMA, LEILA",LP,2130,3.20 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,19,"DEL ROSARIO, MONSOUR",PDR,612,0.92 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,20,"DIAZ, DING",PPP,91,0.13 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,21,"DIOKNO, CHEL",KANP,1901,2.86 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,22,"EJERCITO, JV ESTRADA",NPC,2585,3.88 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,23,"ELEAZAR, GEN. GUILLERMO",PDR,1223,1.84 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,24,"EREÑO, BRO. ERNIE",PM,106,0.15 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,25,"ESCUDERO, CHIZ",NPC,4171,6.27 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,26,"ESPIRITU, LUKE",PLM,615,0.92 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,27,"ESTRADA, JINGGOY",PMP,2507,3.77 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,28,"FALCONE, BAL FALCON",DPP,104,0.15 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,29,"GADON, LARRY",KBL,762,1.14 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,30,"GATCHALIAN, WIN",NPC,2967,4.46 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,31,"GORDON, WOW DICK",BVNP,2401,3.61 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,32,"GUTOC, SAMIRA",AKSYON,167,0.25 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,33,"HONASAN, GRINGO",IND,1529,2.30 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,34,"HONTIVEROS, RISA",AKBAYAN,3099,4.66 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,35,"JAVELLANA, RJ",IND,99,0.14 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,36,"KIRAM, NUR-MAHAL",IND,113,0.17 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,37,"LABOG, ELMER",MKBYN,252,0.37 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,38,"LACSON, KUYA ALEX",KP,1049,1.57 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,39,"LANGIT, REY",PDPLBN,173,0.26 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,40,"LEGARDA, LOREN",NPC,3793,5.70 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,41,"LIM, ARIEL",IND,104,0.15 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,42,"MALLILLIN, EMILY",PPM,106,0.15 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,43,"MARCOLETA, RODANTE",PDPLBN,229,0.34 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,44,"MARCOS, FRANCIS LEO",IND,382,0.57 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,45,"MATULA, SONNY",IND,380,0.57 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,46,"MINDALANO-ADAM,MARIETA",KTPNAN,81,0.12 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,47,"OLARTE, ATTY/DR. LEO",BIGKIS,143,0.21 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,48,"PADILLA, DRA. MINGUITA",PDR,408,0.61 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,49,"PADILLA, ROBIN",PDPLBN,3416,5.13 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,50,"PANELO, SAL PANALO",PDPLBN,263,0.39 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,51,"PIMENTEL, ASTRA",PDPLBN,404,0.60 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,52,"PIÑOL, MANNY",NPC,262,0.39 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,53,"RICABLANCA, WILLIE JR.",PM,93,0.13 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,54,"ROQUE, HARRY SPOX",PRP,764,1.14 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,55,"SAHIDULLA, LADY ANNE",PDDS,61,0.09 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,56,"SISON, JOPET",AKSYON,378,0.56 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,57,"TEODORO, GIBO",PRP,1005,1.51 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,58,"TRILLANES, ANTONIO IV",LP,2396,3.60 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,59,"TULFO, IDOL RAFFY",IND,3650,5.49 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,60,"VALEROS, REY",IND,64,0.09 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,61,"VILLANUEVA,JOEL TESDAMAN",IND,3147,4.73 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,62,"VILLAR, MARK",NP,2479,3.72 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,63,"ZUBIAGA, CARMEN",IND,195,0.29 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,64,"ZUBIRI, MIGZ",IND,2288,3.44 %
REGION V,CATANDUANES,SAN MIGUEL,SENATOR PHILIPPINES,65,35 BH,BAGONG HENERASYON,152,2.44 %
REGION V,CATANDUANES,SAN MIGUEL,"MEMBER, HOUSE OF REPRESENTATIVES CATANDUANES - LONE LEGDIST",1,"RODRIGUEZ, LEO",IND,4673,50.20 %
REGION V,CATANDUANES,SAN MIGUEL,"MEMBER, HOUSE OF REPRESENTATIVES CATANDUANES - LONE LEGDIST",2,"RODULFO, OLIVER",LP,176,1.89 %
REGION V,CATANDUANES,SAN MIGUEL,"MEMBER, HOUSE OF REPRESENTATIVES CATANDUANES - LONE LEGDIST",3,"SANCHEZ, HECTOR",LAKAS,1948,20.93 %
REGION V,CATANDUANES,SAN MIGUEL,"MEMBER, HOUSE OF REPRESENTATIVES CATANDUANES - LONE LEGDIST",4,"SARMIENTO, CESAR",NUP,2510,26.96 %
REGION V,CATANDUANES,SAN MIGUEL,PROVINCIAL GOVERNOR CATANDUANES,1,"ABUNDO, SHIRLEY",AKSYON,2819,30.95 %
REGION V,CATANDUANES,SAN MIGUEL,PROVINCIAL GOVERNOR CATANDUANES,2,"CUA, BOBOY",NPC,6112,67.11 %
REGION V,CATANDUANES,SAN MIGUEL,PROVINCIAL GOVERNOR CATANDUANES,3,"TANAEL, BALBAS",IND,176,1.93 %
REGION V,CATANDUANES,SAN MIGUEL,PROVINCIAL VICE-GOVERNOR CATANDUANES,1,"ABICHUELA, ODEL",IND,522,6.51 %
REGION V,CATANDUANES,SAN MIGUEL,PROVINCIAL VICE-GOVERNOR CATANDUANES,2,"CUA, BOSSTE",PDPLBN,6133,76.57 %
REGION V,CATANDUANES,SAN MIGUEL,PROVINCIAL VICE-GOVERNOR CATANDUANES,3,"POPA, NATALIO JR.",AKSYON,1354,16.90 %
REGION V,CATANDUANES,SAN MIGUEL,MAYOR CATANDUANES - SAN MIGUEL,1,"CAMANO, JUN",PDPLBN,5392,55.00 %
REGION V,CATANDUANES,SAN MIGUEL,MAYOR CATANDUANES - SAN MIGUEL,2,"TEVES, ANTONIO",IND,4379,44.67 %
REGION V,CATANDUANES,SAN MIGUEL,MAYOR CATANDUANES - SAN MIGUEL,3,"VARGAS, SAMMY",IND,31,0.31 %
REGION V,CATANDUANES,SAN MIGUEL,VICE-MAYOR CATANDUANES - SAN MIGUEL,1,"MORALES, NOEL",IND,3447,36.51 %
REGION V,CATANDUANES,SAN MIGUEL,VICE-MAYOR CATANDUANES - SAN MIGUEL,2,"TAPEL, DANTE",IND,430,4.55 %
REGION V,CATANDUANES,SAN MIGUEL,VICE-MAYOR CATANDUANES - SAN MIGUEL,3,"TEVES, ALEX",NPC,2517,26.66 %
REGION V,CATANDUANES,SAN MIGUEL,VICE-MAYOR CATANDUANES - SAN MIGUEL,4,"TORRENTE, ODI",AKSYON,3045,32.25 %
REGION V,CATANDUANES,SAN MIGUEL,"MEMBER, SANGGUNIANG BAYAN CATANDUANES - SAN MIGUEL - LONE DIST",1,"ABUNDO, BRYAN",IND,2005,3.34 %
REGION V,CATANDUANES,SAN MIGUEL,"MEMBER, SANGGUNIANG BAYAN CATANDUANES - SAN MIGUEL - LONE DIST",2,"BERNAL, JESSIE",IND,2524,4.20 %
REGION V,CATANDUANES,SAN MIGUEL,"MEMBER, SANGGUNIANG BAYAN CATANDUANES - SAN MIGUEL - LONE DIST",3,"BERNAL, SUSAN",IND,4954,8.26 %
REGION V,CATANDUANES,SAN MIGUEL,"MEMBER, SANGGUNIANG BAYAN CATANDUANES - SAN MIGUEL - LONE DIST",4,"RALLA, SANDY",IND,1069,1.78 %
REGION V,CATANDUANES,SAN MIGUEL,"MEMBER, SANGGUNIANG BAYAN CATANDUANES - SAN MIGUEL - LONE DIST",5,"SACRIS, MIKE",PDPLBN,5343,8.91 %
REGION V,CATANDUANES,SAN MIGUEL,"MEMBER, SANGGUNIANG BAYAN CATANDUANES - SAN MIGUEL - LONE DIST",6,"SORIAO, DELIA",PDPLBN,4154,6.92 %
REGION V,CATANDUANES,SAN MIGUEL,"MEMBER, SANGGUNIANG BAYAN CATANDUANES - SAN MIGUEL - LONE DIST",7,"SUMULAT, AWE",PDPLBN,5458,9.10 %
REGION V,CATANDUANES,SAN MIGUEL,"MEMBER, SANGGUNIANG BAYAN CATANDUANES - SAN MIGUEL - LONE DIST",8,"TABIRAO, SONNY",IND,2257,3.76 %
REGION V,CATANDUANES,SAN MIGUEL,"MEMBER, SANGGUNIANG BAYAN CATANDUANES - SAN MIGUEL - LONE DIST",9,"TAPANAN, SHERWIN",NPC,3345,5.57 %
REGION V,CATANDUANES,SAN MIGUEL,"MEMBER, SANGGUNIANG BAYAN CATANDUANES - SAN MIGUEL - LONE DIST",10,"TAPEL, KWATRO",LAKAS,4385,7.31 %
REGION V,CATANDUANES,SAN MIGUEL,"MEMBER, SANGGUNIANG BAYAN CATANDUANES - SAN MIGUEL - LONE DIST",11,"TAULE, ALEN",NPC,3380,5.63 %
REGION V,CATANDUANES,SAN MIGUEL,"MEMBER, SANGGUNIANG BAYAN CATANDUANES - SAN MIGUEL - LONE DIST",12,"TEAÑO, INTIK",IND,2788,4.64 %
REGION V,CATANDUANES,SAN MIGUEL,"MEMBER, SANGGUNIANG BAYAN CATANDUANES - SAN MIGUEL - LONE DIST",13,"TEJERERO, BOYET",IND,1746,2.91 %
