region,province,city,position,rank,candidate_name,party,votes,percentage
REGION V,SORSOGON,PRIETO DIAZ,PRESIDENT PHILIPPINES,1,"ROBREDO, LENI (IND)",IND,10118,78.01 %
REGION V,SORSOGON,PRIETO DIAZ,PRESIDENT PHILIPPINES,2,"MARCOS, BONGBONG (PFP)",PFP,2364,18.22 %
REGION V,SORSOGON,PRIETO DIAZ,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,192,1.48 %
REGION V,SORSOGON,PRIETO DIAZ,PRESIDENT PHILIPPINES,4,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,113,0.87 %
REGION V,SORSOGON,PRIETO DIAZ,PRESIDENT PHILIPPINES,5,"LACSON, PING (PDR)",PDR,85,0.65 %
REGION V,SORSOGON,PRIETO DIAZ,PRESIDENT PHILIPPINES,6,"ABELLA, ERNIE (IND)",IND,47,0.36 %
REGION V,SORSOGON,PRIETO DIAZ,PRESIDENT PHILIPPINES,7,"GONZALES, NORBERTO (PDSP)",PDSP,20,0.15 %
REGION V,SORSOGON,PRIETO DIAZ,PRESIDENT PHILIPPINES,8,"DE GUZMAN, LEODY (PLM)",PLM,19,0.14 %
REGION V,SORSOGON,PRIETO DIAZ,PRESIDENT PHILIPPINES,9,"MONTEMAYOR, JOSE JR. (DPP)",DPP,8,0.06 %
REGION V,SORSOGON,PRIETO DIAZ,PRESIDENT PHILIPPINES,10,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,3,0.02 %
REGION V,SORSOGON,PRIETO DIAZ,VICE PRESIDENT PHILIPPINES,1,"SOTTO, VICENTE TITO (NPC)",NPC,5490,44.19 %
REGION V,SORSOGON,PRIETO DIAZ,VICE PRESIDENT PHILIPPINES,2,"PANGILINAN, KIKO (LP)",LP,4286,34.50 %
REGION V,SORSOGON,PRIETO DIAZ,VICE PRESIDENT PHILIPPINES,3,"DUTERTE, SARA (LAKAS)",LAKAS,2191,17.63 %
REGION V,SORSOGON,PRIETO DIAZ,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,334,2.68 %
REGION V,SORSOGON,PRIETO DIAZ,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,35,0.28 %
REGION V,SORSOGON,PRIETO DIAZ,VICE PRESIDENT PHILIPPINES,6,"LOPEZ, MANNY SD (WPP)",WPP,31,0.24 %
