region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VI,AKLAN,BALETE,PRESIDENT PHILIPPINES,1,"ROBREDO, LENI (IND)",IND,12052,82.13 %
REGION VI,AKLAN,BALETE,PRESIDENT PHILIPPINES,2,"MARCOS, BONGBONG (PFP)",PFP,2157,14.70 %
REGION VI,AKLAN,BALETE,PRESIDENT PHILIPPINES,3,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,209,1.42 %
REGION VI,AKLAN,BALETE,PRESIDENT PHILIPPINES,4,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,140,0.95 %
REGION VI,AKLAN,BALETE,PRESIDENT PHILIPPINES,5,"LACSON, PING (PDR)",PDR,53,0.36 %
REGION VI,AKLAN,BALETE,PRESIDENT PHILIPPINES,6,"MONTEMAYOR, JOSE JR. (DPP)",DPP,28,0.19 %
REGION VI,AKLAN,BALETE,PRESIDENT PHILIPPINES,7,"ABELLA, ERNIE (IND)",IND,13,0.08 %
REGION VI,AKLAN,BALETE,PRESIDENT PHILIPPINES,8,"DE GUZMAN, LEODY (PLM)",PLM,8,0.05 %
REGION VI,AKLAN,BALETE,PRESIDENT PHILIPPINES,9,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,7,0.04 %
REGION VI,AKLAN,BALETE,PRESIDENT PHILIPPINES,10,"GONZALES, NORBERTO (PDSP)",PDSP,6,0.04 %
REGION VI,AKLAN,BALETE,VICE PRESIDENT PHILIPPINES,1,"PANGILINAN, KIKO (LP)",LP,10922,75.23 %
REGION VI,AKLAN,BALETE,VICE PRESIDENT PHILIPPINES,2,"DUTERTE, SARA (LAKAS)",LAKAS,2300,15.84 %
REGION VI,AKLAN,BALETE,VICE PRESIDENT PHILIPPINES,3,"SOTTO, VICENTE TITO (NPC)",NPC,1063,7.32 %
REGION VI,AKLAN,BALETE,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,166,1.14 %
REGION VI,AKLAN,BALETE,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,21,0.14 %
