region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VI,GUIMARAS,JORDAN,PRESIDENT PHILIPPINES,1,"ROBREDO, LENI (IND)",IND,12345,55.60 %
REGION VI,GUIMARAS,JORDAN,PRESIDENT PHILIPPINES,2,"MARCOS, BONGBONG (PFP)",PFP,6918,31.16 %
REGION VI,GUIMARAS,JORDAN,PRESIDENT PHILIPPINES,3,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,1766,7.95 %
REGION VI,GUIMARAS,JORDAN,PRESIDENT PHILIPPINES,4,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,742,3.34 %
REGION VI,GUIMARAS,JORDAN,PRESIDENT PHILIPPINES,5,"LACSON, PING (PDR)",PDR,270,1.21 %
REGION VI,GUIMARAS,JORDAN,PRESIDENT PHILIPPINES,6,"ABELLA, ERNIE (IND)",IND,48,0.21 %
REGION VI,GUIMARAS,JORDAN,PRESIDENT PHILIPPINES,7,"DE GUZMAN, LEODY (PLM)",PLM,45,0.20 %
REGION VI,GUIMARAS,JORDAN,PRESIDENT PHILIPPINES,8,"MONTEMAYOR, JOSE JR. (DPP)",DPP,32,0.14 %
REGION VI,GUIMARAS,JORDAN,PRESIDENT PHILIPPINES,9,"GONZALES, NORBERTO (PDSP)",PDSP,22,0.09 %
REGION VI,GUIMARAS,JORDAN,PRESIDENT PHILIPPINES,10,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,13,0.05 %
REGION VI,GUIMARAS,JORDAN,VICE PRESIDENT PHILIPPINES,1,"PANGILINAN, KIKO (LP)",LP,9437,44.32 %
REGION VI,GUIMARAS,JORDAN,VICE PRESIDENT PHILIPPINES,2,"DUTERTE, SARA (LAKAS)",LAKAS,6673,31.34 %
REGION VI,GUIMARAS,JORDAN,VICE PRESIDENT PHILIPPINES,3,"SOTTO, VICENTE TITO (NPC)",NPC,3933,18.47 %
REGION VI,GUIMARAS,JORDAN,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,808,3.79 %
