region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VI,ILOILO,LAMBUNAO,PRESIDENT PHILIPPINES,1,"ROBREDO, LENI (IND)",IND,21007,63.57 %
REGION VI,ILOILO,LAMBUNAO,PRESIDENT PHILIPPINES,2,"MARCOS, BONGBONG (PFP)",PFP,8671,26.24 %
REGION VI,ILOILO,LAMBUNAO,PRESIDENT PHILIPPINES,3,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,2074,6.27 %
REGION VI,ILOILO,LAMBUNAO,PRESIDENT PHILIPPINES,4,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,697,2.10 %
REGION VI,ILOILO,LAMBUNAO,PRESIDENT PHILIPPINES,5,"LACSON, PING (PDR)",PDR,233,0.70 %
REGION VI,ILOILO,LAMBUNAO,PRESIDENT PHILIPPINES,6,"GONZALES, NORBERTO (PDSP)",PDSP,112,0.33 %
REGION VI,ILOILO,LAMBUNAO,PRESIDENT PHILIPPINES,7,"ABELLA, ERNIE (IND)",IND,93,0.28 %
REGION VI,ILOILO,LAMBUNAO,PRESIDENT PHILIPPINES,8,"DE GUZMAN, LEODY (PLM)",PLM,80,0.24 %
REGION VI,ILOILO,LAMBUNAO,PRESIDENT PHILIPPINES,9,"MONTEMAYOR, JOSE JR. (DPP)",DPP,66,0.19 %
REGION VI,ILOILO,LAMBUNAO,PRESIDENT PHILIPPINES,10,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,8,0.02 %
REGION VI,ILOILO,LAMBUNAO,VICE PRESIDENT PHILIPPINES,1,"PANGILINAN, KIKO (LP)",LP,17056,53.31 %
REGION VI,ILOILO,LAMBUNAO,VICE PRESIDENT PHILIPPINES,2,"DUTERTE, SARA (LAKAS)",LAKAS,8710,27.22 %
REGION VI,ILOILO,LAMBUNAO,VICE PRESIDENT PHILIPPINES,3,"SOTTO, VICENTE TITO (NPC)",NPC,4799,15.00 %
REGION VI,ILOILO,LAMBUNAO,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,778,2.43 %
REGION VI,ILOILO,LAMBUNAO,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD (WPP)",WPP,287,0.89 %
REGION VI,ILOILO,LAMBUNAO,VICE PRESIDENT PHILIPPINES,6,"ATIENZA, LITO (PROMDI)",PROMDI,152,0.47 %
REGION VI,ILOILO,LAMBUNAO,VICE PRESIDENT PHILIPPINES,7,"BELLO, WALDEN (PLM)",PLM,92,0.28 %
REGION VI,ILOILO,LAMBUNAO,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,76,0.23 %
