region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,17805,40.09 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,PRESIDENT PHILIPPINES,2,"ROBREDO, LENI (IND)",IND,12836,28.90 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,PRESIDENT PHILIPPINES,3,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,10342,23.28 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,PRESIDENT PHILIPPINES,4,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,1719,3.87 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,PRESIDENT PHILIPPINES,5,"LACSON, PING (PDR)",PDR,938,2.11 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,PRESIDENT PHILIPPINES,6,"ABELLA, ERNIE (IND)",IND,239,0.53 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,PRESIDENT PHILIPPINES,7,"DE GUZMAN, LEODY (PLM)",PLM,190,0.42 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,PRESIDENT PHILIPPINES,8,"GONZALES, NORBERTO (PDSP)",PDSP,185,0.41 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,PRESIDENT PHILIPPINES,9,"MONTEMAYOR, JOSE JR. (DPP)",DPP,99,0.22 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,PRESIDENT PHILIPPINES,10,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,59,0.13 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,22786,55.25 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,VICE PRESIDENT PHILIPPINES,2,"PANGILINAN, KIKO (LP)",LP,8485,20.57 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,VICE PRESIDENT PHILIPPINES,3,"SOTTO, VICENTE TITO (NPC)",NPC,7801,18.91 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,874,2.11 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,460,1.11 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,VICE PRESIDENT PHILIPPINES,6,"LOPEZ, MANNY SD (WPP)",WPP,386,0.93 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,VICE PRESIDENT PHILIPPINES,7,"BELLO, WALDEN (PLM)",PLM,186,0.45 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,163,0.39 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,VICE PRESIDENT PHILIPPINES,9,"DAVID, RIZALITO (DPP)",DPP,97,0.23 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,SENATOR PHILIPPINES,1,"TULFO, IDOL RAFFY (IND)",IND,20627,7.25 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,SENATOR PHILIPPINES,2,"PADILLA, ROBIN (PDPLBN)",PDPLBN,18778,6.60 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,SENATOR PHILIPPINES,3,"CAYETANO, ALAN PETER (IND)",IND,15149,5.32 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,SENATOR PHILIPPINES,4,"LEGARDA, LOREN (NPC)",NPC,15060,5.29 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,SENATOR PHILIPPINES,5,"VILLAR, MARK (NP)",NP,13617,4.78 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,SENATOR PHILIPPINES,6,"ESCUDERO, CHIZ (NPC)",NPC,13105,4.60 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,SENATOR PHILIPPINES,7,"GATCHALIAN, WIN (NPC)",NPC,12964,4.55 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,SENATOR PHILIPPINES,8,"HONTIVEROS, RISA (AKBAYAN)",AKBAYAN,11705,4.11 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,SENATOR PHILIPPINES,9,"ZUBIRI, MIGZ (IND)",IND,11703,4.11 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,SENATOR PHILIPPINES,10,"VILLANUEVA,JOEL TESDAMAN (IND)",IND,10844,3.81 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,SENATOR PHILIPPINES,11,"TEODORO, GIBO (PRP)",PRP,9663,3.39 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,SENATOR PHILIPPINES,12,"BINAY, JOJO (UNA)",UNA,9423,3.31 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,SENATOR PHILIPPINES,13,"EJERCITO, JV ESTRADA (NPC)",NPC,8828,3.10 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,SENATOR PHILIPPINES,14,"ESTRADA, JINGGOY (PMP)",PMP,8464,2.97 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,SENATOR PHILIPPINES,15,"BAUTISTA, HERBERT BISTEK (NPC)",NPC,8004,2.81 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,SENATOR PHILIPPINES,16,"DIOKNO, CHEL (KANP)",KANP,6788,2.38 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,SENATOR PHILIPPINES,17,"ROQUE, HARRY SPOX (PRP)",PRP,6460,2.27 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,SENATOR PHILIPPINES,18,"HONASAN, GRINGO (IND)",IND,6320,2.22 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,SENATOR PHILIPPINES,19,"TRILLANES, ANTONIO IV (LP)",LP,6089,2.14 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,SENATOR PHILIPPINES,20,"GORDON, WOW DICK (BVNP)",BVNP,5775,2.03 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,SENATOR PHILIPPINES,21,"ELEAZAR, GEN. GUILLERMO (PDR)",PDR,4865,1.71 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,SENATOR PHILIPPINES,22,"DE LIMA, LEILA (LP)",LP,4798,1.68 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,SENATOR PHILIPPINES,23,"GADON, LARRY (KBL)",KBL,4486,1.57 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,SENATOR PHILIPPINES,24,"LACSON, KUYA ALEX (KP)",KP,3666,1.28 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,SENATOR PHILIPPINES,25,"PADILLA, DRA. MINGUITA (PDR)",PDR,3606,1.26 %
REGION VII,NEGROS ORIENTAL,CITY OF TANJAY,SENATOR PHILIPPINES,26,"COLMENARES, NERI (MKBYN)",MKBYN,3465,1.21 %
