region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VII,NEGROS ORIENTAL,LA LIBERTAD,PRESIDENT PHILIPPINES,1,"ROBREDO, LENI (IND)",IND,7864,40.65 %
REGION VII,NEGROS ORIENTAL,LA LIBERTAD,PRESIDENT PHILIPPINES,2,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,7044,36.41 %
REGION VII,NEGROS ORIENTAL,LA LIBERTAD,PRESIDENT PHILIPPINES,3,"MARCOS, BONGBONG (PFP)",PFP,3564,18.42 %
REGION VII,NEGROS ORIENTAL,LA LIBERTAD,PRESIDENT PHILIPPINES,4,"LACSON, PING (PDR)",PDR,218,1.12 %
REGION VII,NEGROS ORIENTAL,LA LIBERTAD,PRESIDENT PHILIPPINES,5,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,208,1.07 %
REGION VII,NEGROS ORIENTAL,LA LIBERTAD,PRESIDENT PHILIPPINES,6,"ABELLA, ERNIE (IND)",IND,140,0.72 %
REGION VII,NEGROS ORIENTAL,LA LIBERTAD,PRESIDENT PHILIPPINES,7,"MONTEMAYOR, JOSE JR. (DPP)",DPP,95,0.49 %
REGION VII,NEGROS ORIENTAL,LA LIBERTAD,PRESIDENT PHILIPPINES,8,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,92,0.47 %
REGION VII,NEGROS ORIENTAL,LA LIBERTAD,PRESIDENT PHILIPPINES,9,"GONZALES, NORBERTO (PDSP)",PDSP,65,0.33 %
REGION VII,NEGROS ORIENTAL,LA LIBERTAD,PRESIDENT PHILIPPINES,10,"DE GUZMAN, LEODY (PLM)",PLM,54,0.27 %
REGION VII,NEGROS ORIENTAL,LA LIBERTAD,VICE PRESIDENT PHILIPPINES,1,"PANGILINAN, KIKO (LP)",LP,7484,46.85 %
REGION VII,NEGROS ORIENTAL,LA LIBERTAD,VICE PRESIDENT PHILIPPINES,2,"DUTERTE, SARA (LAKAS)",LAKAS,5215,32.64 %
REGION VII,NEGROS ORIENTAL,LA LIBERTAD,VICE PRESIDENT PHILIPPINES,3,"SOTTO, VICENTE TITO (NPC)",NPC,2158,13.51 %
REGION VII,NEGROS ORIENTAL,LA LIBERTAD,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,325,2.03 %
REGION VII,NEGROS ORIENTAL,LA LIBERTAD,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,313,1.95 %
REGION VII,NEGROS ORIENTAL,LA LIBERTAD,VICE PRESIDENT PHILIPPINES,6,"LOPEZ, MANNY SD (WPP)",WPP,228,1.42 %
REGION VII,NEGROS ORIENTAL,LA LIBERTAD,VICE PRESIDENT PHILIPPINES,7,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,100,0.62 %
