region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VII,NEGROS ORIENTAL,MANJUYOD,PRESIDENT PHILIPPINES,1,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,7468,33.56 %
REGION VII,NEGROS ORIENTAL,MANJUYOD,PRESIDENT PHILIPPINES,2,"MARCOS, BONGBONG (PFP)",PFP,7205,32.38 %
REGION VII,NEGROS ORIENTAL,MANJUYOD,PRESIDENT PHILIPPINES,3,"ROBREDO, LENI (IND)",IND,6604,29.67 %
REGION VII,NEGROS ORIENTAL,MANJUYOD,PRESIDENT PHILIPPINES,4,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,393,1.76 %
REGION VII,NEGROS ORIENTAL,MANJUYOD,PRESIDENT PHILIPPINES,5,"LACSON, PING (PDR)",PDR,270,1.21 %
REGION VII,NEGROS ORIENTAL,MANJUYOD,PRESIDENT PHILIPPINES,6,"ABELLA, ERNIE (IND)",IND,124,0.55 %
REGION VII,NEGROS ORIENTAL,MANJUYOD,PRESIDENT PHILIPPINES,7,"DE GUZMAN, LEODY (PLM)",PLM,61,0.27 %
REGION VII,NEGROS ORIENTAL,MANJUYOD,PRESIDENT PHILIPPINES,8,"MONTEMAYOR, JOSE JR. (DPP)",DPP,59,0.26 %
REGION VII,NEGROS ORIENTAL,MANJUYOD,PRESIDENT PHILIPPINES,9,"GONZALES, NORBERTO (PDSP)",PDSP,49,0.22 %
REGION VII,NEGROS ORIENTAL,MANJUYOD,PRESIDENT PHILIPPINES,10,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,18,0.08 %
REGION VII,NEGROS ORIENTAL,MANJUYOD,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,9560,50.56 %
REGION VII,NEGROS ORIENTAL,MANJUYOD,VICE PRESIDENT PHILIPPINES,2,"PANGILINAN, KIKO (LP)",LP,5793,30.63 %
REGION VII,NEGROS ORIENTAL,MANJUYOD,VICE PRESIDENT PHILIPPINES,3,"SOTTO, VICENTE TITO (NPC)",NPC,2221,11.74 %
REGION VII,NEGROS ORIENTAL,MANJUYOD,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,451,2.38 %
REGION VII,NEGROS ORIENTAL,MANJUYOD,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,384,2.03 %
REGION VII,NEGROS ORIENTAL,MANJUYOD,VICE PRESIDENT PHILIPPINES,6,"LOPEZ, MANNY SD (WPP)",WPP,276,1.45 %
REGION VII,NEGROS ORIENTAL,MANJUYOD,VICE PRESIDENT PHILIPPINES,7,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,90,0.47 %
REGION VII,NEGROS ORIENTAL,MANJUYOD,VICE PRESIDENT PHILIPPINES,8,"BELLO, WALDEN (PLM)",PLM,78,0.41 %
REGION VII,NEGROS ORIENTAL,MANJUYOD,VICE PRESIDENT PHILIPPINES,9,"DAVID, RIZALITO (DPP)",DPP,54,0.28 %
REGION VII,NEGROS ORIENTAL,MANJUYOD,SENATOR PHILIPPINES,1,"PADILLA, ROBIN (PDPLBN)",PDPLBN,8461,7.31 %
REGION VII,NEGROS ORIENTAL,MANJUYOD,SENATOR PHILIPPINES,2,"TULFO, IDOL RAFFY (IND)",IND,8273,7.15 %
REGION VII,NEGROS ORIENTAL,MANJUYOD,SENATOR PHILIPPINES,3,"CAYETANO, ALAN PETER (IND)",IND,6211,5.37 %
REGION VII,NEGROS ORIENTAL,MANJUYOD,SENATOR PHILIPPINES,4,"LEGARDA, LOREN (NPC)",NPC,6070,5.25 %
REGION VII,NEGROS ORIENTAL,MANJUYOD,SENATOR PHILIPPINES,5,"VILLAR, MARK (NP)",NP,5637,4.87 %
REGION VII,NEGROS ORIENTAL,MANJUYOD,SENATOR PHILIPPINES,6,"VILLANUEVA,JOEL TESDAMAN (IND)",IND,5478,4.73 %
REGION VII,NEGROS ORIENTAL,MANJUYOD,SENATOR PHILIPPINES,7,"GATCHALIAN, WIN (NPC)",NPC,5290,4.57 %
REGION VII,NEGROS ORIENTAL,MANJUYOD,SENATOR PHILIPPINES,8,"ESCUDERO, CHIZ (NPC)",NPC,5060,4.37 %
