region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VIII,LEYTE,BATO,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,24,0.12 %
REGION VIII,LEYTE,BATO,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,16,0.08 %
REGION VIII,LEYTE,BATO,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,736,3.70 %
REGION VIII,LEYTE,BATO,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,42,0.21 %
REGION VIII,LEYTE,BATO,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,126,0.63 %
REGION VIII,LEYTE,BATO,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,12,0.06 %
REGION VIII,LEYTE,BATO,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,14721,74.01 %
REGION VIII,LEYTE,BATO,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,100,0.51 %
REGION VIII,LEYTE,BATO,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,13,0.06 %
REGION VIII,LEYTE,BATO,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,9,0.04 %
REGION VIII,LEYTE,BATO,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,16646,85.76 %
REGION VIII,LEYTE,BATO,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,43,0.22 %
REGION VIII,LEYTE,BATO,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,292,1.50 %
REGION VIII,LEYTE,BATO,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,1250,6.44 %
REGION VIII,LEYTE,BATO,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,51,0.26 %
REGION VIII,LEYTE,BATO,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,1004,5.17 %
REGION VIII,LEYTE,BATO,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,204,0.13 %
REGION VIII,LEYTE,BATO,SENATOR PHILIPPINES,2,"ALBANI, IBRAHIM",WPP,161,0.10 %
REGION VIII,LEYTE,BATO,SENATOR PHILIPPINES,3,"ARRANZA, MANG JESS",IND,139,0.09 %
REGION VIII,LEYTE,BATO,SENATOR PHILIPPINES,4,"BAGUILAT, TEDDY",LP,429,0.28 %
REGION VIII,LEYTE,BATO,SENATOR PHILIPPINES,5,"BAILEN, AGNES",IND,138,0.09 %
REGION VIII,LEYTE,BATO,SENATOR PHILIPPINES,6,"BALITA, CARL",AKSYON,1021,0.68 %
REGION VIII,LEYTE,BATO,SENATOR PHILIPPINES,7,"BARBO, LUTZ",PDPLBN,296,0.19 %
REGION VIII,LEYTE,BATO,SENATOR PHILIPPINES,8,"BAUTISTA, HERBERT BISTEK",NPC,3166,2.13 %
