region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VIII,LEYTE,HILONGOS,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,26416,75.79 %
REGION VIII,LEYTE,HILONGOS,PRESIDENT PHILIPPINES,2,"ROBREDO, LENI (IND)",IND,5862,16.81 %
REGION VIII,LEYTE,HILONGOS,PRESIDENT PHILIPPINES,3,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,1345,3.85 %
REGION VIII,LEYTE,HILONGOS,PRESIDENT PHILIPPINES,4,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,624,1.79 %
REGION VIII,LEYTE,HILONGOS,PRESIDENT PHILIPPINES,5,"LACSON, PING (PDR)",PDR,285,0.81 %
REGION VIII,LEYTE,HILONGOS,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,95,0.27 %
REGION VIII,LEYTE,HILONGOS,PRESIDENT PHILIPPINES,7,"ABELLA, ERNIE (IND)",IND,73,0.20 %
REGION VIII,LEYTE,HILONGOS,PRESIDENT PHILIPPINES,8,"GONZALES, NORBERTO (PDSP)",PDSP,70,0.20 %
REGION VIII,LEYTE,HILONGOS,PRESIDENT PHILIPPINES,9,"DE GUZMAN, LEODY (PLM)",PLM,42,0.12 %
REGION VIII,LEYTE,HILONGOS,PRESIDENT PHILIPPINES,10,"MONTEMAYOR, JOSE JR. (DPP)",DPP,40,0.11 %
REGION VIII,LEYTE,HILONGOS,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,28371,85.52 %
REGION VIII,LEYTE,HILONGOS,VICE PRESIDENT PHILIPPINES,2,"PANGILINAN, KIKO (LP)",LP,2924,8.81 %
REGION VIII,LEYTE,HILONGOS,VICE PRESIDENT PHILIPPINES,3,"SOTTO, VICENTE TITO (NPC)",NPC,1271,3.83 %
REGION VIII,LEYTE,HILONGOS,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,320,0.96 %
REGION VIII,LEYTE,HILONGOS,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,116,0.34 %
REGION VIII,LEYTE,HILONGOS,VICE PRESIDENT PHILIPPINES,6,"BELLO, WALDEN (PLM)",PLM,58,0.17 %
REGION VIII,LEYTE,HILONGOS,VICE PRESIDENT PHILIPPINES,7,"LOPEZ, MANNY SD (WPP)",WPP,38,0.11 %
REGION VIII,LEYTE,HILONGOS,VICE PRESIDENT PHILIPPINES,8,"DAVID, RIZALITO (DPP)",DPP,37,0.11 %
REGION VIII,LEYTE,HILONGOS,VICE PRESIDENT PHILIPPINES,9,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,36,0.10 %
REGION VIII,LEYTE,HILONGOS,SENATOR PHILIPPINES,1,"PADILLA, ROBIN (PDPLBN)",PDPLBN,18078,8.21 %
REGION VIII,LEYTE,HILONGOS,SENATOR PHILIPPINES,2,"TULFO, IDOL RAFFY (IND)",IND,12803,5.81 %
REGION VIII,LEYTE,HILONGOS,SENATOR PHILIPPINES,3,"LEGARDA, LOREN (NPC)",NPC,11234,5.10 %
REGION VIII,LEYTE,HILONGOS,SENATOR PHILIPPINES,4,"CAYETANO, ALAN PETER (IND)",IND,10636,4.83 %
REGION VIII,LEYTE,HILONGOS,SENATOR PHILIPPINES,5,"VILLAR, MARK (NP)",NP,10417,4.73 %
REGION VIII,LEYTE,HILONGOS,SENATOR PHILIPPINES,6,"ZUBIRI, MIGZ (IND)",IND,8780,3.98 %
REGION VIII,LEYTE,HILONGOS,SENATOR PHILIPPINES,7,"GATCHALIAN, WIN (NPC)",NPC,8767,3.98 %
REGION VIII,LEYTE,HILONGOS,SENATOR PHILIPPINES,8,"ESCUDERO, CHIZ (NPC)",NPC,8314,3.77 %
REGION VIII,LEYTE,HILONGOS,SENATOR PHILIPPINES,9,"ROQUE, HARRY SPOX (PRP)",PRP,8007,3.63 %
REGION VIII,LEYTE,HILONGOS,SENATOR PHILIPPINES,10,"TEODORO, GIBO (PRP)",PRP,7244,3.29 %
REGION VIII,LEYTE,HILONGOS,SENATOR PHILIPPINES,11,"VILLANUEVA,JOEL TESDAMAN (IND)",IND,7144,3.24 %
REGION VIII,LEYTE,HILONGOS,SENATOR PHILIPPINES,12,"PANELO, SAL PANALO (PDPLBN)",PDPLBN,6850,3.11 %
REGION VIII,LEYTE,HILONGOS,SENATOR PHILIPPINES,13,"ESTRADA, JINGGOY (PMP)",PMP,6481,2.94 %
REGION VIII,LEYTE,HILONGOS,SENATOR PHILIPPINES,14,"EJERCITO, JV ESTRADA (NPC)",NPC,6225,2.82 %
REGION VIII,LEYTE,HILONGOS,SENATOR PHILIPPINES,15,"HONTIVEROS, RISA (AKBAYAN)",AKBAYAN,6052,2.74 %
REGION VIII,LEYTE,HILONGOS,SENATOR PHILIPPINES,16,"BAUTISTA, HERBERT BISTEK (NPC)",NPC,5713,2.59 %
REGION VIII,LEYTE,HILONGOS,SENATOR PHILIPPINES,17,"GORDON, WOW DICK (BVNP)",BVNP,5620,2.55 %
REGION VIII,LEYTE,HILONGOS,SENATOR PHILIPPINES,18,"PIMENTEL, ASTRA (PDPLBN)",PDPLBN,5314,2.41 %
REGION VIII,LEYTE,HILONGOS,SENATOR PHILIPPINES,19,"HONASAN, GRINGO (IND)",IND,5220,2.37 %
REGION VIII,LEYTE,HILONGOS,SENATOR PHILIPPINES,20,"BINAY, JOJO (UNA)",UNA,5217,2.37 %
REGION VIII,LEYTE,HILONGOS,SENATOR PHILIPPINES,21,"GADON, LARRY (KBL)",KBL,5112,2.32 %
REGION VIII,LEYTE,HILONGOS,SENATOR PHILIPPINES,22,"MARCOLETA, RODANTE (PDPLBN)",PDPLBN,3939,1.78 %
REGION VIII,LEYTE,HILONGOS,SENATOR PHILIPPINES,23,"BELLO, SILVESTRE JR. (PDPLBN)",PDPLBN,3895,1.76 %
REGION VIII,LEYTE,HILONGOS,SENATOR PHILIPPINES,24,"ELEAZAR, GEN. GUILLERMO (PDR)",PDR,3365,1.52 %
REGION VIII,LEYTE,HILONGOS,SENATOR PHILIPPINES,25,"DIOKNO, CHEL (KANP)",KANP,3167,1.43 %
REGION VIII,LEYTE,HILONGOS,SENATOR PHILIPPINES,26,"BARBO, LUTZ (PDPLBN)",PDPLBN,3046,1.38 %
REGION VIII,LEYTE,HILONGOS,SENATOR PHILIPPINES,27,"PADILLA, DRA. MINGUITA (PDR)",PDR,2573,1.16 %
REGION VIII,LEYTE,HILONGOS,SENATOR PHILIPPINES,28,"CASTRICIONES, BRO JOHN(PDPLBN)",PDPLBN,2564,1.16 %
REGION VIII,LEYTE,HILONGOS,SENATOR PHILIPPINES,29,"LANGIT, REY (PDPLBN)",PDPLBN,2534,1.15 %
REGION VIII,LEYTE,HILONGOS,SENATOR PHILIPPINES,30,"TRILLANES, ANTONIO IV (LP)",LP,2400,1.09 %
