region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VIII,LEYTE,JARO,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,20063,81.70 %
REGION VIII,LEYTE,JARO,PRESIDENT PHILIPPINES,2,"ROBREDO, LENI (IND)",IND,2381,9.69 %
REGION VIII,LEYTE,JARO,PRESIDENT PHILIPPINES,3,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,1085,4.41 %
REGION VIII,LEYTE,JARO,PRESIDENT PHILIPPINES,4,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,455,1.85 %
REGION VIII,LEYTE,JARO,PRESIDENT PHILIPPINES,5,"LACSON, PING (PDR)",PDR,273,1.11 %
REGION VIII,LEYTE,JARO,PRESIDENT PHILIPPINES,6,"ABELLA, ERNIE (IND)",IND,129,0.52 %
REGION VIII,LEYTE,JARO,PRESIDENT PHILIPPINES,7,"DE GUZMAN, LEODY (PLM)",PLM,67,0.27 %
REGION VIII,LEYTE,JARO,PRESIDENT PHILIPPINES,8,"MONTEMAYOR, JOSE JR. (DPP)",DPP,43,0.17 %
REGION VIII,LEYTE,JARO,PRESIDENT PHILIPPINES,9,"GONZALES, NORBERTO (PDSP)",PDSP,41,0.16 %
REGION VIII,LEYTE,JARO,PRESIDENT PHILIPPINES,10,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,19,0.07 %
REGION VIII,LEYTE,JARO,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,16132,70.74 %
REGION VIII,LEYTE,JARO,VICE PRESIDENT PHILIPPINES,2,"SOTTO, VICENTE TITO (NPC)",NPC,4537,19.89 %
REGION VIII,LEYTE,JARO,VICE PRESIDENT PHILIPPINES,3,"PANGILINAN, KIKO (LP)",LP,1405,6.16 %
REGION VIII,LEYTE,JARO,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,364,1.59 %
REGION VIII,LEYTE,JARO,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,127,0.55 %
REGION VIII,LEYTE,JARO,VICE PRESIDENT PHILIPPINES,6,"BELLO, WALDEN (PLM)",PLM,90,0.39 %
REGION VIII,LEYTE,JARO,VICE PRESIDENT PHILIPPINES,7,"LOPEZ, MANNY SD (WPP)",WPP,60,0.26 %
REGION VIII,LEYTE,JARO,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,51,0.22 %
REGION VIII,LEYTE,JARO,VICE PRESIDENT PHILIPPINES,9,"DAVID, RIZALITO (DPP)",DPP,36,0.15 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,1,"PADILLA, ROBIN (PDPLBN)",PDPLBN,10608,7.17 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,2,"LEGARDA, LOREN (NPC)",NPC,8602,5.81 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,3,"TULFO, IDOL RAFFY (IND)",IND,8364,5.65 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,4,"VILLAR, MARK (NP)",NP,7640,5.16 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,5,"ESTRADA, JINGGOY (PMP)",PMP,7023,4.74 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,6,"ESCUDERO, CHIZ (NPC)",NPC,6956,4.70 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,7,"VILLANUEVA,JOEL TESDAMAN (IND)",IND,6729,4.54 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,8,"GATCHALIAN, WIN (NPC)",NPC,6592,4.45 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,9,"BINAY, JOJO (UNA)",UNA,6565,4.43 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,10,"CAYETANO, ALAN PETER (IND)",IND,6339,4.28 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,11,"EJERCITO, JV ESTRADA (NPC)",NPC,5961,4.03 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,12,"ZUBIRI, MIGZ (IND)",IND,5450,3.68 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,13,"HONTIVEROS, RISA (AKBAYAN)",AKBAYAN,4883,3.30 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,14,"ROQUE, HARRY SPOX (PRP)",PRP,4665,3.15 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,15,"BAUTISTA, HERBERT BISTEK (NPC)",NPC,4619,3.12 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,16,"TEODORO, GIBO (PRP)",PRP,4193,2.83 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,17,"HONASAN, GRINGO (IND)",IND,3851,2.60 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,18,"GADON, LARRY (KBL)",KBL,3492,2.36 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,19,"ELEAZAR, GEN. GUILLERMO (PDR)",PDR,2962,2.00 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,20,"DIOKNO, CHEL (KANP)",KANP,2896,1.95 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,21,"TRILLANES, ANTONIO IV (LP)",LP,2547,1.72 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,22,"GORDON, WOW DICK (BVNP)",BVNP,2165,1.46 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,23,"MARCOS, FRANCIS LEO (IND)",IND,1778,1.20 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,24,"PADILLA, DRA. MINGUITA (PDR)",PDR,1608,1.08 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,25,"BALITA, CARL (AKSYON)",AKSYON,1581,1.06 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,26,"PANELO, SAL PANALO (PDPLBN)",PDPLBN,1352,0.91 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,27,"LACSON, KUYA ALEX (KP)",KP,1349,0.91 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,28,"BELGICA, GRECO (PDDS)",PDDS,1322,0.89 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,29,"DE LIMA, LEILA (LP)",LP,1312,0.88 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,30,"COLMENARES, NERI (MKBYN)",MKBYN,1304,0.88 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,31,"DEL ROSARIO, MONSOUR (PDR)",PDR,1254,0.84 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,32,"PIÑOL, MANNY (NPC)",NPC,1192,0.80 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,33,"MARCOLETA, RODANTE (PDPLBN)",PDPLBN,1165,0.78 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,34,"PIMENTEL, ASTRA (PDPLBN)",PDPLBN,863,0.58 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,35,"BAGUILAT, TEDDY (LP)",LP,793,0.53 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,36,"ESPIRITU, LUKE (PLM)",PLM,632,0.42 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,37,"BELLO, SILVESTRE JR. (PDPLBN)",PDPLBN,511,0.34 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,38,"LANGIT, REY (PDPLBN)",PDPLBN,442,0.29 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,39,"BARBO, LUTZ (PDPLBN)",PDPLBN,435,0.29 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,40,"SISON, JOPET (AKSYON)",AKSYON,417,0.28 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,41,"AFUANG, ABNER (IND)",IND,380,0.25 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,42,"CHAVEZ, MELCHOR (WPP)",WPP,380,0.25 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,43,"MATULA, SONNY (IND)",IND,364,0.24 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,44,"ZUBIAGA, CARMEN (IND)",IND,313,0.21 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,45,"BAILEN, AGNES (IND)",IND,308,0.20 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,46,"LABOG, ELMER (MKBYN)",MKBYN,301,0.20 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,47,"ARRANZA, MANG JESS (IND)",IND,288,0.19 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,48,"ALBANI, IBRAHIM (WPP)",WPP,278,0.18 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,49,"CABONEGRO, ROY (PLM)",PLM,257,0.17 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,50,"GUTOC, SAMIRA (AKSYON)",AKSYON,256,0.17 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,51,"D'ANGELO, DAVID (PLM)",PLM,242,0.16 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,52,"JAVELLANA, RJ (IND)",IND,199,0.13 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,53,"DIAZ, DING (PPP)",PPP,191,0.12 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,54,"CASTRICIONES, BRO JOHN(PDPLBN)",PDPLBN,189,0.12 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,55,"RICABLANCA, WILLIE JR. (PM)",PM,181,0.12 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,56,"LIM, ARIEL (IND)",IND,177,0.11 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,57,"OLARTE, ATTY/DR. LEO (BIGKIS)",BIGKIS,171,0.11 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,58,"VALEROS, REY (IND)",IND,157,0.10 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,59,"EREÑO, BRO. ERNIE (PM)",PM,155,0.10 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,60,"KIRAM, NUR-MAHAL (IND)",IND,154,0.10 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,61,"FALCONE, BAL FALCON (DPP)",DPP,151,0.10 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,62,"MALLILLIN, EMILY (PPM)",PPM,146,0.09 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,63,"MINDALANO-ADAM,MARIETA(KTPNAN)",KTPNAN,129,0.08 %
REGION VIII,LEYTE,JARO,SENATOR PHILIPPINES,64,"SAHIDULLA, LADY ANNE (PDDS)",PDDS,112,0.07 %
REGION VIII,LEYTE,JARO,PROVINCIAL GOVERNOR LEYTE,1,"PETILLA, ICOT (PDPLBN)",PDPLBN,12672,70.70 %
REGION VIII,LEYTE,JARO,PROVINCIAL GOVERNOR LEYTE,2,"OPINIANO, AVIT (PRP)",PRP,4980,27.78 %
REGION VIII,LEYTE,JARO,PROVINCIAL GOVERNOR LEYTE,3,"GACGACAO, ROMULO (IND)",IND,271,1.51 %
REGION VIII,LEYTE,JARO,PROVINCIAL VICE-GOVERNOR LEYTE,1,"JAVIER, SANDY (PDPLBN)",PDPLBN,14406,81.65 %
REGION VIII,LEYTE,JARO,PROVINCIAL VICE-GOVERNOR LEYTE,2,"PILPA, CARLO (IND)",IND,3236,18.34 %
REGION VIII,LEYTE,JARO,"MEMBER, SANGGUNIANG PANLALAWIGAN LEYTE - SECOND PROVDIST",1,"APOSTOL, EBBIE (PDPLBN)",PDPLBN,9499,37.44 %
REGION VIII,LEYTE,JARO,"MEMBER, SANGGUNIANG PANLALAWIGAN LEYTE - SECOND PROVDIST",2,"VILLASIN, RAISSA (PDPLBN)",PDPLBN,8654,34.11 %
REGION VIII,LEYTE,JARO,"MEMBER, SANGGUNIANG PANLALAWIGAN LEYTE - SECOND PROVDIST",3,"GARAY, DENNIS (KBL)",KBL,2882,11.36 %
