region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VIII,LEYTE,MAYORGA,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,7586,80.30 %
REGION VIII,LEYTE,MAYORGA,PRESIDENT PHILIPPINES,2,"ROBREDO, LENI (IND)",IND,1053,11.14 %
REGION VIII,LEYTE,MAYORGA,PRESIDENT PHILIPPINES,3,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,432,4.57 %
REGION VIII,LEYTE,MAYORGA,PRESIDENT PHILIPPINES,4,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,158,1.67 %
REGION VIII,LEYTE,MAYORGA,PRESIDENT PHILIPPINES,5,"LACSON, PING (PDR)",PDR,75,0.79 %
REGION VIII,LEYTE,MAYORGA,PRESIDENT PHILIPPINES,6,"DE GUZMAN, LEODY (PLM)",PLM,62,0.65 %
REGION VIII,LEYTE,MAYORGA,PRESIDENT PHILIPPINES,7,"ABELLA, ERNIE (IND)",IND,38,0.40 %
REGION VIII,LEYTE,MAYORGA,PRESIDENT PHILIPPINES,8,"GONZALES, NORBERTO (PDSP)",PDSP,24,0.25 %
REGION VIII,LEYTE,MAYORGA,PRESIDENT PHILIPPINES,9,"MONTEMAYOR, JOSE JR. (DPP)",DPP,10,0.10 %
REGION VIII,LEYTE,MAYORGA,PRESIDENT PHILIPPINES,10,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,9,0.09 %
REGION VIII,LEYTE,MAYORGA,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,6638,76.19 %
REGION VIII,LEYTE,MAYORGA,VICE PRESIDENT PHILIPPINES,2,"SOTTO, VICENTE TITO (NPC)",NPC,1147,13.16 %
REGION VIII,LEYTE,MAYORGA,VICE PRESIDENT PHILIPPINES,3,"PANGILINAN, KIKO (LP)",LP,602,6.91 %
REGION VIII,LEYTE,MAYORGA,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,192,2.20 %
REGION VIII,LEYTE,MAYORGA,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,39,0.44 %
REGION VIII,LEYTE,MAYORGA,VICE PRESIDENT PHILIPPINES,6,"LOPEZ, MANNY SD (WPP)",WPP,37,0.42 %
REGION VIII,LEYTE,MAYORGA,VICE PRESIDENT PHILIPPINES,7,"BELLO, WALDEN (PLM)",PLM,23,0.26 %
REGION VIII,LEYTE,MAYORGA,VICE PRESIDENT PHILIPPINES,8,"DAVID, RIZALITO (DPP)",DPP,21,0.24 %
REGION VIII,LEYTE,MAYORGA,VICE PRESIDENT PHILIPPINES,9,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,13,0.14 %
REGION VIII,LEYTE,MAYORGA,SENATOR PHILIPPINES,1,"PADILLA, ROBIN (PDPLBN)",PDPLBN,4389,7.91 %
REGION VIII,LEYTE,MAYORGA,SENATOR PHILIPPINES,2,"TULFO, IDOL RAFFY (IND)",IND,3508,6.32 %
REGION VIII,LEYTE,MAYORGA,SENATOR PHILIPPINES,3,"LEGARDA, LOREN (NPC)",NPC,3120,5.62 %
REGION VIII,LEYTE,MAYORGA,SENATOR PHILIPPINES,4,"VILLAR, MARK (NP)",NP,2665,4.80 %
REGION VIII,LEYTE,MAYORGA,SENATOR PHILIPPINES,5,"BINAY, JOJO (UNA)",UNA,2557,4.61 %
REGION VIII,LEYTE,MAYORGA,SENATOR PHILIPPINES,6,"GATCHALIAN, WIN (NPC)",NPC,2513,4.53 %
REGION VIII,LEYTE,MAYORGA,SENATOR PHILIPPINES,7,"CAYETANO, ALAN PETER (IND)",IND,2478,4.47 %
REGION VIII,LEYTE,MAYORGA,SENATOR PHILIPPINES,8,"ESCUDERO, CHIZ (NPC)",NPC,2473,4.46 %
REGION VIII,LEYTE,MAYORGA,SENATOR PHILIPPINES,9,"ESTRADA, JINGGOY (PMP)",PMP,2442,4.40 %
REGION VIII,LEYTE,MAYORGA,SENATOR PHILIPPINES,10,"EJERCITO, JV ESTRADA (NPC)",NPC,2147,3.87 %
REGION VIII,LEYTE,MAYORGA,SENATOR PHILIPPINES,11,"ZUBIRI, MIGZ (IND)",IND,2135,3.85 %
REGION VIII,LEYTE,MAYORGA,SENATOR PHILIPPINES,12,"BAUTISTA, HERBERT BISTEK (NPC)",NPC,1991,3.59 %
REGION VIII,LEYTE,MAYORGA,SENATOR PHILIPPINES,13,"VILLANUEVA,JOEL TESDAMAN (IND)",IND,1915,3.45 %
REGION VIII,LEYTE,MAYORGA,SENATOR PHILIPPINES,14,"ROQUE, HARRY SPOX (PRP)",PRP,1902,3.43 %
REGION VIII,LEYTE,MAYORGA,SENATOR PHILIPPINES,15,"HONTIVEROS, RISA (AKBAYAN)",AKBAYAN,1677,3.02 %
REGION VIII,LEYTE,MAYORGA,SENATOR PHILIPPINES,16,"GADON, LARRY (KBL)",KBL,1456,2.62 %
REGION VIII,LEYTE,MAYORGA,SENATOR PHILIPPINES,17,"TEODORO, GIBO (PRP)",PRP,1370,2.47 %
REGION VIII,LEYTE,MAYORGA,SENATOR PHILIPPINES,18,"HONASAN, GRINGO (IND)",IND,1312,2.36 %
REGION VIII,LEYTE,MAYORGA,SENATOR PHILIPPINES,19,"GORDON, WOW DICK (BVNP)",BVNP,1091,1.96 %
REGION VIII,LEYTE,MAYORGA,SENATOR PHILIPPINES,20,"ELEAZAR, GEN. GUILLERMO (PDR)",PDR,953,1.71 %
REGION VIII,LEYTE,MAYORGA,SENATOR PHILIPPINES,21,"DIOKNO, CHEL (KANP)",KANP,815,1.47 %
REGION VIII,LEYTE,MAYORGA,SENATOR PHILIPPINES,22,"MARCOS, FRANCIS LEO (IND)",IND,757,1.36 %
