region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VIII,LEYTE,PALO,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,28290,78.13 %
REGION VIII,LEYTE,PALO,PRESIDENT PHILIPPINES,2,"ROBREDO, LENI (IND)",IND,5208,14.38 %
REGION VIII,LEYTE,PALO,PRESIDENT PHILIPPINES,3,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,1164,3.21 %
REGION VIII,LEYTE,PALO,PRESIDENT PHILIPPINES,4,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,702,1.93 %
REGION VIII,LEYTE,PALO,PRESIDENT PHILIPPINES,5,"LACSON, PING (PDR)",PDR,522,1.44 %
REGION VIII,LEYTE,PALO,PRESIDENT PHILIPPINES,6,"ABELLA, ERNIE (IND)",IND,90,0.24 %
REGION VIII,LEYTE,PALO,PRESIDENT PHILIPPINES,7,"DE GUZMAN, LEODY (PLM)",PLM,75,0.20 %
REGION VIII,LEYTE,PALO,PRESIDENT PHILIPPINES,8,"GONZALES, NORBERTO (PDSP)",PDSP,71,0.19 %
REGION VIII,LEYTE,PALO,PRESIDENT PHILIPPINES,9,"MONTEMAYOR, JOSE JR. (DPP)",DPP,47,0.12 %
REGION VIII,LEYTE,PALO,PRESIDENT PHILIPPINES,10,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,38,0.10 %
REGION VIII,LEYTE,PALO,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,26084,74.90 %
REGION VIII,LEYTE,PALO,VICE PRESIDENT PHILIPPINES,2,"SOTTO, VICENTE TITO (NPC)",NPC,4144,11.90 %
REGION VIII,LEYTE,PALO,VICE PRESIDENT PHILIPPINES,3,"PANGILINAN, KIKO (LP)",LP,3298,9.47 %
REGION VIII,LEYTE,PALO,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,905,2.59 %
REGION VIII,LEYTE,PALO,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,131,0.37 %
REGION VIII,LEYTE,PALO,VICE PRESIDENT PHILIPPINES,6,"BELLO, WALDEN (PLM)",PLM,92,0.26 %
REGION VIII,LEYTE,PALO,VICE PRESIDENT PHILIPPINES,7,"LOPEZ, MANNY SD (WPP)",WPP,72,0.20 %
REGION VIII,LEYTE,PALO,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,64,0.18 %
REGION VIII,LEYTE,PALO,VICE PRESIDENT PHILIPPINES,9,"DAVID, RIZALITO (DPP)",DPP,32,0.09 %
REGION VIII,LEYTE,PALO,SENATOR PHILIPPINES,1,"PADILLA, ROBIN (PDPLBN)",PDPLBN,15840,6.10 %
REGION VIII,LEYTE,PALO,SENATOR PHILIPPINES,2,"LEGARDA, LOREN (NPC)",NPC,15352,5.91 %
REGION VIII,LEYTE,PALO,SENATOR PHILIPPINES,3,"TULFO, IDOL RAFFY (IND)",IND,13738,5.29 %
