region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VIII,LEYTE,SANTA FE,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,10107,84.39 %
REGION VIII,LEYTE,SANTA FE,PRESIDENT PHILIPPINES,2,"ROBREDO, LENI (IND)",IND,955,7.97 %
REGION VIII,LEYTE,SANTA FE,PRESIDENT PHILIPPINES,3,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,481,4.01 %
REGION VIII,LEYTE,SANTA FE,PRESIDENT PHILIPPINES,4,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,213,1.77 %
REGION VIII,LEYTE,SANTA FE,PRESIDENT PHILIPPINES,5,"LACSON, PING (PDR)",PDR,120,1.00 %
REGION VIII,LEYTE,SANTA FE,PRESIDENT PHILIPPINES,6,"ABELLA, ERNIE (IND)",IND,38,0.31 %
REGION VIII,LEYTE,SANTA FE,PRESIDENT PHILIPPINES,7,"MONTEMAYOR, JOSE JR. (DPP)",DPP,22,0.18 %
REGION VIII,LEYTE,SANTA FE,PRESIDENT PHILIPPINES,8,"DE GUZMAN, LEODY (PLM)",PLM,19,0.15 %
REGION VIII,LEYTE,SANTA FE,PRESIDENT PHILIPPINES,9,"GONZALES, NORBERTO (PDSP)",PDSP,16,0.13 %
REGION VIII,LEYTE,SANTA FE,PRESIDENT PHILIPPINES,10,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,5,0.04 %
REGION VIII,LEYTE,SANTA FE,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,7810,68.81 %
REGION VIII,LEYTE,SANTA FE,VICE PRESIDENT PHILIPPINES,2,"SOTTO, VICENTE TITO (NPC)",NPC,2562,22.57 %
REGION VIII,LEYTE,SANTA FE,VICE PRESIDENT PHILIPPINES,3,"PANGILINAN, KIKO (LP)",LP,587,5.17 %
REGION VIII,LEYTE,SANTA FE,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,215,1.89 %
REGION VIII,LEYTE,SANTA FE,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,61,0.53 %
REGION VIII,LEYTE,SANTA FE,VICE PRESIDENT PHILIPPINES,6,"DAVID, RIZALITO (DPP)",DPP,41,0.36 %
REGION VIII,LEYTE,SANTA FE,VICE PRESIDENT PHILIPPINES,7,"BELLO, WALDEN (PLM)",PLM,30,0.26 %
REGION VIII,LEYTE,SANTA FE,VICE PRESIDENT PHILIPPINES,8,"LOPEZ, MANNY SD (WPP)",WPP,25,0.22 %
REGION VIII,LEYTE,SANTA FE,VICE PRESIDENT PHILIPPINES,9,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,18,0.15 %
REGION VIII,LEYTE,SANTA FE,SENATOR PHILIPPINES,1,"PADILLA, ROBIN (PDPLBN)",PDPLBN,5732,7.50 %
REGION VIII,LEYTE,SANTA FE,SENATOR PHILIPPINES,2,"LEGARDA, LOREN (NPC)",NPC,4399,5.75 %
REGION VIII,LEYTE,SANTA FE,SENATOR PHILIPPINES,3,"TULFO, IDOL RAFFY (IND)",IND,4390,5.74 %
REGION VIII,LEYTE,SANTA FE,SENATOR PHILIPPINES,4,"BAUTISTA, HERBERT BISTEK (NPC)",NPC,4388,5.74 %
REGION VIII,LEYTE,SANTA FE,SENATOR PHILIPPINES,5,"ESTRADA, JINGGOY (PMP)",PMP,3771,4.93 %
