region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VIII,LEYTE,VILLABA,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,50,0.21 %
REGION VIII,LEYTE,VILLABA,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,46,0.20 %
REGION VIII,LEYTE,VILLABA,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,381,1.66 %
REGION VIII,LEYTE,VILLABA,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,62,0.27 %
REGION VIII,LEYTE,VILLABA,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,174,0.76 %
REGION VIII,LEYTE,VILLABA,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,11,0.04 %
REGION VIII,LEYTE,VILLABA,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,14963,65.38 %
REGION VIII,LEYTE,VILLABA,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,243,1.19 %
REGION VIII,LEYTE,VILLABA,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,66,0.32 %
REGION VIII,LEYTE,VILLABA,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,25,0.12 %
REGION VIII,LEYTE,VILLABA,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,15676,77.24 %
REGION VIII,LEYTE,VILLABA,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,57,0.28 %
REGION VIII,LEYTE,VILLABA,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,275,1.35 %
REGION VIII,LEYTE,VILLABA,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,2311,11.38 %
REGION VIII,LEYTE,VILLABA,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,38,0.18 %
REGION VIII,LEYTE,VILLABA,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,1602,7.89 %
REGION VIII,LEYTE,VILLABA,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,205,0.15 %
REGION VIII,LEYTE,VILLABA,SENATOR PHILIPPINES,2,"ALBANI, IBRAHIM",WPP,222,0.16 %
REGION VIII,LEYTE,VILLABA,SENATOR PHILIPPINES,3,"ARRANZA, MANG JESS",IND,191,0.14 %
REGION VIII,LEYTE,VILLABA,SENATOR PHILIPPINES,4,"BAGUILAT, TEDDY",LP,550,0.41 %
REGION VIII,LEYTE,VILLABA,SENATOR PHILIPPINES,5,"BAILEN, AGNES",IND,164,0.12 %
