region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VIII,NORTHERN SAMAR,ALLEN,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,7812,45.81 %
REGION VIII,NORTHERN SAMAR,ALLEN,PRESIDENT PHILIPPINES,2,"ROBREDO, LENI (IND)",IND,6346,37.21 %
REGION VIII,NORTHERN SAMAR,ALLEN,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,1447,8.48 %
REGION VIII,NORTHERN SAMAR,ALLEN,PRESIDENT PHILIPPINES,4,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,1136,6.66 %
REGION VIII,NORTHERN SAMAR,ALLEN,PRESIDENT PHILIPPINES,5,"LACSON, PING (PDR)",PDR,139,0.81 %
REGION VIII,NORTHERN SAMAR,ALLEN,PRESIDENT PHILIPPINES,6,"ABELLA, ERNIE (IND)",IND,52,0.30 %
REGION VIII,NORTHERN SAMAR,ALLEN,PRESIDENT PHILIPPINES,7,"DE GUZMAN, LEODY (PLM)",PLM,48,0.28 %
REGION VIII,NORTHERN SAMAR,ALLEN,PRESIDENT PHILIPPINES,8,"GONZALES, NORBERTO (PDSP)",PDSP,33,0.19 %
REGION VIII,NORTHERN SAMAR,ALLEN,PRESIDENT PHILIPPINES,9,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,22,0.12 %
REGION VIII,NORTHERN SAMAR,ALLEN,PRESIDENT PHILIPPINES,10,"MONTEMAYOR, JOSE JR. (DPP)",DPP,15,0.08 %
REGION VIII,NORTHERN SAMAR,ALLEN,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,9644,60.53 %
REGION VIII,NORTHERN SAMAR,ALLEN,VICE PRESIDENT PHILIPPINES,2,"PANGILINAN, KIKO (LP)",LP,2744,17.22 %
REGION VIII,NORTHERN SAMAR,ALLEN,VICE PRESIDENT PHILIPPINES,3,"SOTTO, VICENTE TITO (NPC)",NPC,2358,14.80 %
REGION VIII,NORTHERN SAMAR,ALLEN,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,931,5.84 %
REGION VIII,NORTHERN SAMAR,ALLEN,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,98,0.61 %
REGION VIII,NORTHERN SAMAR,ALLEN,VICE PRESIDENT PHILIPPINES,6,"BELLO, WALDEN (PLM)",PLM,59,0.37 %
