region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VIII,NORTHERN SAMAR,BOBON,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,93,0.69 %
REGION VIII,NORTHERN SAMAR,BOBON,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,48,0.35 %
REGION VIII,NORTHERN SAMAR,BOBON,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,368,2.73 %
REGION VIII,NORTHERN SAMAR,BOBON,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,39,0.28 %
REGION VIII,NORTHERN SAMAR,BOBON,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,133,0.98 %
REGION VIII,NORTHERN SAMAR,BOBON,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,16,0.11 %
REGION VIII,NORTHERN SAMAR,BOBON,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,4947,36.76 %
REGION VIII,NORTHERN SAMAR,BOBON,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,106,0.84 %
REGION VIII,NORTHERN SAMAR,BOBON,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,88,0.70 %
REGION VIII,NORTHERN SAMAR,BOBON,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,28,0.22 %
REGION VIII,NORTHERN SAMAR,BOBON,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,4506,36.01 %
REGION VIII,NORTHERN SAMAR,BOBON,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,71,0.56 %
REGION VIII,NORTHERN SAMAR,BOBON,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,531,4.24 %
REGION VIII,NORTHERN SAMAR,BOBON,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,2717,21.71 %
REGION VIII,NORTHERN SAMAR,BOBON,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,66,0.52 %
REGION VIII,NORTHERN SAMAR,BOBON,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,4400,35.16 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,257,0.27 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,2,"ALBANI, IBRAHIM",WPP,215,0.23 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,3,"ARRANZA, MANG JESS",IND,207,0.22 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,4,"BAGUILAT, TEDDY",LP,608,0.66 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,5,"BAILEN, AGNES",IND,224,0.24 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,6,"BALITA, CARL",AKSYON,1194,1.29 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,7,"BARBO, LUTZ",PDPLBN,227,0.24 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,8,"BAUTISTA, HERBERT BISTEK",NPC,2255,2.45 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,9,"BELGICA, GRECO",PDDS,318,0.34 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,10,"BELLO, SILVESTRE JR.",PDPLBN,352,0.38 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,11,"BINAY, JOJO",UNA,4310,4.68 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,12,"CABONEGRO, ROY",PLM,185,0.20 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,13,"CASTRICIONES, BRO JOHN",PDPLBN,138,0.15 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,14,"CAYETANO, ALAN PETER",IND,3559,3.86 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,15,"CHAVEZ, MELCHOR",WPP,288,0.31 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,16,"COLMENARES, NERI",MKBYN,1053,1.14 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,17,"D'ANGELO, DAVID",PLM,217,0.23 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,18,"DE LIMA, LEILA",LP,1716,1.86 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,19,"DEL ROSARIO, MONSOUR",PDR,1353,1.47 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,20,"DIAZ, DING",PPP,230,0.25 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,21,"DIOKNO, CHEL",KANP,1935,2.10 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,22,"EJERCITO, JV ESTRADA",NPC,3045,3.31 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,23,"ELEAZAR, GEN. GUILLERMO",PDR,1528,1.66 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,24,"EREÑO, BRO. ERNIE",PM,186,0.20 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,25,"ESCUDERO, CHIZ",NPC,4524,4.91 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,26,"ESPIRITU, LUKE",PLM,539,0.58 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,27,"ESTRADA, JINGGOY",PMP,3879,4.21 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,28,"FALCONE, BAL FALCON",DPP,121,0.13 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,29,"GADON, LARRY",KBL,1447,1.57 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,30,"GATCHALIAN, WIN",NPC,4451,4.83 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,31,"GORDON, WOW DICK",BVNP,2852,3.10 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,32,"GUTOC, SAMIRA",AKSYON,317,0.34 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,33,"HONASAN, GRINGO",IND,2079,2.26 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,34,"HONTIVEROS, RISA",AKBAYAN,3234,3.51 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,35,"JAVELLANA, RJ",IND,142,0.15 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,36,"KIRAM, NUR-MAHAL",IND,174,0.18 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,37,"LABOG, ELMER",MKBYN,256,0.27 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,38,"LACSON, KUYA ALEX",KP,1264,1.37 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,39,"LANGIT, REY",PDPLBN,299,0.32 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,40,"LEGARDA, LOREN",NPC,5486,5.96 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,41,"LIM, ARIEL",IND,156,0.16 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,42,"MALLILLIN, EMILY",PPM,148,0.16 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,43,"MARCOLETA, RODANTE",PDPLBN,519,0.56 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,44,"MARCOS, FRANCIS LEO",IND,780,0.84 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,45,"MATULA, SONNY",IND,390,0.42 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,46,"MINDALANO-ADAM,MARIETA",KTPNAN,125,0.13 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,47,"OLARTE, ATTY/DR. LEO",BIGKIS,134,0.14 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,48,"PADILLA, DRA. MINGUITA",PDR,944,1.02 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,49,"PADILLA, ROBIN",PDPLBN,5758,6.26 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,50,"PANELO, SAL PANALO",PDPLBN,602,0.65 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,51,"PIMENTEL, ASTRA",PDPLBN,499,0.54 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,52,"PIÑOL, MANNY",NPC,1316,1.43 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,53,"RICABLANCA, WILLIE JR.",PM,152,0.16 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,54,"ROQUE, HARRY SPOX",PRP,1803,1.96 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,55,"SAHIDULLA, LADY ANNE",PDDS,93,0.10 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,56,"SISON, JOPET",AKSYON,631,0.68 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,57,"TEODORO, GIBO",PRP,1800,1.95 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,58,"TRILLANES, ANTONIO IV",LP,1970,2.14 %
REGION VIII,NORTHERN SAMAR,BOBON,SENATOR PHILIPPINES,59,"TULFO, IDOL RAFFY",IND,5618,6.10 %
