region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VIII,SOUTHERN LEYTE,SOGOD,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,10671,41.45 %
REGION VIII,SOUTHERN LEYTE,SOGOD,PRESIDENT PHILIPPINES,2,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,7131,27.70 %
REGION VIII,SOUTHERN LEYTE,SOGOD,PRESIDENT PHILIPPINES,3,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,3851,14.96 %
REGION VIII,SOUTHERN LEYTE,SOGOD,PRESIDENT PHILIPPINES,4,"ROBREDO, LENI (IND)",IND,3726,14.47 %
REGION VIII,SOUTHERN LEYTE,SOGOD,PRESIDENT PHILIPPINES,5,"LACSON, PING (PDR)",PDR,128,0.49 %
REGION VIII,SOUTHERN LEYTE,SOGOD,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,63,0.24 %
REGION VIII,SOUTHERN LEYTE,SOGOD,PRESIDENT PHILIPPINES,7,"DE GUZMAN, LEODY (PLM)",PLM,55,0.21 %
REGION VIII,SOUTHERN LEYTE,SOGOD,PRESIDENT PHILIPPINES,8,"ABELLA, ERNIE (IND)",IND,46,0.17 %
REGION VIII,SOUTHERN LEYTE,SOGOD,PRESIDENT PHILIPPINES,9,"GONZALES, NORBERTO (PDSP)",PDSP,41,0.15 %
REGION VIII,SOUTHERN LEYTE,SOGOD,PRESIDENT PHILIPPINES,10,"MONTEMAYOR, JOSE JR. (DPP)",DPP,28,0.10 %
REGION VIII,SOUTHERN LEYTE,SOGOD,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,17835,74.16 %
REGION VIII,SOUTHERN LEYTE,SOGOD,VICE PRESIDENT PHILIPPINES,2,"PANGILINAN, KIKO (LP)",LP,2375,9.87 %
REGION VIII,SOUTHERN LEYTE,SOGOD,VICE PRESIDENT PHILIPPINES,3,"ONG, DOC WILLIE (AKSYON)",AKSYON,1900,7.90 %
REGION VIII,SOUTHERN LEYTE,SOGOD,VICE PRESIDENT PHILIPPINES,4,"SOTTO, VICENTE TITO (NPC)",NPC,1516,6.30 %
REGION VIII,SOUTHERN LEYTE,SOGOD,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,162,0.67 %
REGION VIII,SOUTHERN LEYTE,SOGOD,VICE PRESIDENT PHILIPPINES,6,"LOPEZ, MANNY SD (WPP)",WPP,98,0.40 %
REGION VIII,SOUTHERN LEYTE,SOGOD,VICE PRESIDENT PHILIPPINES,7,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,63,0.26 %
REGION VIII,SOUTHERN LEYTE,SOGOD,VICE PRESIDENT PHILIPPINES,8,"BELLO, WALDEN (PLM)",PLM,56,0.23 %
REGION VIII,SOUTHERN LEYTE,SOGOD,VICE PRESIDENT PHILIPPINES,9,"DAVID, RIZALITO (DPP)",DPP,43,0.17 %
REGION VIII,SOUTHERN LEYTE,SOGOD,SENATOR PHILIPPINES,1,"PADILLA, ROBIN (PDPLBN)",PDPLBN,17170,10.20 %
REGION VIII,SOUTHERN LEYTE,SOGOD,SENATOR PHILIPPINES,2,"TULFO, IDOL RAFFY (IND)",IND,11889,7.06 %
REGION VIII,SOUTHERN LEYTE,SOGOD,SENATOR PHILIPPINES,3,"LEGARDA, LOREN (NPC)",NPC,8415,5.00 %
REGION VIII,SOUTHERN LEYTE,SOGOD,SENATOR PHILIPPINES,4,"VILLAR, MARK (NP)",NP,8097,4.81 %
REGION VIII,SOUTHERN LEYTE,SOGOD,SENATOR PHILIPPINES,5,"CAYETANO, ALAN PETER (IND)",IND,7719,4.58 %
REGION VIII,SOUTHERN LEYTE,SOGOD,SENATOR PHILIPPINES,6,"GATCHALIAN, WIN (NPC)",NPC,6947,4.13 %
REGION VIII,SOUTHERN LEYTE,SOGOD,SENATOR PHILIPPINES,7,"ESCUDERO, CHIZ (NPC)",NPC,6592,3.91 %
REGION VIII,SOUTHERN LEYTE,SOGOD,SENATOR PHILIPPINES,8,"ZUBIRI, MIGZ (IND)",IND,6276,3.73 %
REGION VIII,SOUTHERN LEYTE,SOGOD,SENATOR PHILIPPINES,9,"TEODORO, GIBO (PRP)",PRP,5847,3.47 %
REGION VIII,SOUTHERN LEYTE,SOGOD,SENATOR PHILIPPINES,10,"BAUTISTA, HERBERT BISTEK (NPC)",NPC,5563,3.30 %
REGION VIII,SOUTHERN LEYTE,SOGOD,SENATOR PHILIPPINES,11,"VILLANUEVA,JOEL TESDAMAN (IND)",IND,5553,3.30 %
REGION VIII,SOUTHERN LEYTE,SOGOD,SENATOR PHILIPPINES,12,"ESTRADA, JINGGOY (PMP)",PMP,5380,3.19 %
REGION VIII,SOUTHERN LEYTE,SOGOD,SENATOR PHILIPPINES,13,"ROQUE, HARRY SPOX (PRP)",PRP,5315,3.16 %
REGION VIII,SOUTHERN LEYTE,SOGOD,SENATOR PHILIPPINES,14,"HONTIVEROS, RISA (AKBAYAN)",AKBAYAN,4868,2.89 %
REGION VIII,SOUTHERN LEYTE,SOGOD,SENATOR PHILIPPINES,15,"BINAY, JOJO (UNA)",UNA,4614,2.74 %
REGION VIII,SOUTHERN LEYTE,SOGOD,SENATOR PHILIPPINES,16,"EJERCITO, JV ESTRADA (NPC)",NPC,4451,2.64 %
