region,province,city,position,rank,candidate_name,party,votes,percentage
REGION X,BUKIDNON,LIBONA,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,14499,59.61 %
REGION X,BUKIDNON,LIBONA,PRESIDENT PHILIPPINES,2,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,5144,21.14 %
REGION X,BUKIDNON,LIBONA,PRESIDENT PHILIPPINES,3,"ROBREDO, LENI (IND)",IND,3591,14.76 %
REGION X,BUKIDNON,LIBONA,PRESIDENT PHILIPPINES,4,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,478,1.96 %
REGION X,BUKIDNON,LIBONA,PRESIDENT PHILIPPINES,5,"LACSON, PING (PDR)",PDR,252,1.03 %
REGION X,BUKIDNON,LIBONA,PRESIDENT PHILIPPINES,6,"ABELLA, ERNIE (IND)",IND,129,0.53 %
REGION X,BUKIDNON,LIBONA,PRESIDENT PHILIPPINES,7,"DE GUZMAN, LEODY (PLM)",PLM,76,0.31 %
REGION X,BUKIDNON,LIBONA,PRESIDENT PHILIPPINES,8,"GONZALES, NORBERTO (PDSP)",PDSP,73,0.30 %
REGION X,BUKIDNON,LIBONA,PRESIDENT PHILIPPINES,9,"MONTEMAYOR, JOSE JR. (DPP)",DPP,46,0.18 %
REGION X,BUKIDNON,LIBONA,PRESIDENT PHILIPPINES,10,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,34,0.13 %
REGION X,BUKIDNON,LIBONA,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,17452,75.84 %
REGION X,BUKIDNON,LIBONA,VICE PRESIDENT PHILIPPINES,2,"SOTTO, VICENTE TITO (NPC)",NPC,2459,10.68 %
REGION X,BUKIDNON,LIBONA,VICE PRESIDENT PHILIPPINES,3,"PANGILINAN, KIKO (LP)",LP,1989,8.64 %
REGION X,BUKIDNON,LIBONA,VICE PRESIDENT PHILIPPINES,4,"LOPEZ, MANNY SD (WPP)",WPP,377,1.63 %
REGION X,BUKIDNON,LIBONA,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,270,1.17 %
REGION X,BUKIDNON,LIBONA,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE (AKSYON)",AKSYON,251,1.09 %
REGION X,BUKIDNON,LIBONA,VICE PRESIDENT PHILIPPINES,7,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,79,0.34 %
REGION X,BUKIDNON,LIBONA,VICE PRESIDENT PHILIPPINES,8,"BELLO, WALDEN (PLM)",PLM,74,0.32 %
REGION X,BUKIDNON,LIBONA,VICE PRESIDENT PHILIPPINES,9,"DAVID, RIZALITO (DPP)",DPP,58,0.25 %
REGION X,BUKIDNON,LIBONA,SENATOR PHILIPPINES,1,"ZUBIRI, MIGZ (IND)",IND,15849,9.98 %
REGION X,BUKIDNON,LIBONA,SENATOR PHILIPPINES,2,"PADILLA, ROBIN (PDPLBN)",PDPLBN,10916,6.87 %
