region,province,city,position,rank,candidate_name,party,votes,percentage
REGION X,CAMIGUIN,MAMBAJAO,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,19591,86.88 %
REGION X,CAMIGUIN,MAMBAJAO,PRESIDENT PHILIPPINES,2,"ROBREDO, LENI (IND)",IND,1912,8.47 %
REGION X,CAMIGUIN,MAMBAJAO,PRESIDENT PHILIPPINES,3,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,554,2.45 %
REGION X,CAMIGUIN,MAMBAJAO,PRESIDENT PHILIPPINES,4,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,242,1.07 %
REGION X,CAMIGUIN,MAMBAJAO,PRESIDENT PHILIPPINES,5,"LACSON, PING (PDR)",PDR,106,0.47 %
REGION X,CAMIGUIN,MAMBAJAO,PRESIDENT PHILIPPINES,6,"MONTEMAYOR, JOSE JR. (DPP)",DPP,51,0.22 %
REGION X,CAMIGUIN,MAMBAJAO,PRESIDENT PHILIPPINES,7,"DE GUZMAN, LEODY (PLM)",PLM,28,0.12 %
REGION X,CAMIGUIN,MAMBAJAO,PRESIDENT PHILIPPINES,8,"ABELLA, ERNIE (IND)",IND,25,0.11 %
REGION X,CAMIGUIN,MAMBAJAO,PRESIDENT PHILIPPINES,9,"GONZALES, NORBERTO (PDSP)",PDSP,21,0.09 %
REGION X,CAMIGUIN,MAMBAJAO,PRESIDENT PHILIPPINES,10,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,19,0.08 %
REGION X,CAMIGUIN,MAMBAJAO,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,21147,94.21 %
REGION X,CAMIGUIN,MAMBAJAO,VICE PRESIDENT PHILIPPINES,2,"PANGILINAN, KIKO (LP)",LP,823,3.66 %
REGION X,CAMIGUIN,MAMBAJAO,VICE PRESIDENT PHILIPPINES,3,"SOTTO, VICENTE TITO (NPC)",NPC,288,1.28 %
REGION X,CAMIGUIN,MAMBAJAO,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,112,0.49 %
REGION X,CAMIGUIN,MAMBAJAO,VICE PRESIDENT PHILIPPINES,5,"BELLO, WALDEN (PLM)",PLM,24,0.10 %
REGION X,CAMIGUIN,MAMBAJAO,VICE PRESIDENT PHILIPPINES,6,"ATIENZA, LITO (PROMDI)",PROMDI,20,0.08 %
REGION X,CAMIGUIN,MAMBAJAO,VICE PRESIDENT PHILIPPINES,7,"LOPEZ, MANNY SD (WPP)",WPP,15,0.06 %
REGION X,CAMIGUIN,MAMBAJAO,VICE PRESIDENT PHILIPPINES,8,"DAVID, RIZALITO (DPP)",DPP,8,0.03 %
REGION X,CAMIGUIN,MAMBAJAO,VICE PRESIDENT PHILIPPINES,9,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,8,0.03 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,1,"LEGARDA, LOREN (NPC)",NPC,17078,7.59 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,2,"TULFO, IDOL RAFFY (IND)",IND,17011,7.56 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,3,"CAYETANO, ALAN PETER (IND)",IND,16982,7.55 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,4,"ZUBIRI, MIGZ (IND)",IND,16661,7.41 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,5,"TEODORO, GIBO (PRP)",PRP,16448,7.31 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,6,"BAUTISTA, HERBERT BISTEK (NPC)",NPC,16348,7.27 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,7,"ESCUDERO, CHIZ (NPC)",NPC,16312,7.25 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,8,"GATCHALIAN, WIN (NPC)",NPC,16193,7.20 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,9,"VILLANUEVA,JOEL TESDAMAN (IND)",IND,15899,7.07 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,10,"HONASAN, GRINGO (IND)",IND,15595,6.93 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,11,"BINAY, JOJO (UNA)",UNA,14519,6.45 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,12,"ESTRADA, JINGGOY (PMP)",PMP,8106,3.60 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,13,"MARCOLETA, RODANTE (PDPLBN)",PDPLBN,7490,3.33 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,14,"PADILLA, ROBIN (PDPLBN)",PDPLBN,3866,1.71 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,15,"VILLAR, MARK (NP)",NP,3091,1.37 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,16,"EJERCITO, JV ESTRADA (NPC)",NPC,2499,1.11 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,17,"HONTIVEROS, RISA (AKBAYAN)",AKBAYAN,1907,0.84 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,18,"ROQUE, HARRY SPOX (PRP)",PRP,1789,0.79 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,19,"ELEAZAR, GEN. GUILLERMO (PDR)",PDR,1648,0.73 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,20,"GADON, LARRY (KBL)",KBL,1311,0.58 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,21,"DIOKNO, CHEL (KANP)",KANP,1194,0.53 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,22,"PANELO, SAL PANALO (PDPLBN)",PDPLBN,1068,0.47 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,23,"GORDON, WOW DICK (BVNP)",BVNP,852,0.37 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,24,"TRILLANES, ANTONIO IV (LP)",LP,818,0.36 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,25,"PIMENTEL, ASTRA (PDPLBN)",PDPLBN,713,0.31 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,26,"MARCOS, FRANCIS LEO (IND)",IND,706,0.31 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,27,"COLMENARES, NERI (MKBYN)",MKBYN,647,0.28 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,28,"LACSON, KUYA ALEX (KP)",KP,591,0.26 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,29,"DE LIMA, LEILA (LP)",LP,562,0.24 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,30,"PIÑOL, MANNY (NPC)",NPC,541,0.24 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,31,"BELLO, SILVESTRE JR. (PDPLBN)",PDPLBN,478,0.21 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,32,"BALITA, CARL (AKSYON)",AKSYON,452,0.20 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,33,"BELGICA, GRECO (PDDS)",PDDS,445,0.19 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,34,"PADILLA, DRA. MINGUITA (PDR)",PDR,438,0.19 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,35,"ESPIRITU, LUKE (PLM)",PLM,399,0.17 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,36,"ZUBIAGA, CARMEN (IND)",IND,376,0.16 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,37,"BAGUILAT, TEDDY (LP)",LP,339,0.15 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,38,"DEL ROSARIO, MONSOUR (PDR)",PDR,320,0.14 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,39,"BARBO, LUTZ (PDPLBN)",PDPLBN,227,0.10 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,40,"CASTRICIONES, BRO JOHN(PDPLBN)",PDPLBN,217,0.09 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,41,"MATULA, SONNY (IND)",IND,209,0.09 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,42,"LANGIT, REY (PDPLBN)",PDPLBN,206,0.09 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,43,"GUTOC, SAMIRA (AKSYON)",AKSYON,164,0.07 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,44,"SISON, JOPET (AKSYON)",AKSYON,151,0.06 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,45,"BAILEN, AGNES (IND)",IND,136,0.06 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,46,"ARRANZA, MANG JESS (IND)",IND,124,0.05 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,47,"VALEROS, REY (IND)",IND,121,0.05 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,48,"LABOG, ELMER (MKBYN)",MKBYN,120,0.05 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,49,"LIM, ARIEL (IND)",IND,120,0.05 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,50,"OLARTE, ATTY/DR. LEO (BIGKIS)",BIGKIS,119,0.05 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,51,"AFUANG, ABNER (IND)",IND,117,0.05 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,52,"CHAVEZ, MELCHOR (WPP)",WPP,112,0.04 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,53,"EREÑO, BRO. ERNIE (PM)",PM,108,0.04 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,54,"JAVELLANA, RJ (IND)",IND,103,0.04 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,55,"KIRAM, NUR-MAHAL (IND)",IND,103,0.04 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,56,"CABONEGRO, ROY (PLM)",PLM,98,0.04 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,57,"ALBANI, IBRAHIM (WPP)",WPP,95,0.04 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,58,"D'ANGELO, DAVID (PLM)",PLM,85,0.03 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,59,"MALLILLIN, EMILY (PPM)",PPM,77,0.03 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,60,"FALCONE, BAL FALCON (DPP)",DPP,75,0.03 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,61,"RICABLANCA, WILLIE JR. (PM)",PM,74,0.03 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,62,"DIAZ, DING (PPP)",PPP,65,0.02 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,63,"MINDALANO-ADAM,MARIETA(KTPNAN)",KTPNAN,63,0.02 %
REGION X,CAMIGUIN,MAMBAJAO,SENATOR PHILIPPINES,64,"SAHIDULLA, LADY ANNE (PDDS)",PDDS,51,0.02 %
