region,province,city,position,rank,candidate_name,party,votes,percentage
REGION X,LANAO DEL NORTE,TAGOLOAN,PRESIDENT PHILIPPINES,1,"ROBREDO, LENI (IND)",IND,1811,30.47 %
REGION X,LANAO DEL NORTE,TAGOLOAN,PRESIDENT PHILIPPINES,2,"MARCOS, BONGBONG (PFP)",PFP,1748,29.41 %
REGION X,LANAO DEL NORTE,TAGOLOAN,PRESIDENT PHILIPPINES,3,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,1063,17.88 %
REGION X,LANAO DEL NORTE,TAGOLOAN,PRESIDENT PHILIPPINES,4,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,1015,17.08 %
REGION X,LANAO DEL NORTE,TAGOLOAN,PRESIDENT PHILIPPINES,5,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,231,3.88 %
REGION X,LANAO DEL NORTE,TAGOLOAN,PRESIDENT PHILIPPINES,6,"ABELLA, ERNIE (IND)",IND,35,0.58 %
REGION X,LANAO DEL NORTE,TAGOLOAN,PRESIDENT PHILIPPINES,7,"GONZALES, NORBERTO (PDSP)",PDSP,14,0.23 %
REGION X,LANAO DEL NORTE,TAGOLOAN,PRESIDENT PHILIPPINES,8,"LACSON, PING (PDR)",PDR,12,0.20 %
REGION X,LANAO DEL NORTE,TAGOLOAN,PRESIDENT PHILIPPINES,9,"DE GUZMAN, LEODY (PLM)",PLM,10,0.16 %
REGION X,LANAO DEL NORTE,TAGOLOAN,PRESIDENT PHILIPPINES,10,"MONTEMAYOR, JOSE JR. (DPP)",DPP,3,0.05 %
REGION X,LANAO DEL NORTE,TAGOLOAN,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,3381,65.23 %
REGION X,LANAO DEL NORTE,TAGOLOAN,VICE PRESIDENT PHILIPPINES,2,"PANGILINAN, KIKO (LP)",LP,892,17.21 %
REGION X,LANAO DEL NORTE,TAGOLOAN,VICE PRESIDENT PHILIPPINES,3,"SOTTO, VICENTE TITO (NPC)",NPC,495,9.55 %
REGION X,LANAO DEL NORTE,TAGOLOAN,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,221,4.26 %
REGION X,LANAO DEL NORTE,TAGOLOAN,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,82,1.58 %
REGION X,LANAO DEL NORTE,TAGOLOAN,VICE PRESIDENT PHILIPPINES,6,"LOPEZ, MANNY SD (WPP)",WPP,59,1.13 %
