region,province,city,position,rank,candidate_name,party,votes,percentage
REGION X,LANAO DEL NORTE,TUBOD,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,14756,62.62 %
REGION X,LANAO DEL NORTE,TUBOD,PRESIDENT PHILIPPINES,2,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,5351,22.70 %
REGION X,LANAO DEL NORTE,TUBOD,PRESIDENT PHILIPPINES,3,"ROBREDO, LENI (IND)",IND,2329,9.88 %
REGION X,LANAO DEL NORTE,TUBOD,PRESIDENT PHILIPPINES,4,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,499,2.11 %
REGION X,LANAO DEL NORTE,TUBOD,PRESIDENT PHILIPPINES,5,"LACSON, PING (PDR)",PDR,266,1.12 %
REGION X,LANAO DEL NORTE,TUBOD,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,120,0.50 %
REGION X,LANAO DEL NORTE,TUBOD,PRESIDENT PHILIPPINES,7,"ABELLA, ERNIE (IND)",IND,95,0.40 %
REGION X,LANAO DEL NORTE,TUBOD,PRESIDENT PHILIPPINES,8,"DE GUZMAN, LEODY (PLM)",PLM,59,0.25 %
REGION X,LANAO DEL NORTE,TUBOD,PRESIDENT PHILIPPINES,9,"MONTEMAYOR, JOSE JR. (DPP)",DPP,50,0.21 %
REGION X,LANAO DEL NORTE,TUBOD,PRESIDENT PHILIPPINES,10,"GONZALES, NORBERTO (PDSP)",PDSP,39,0.16 %
REGION X,LANAO DEL NORTE,TUBOD,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,16895,75.56 %
REGION X,LANAO DEL NORTE,TUBOD,VICE PRESIDENT PHILIPPINES,2,"SOTTO, VICENTE TITO (NPC)",NPC,3153,14.10 %
REGION X,LANAO DEL NORTE,TUBOD,VICE PRESIDENT PHILIPPINES,3,"PANGILINAN, KIKO (LP)",LP,1608,7.19 %
REGION X,LANAO DEL NORTE,TUBOD,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,269,1.20 %
REGION X,LANAO DEL NORTE,TUBOD,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,179,0.80 %
REGION X,LANAO DEL NORTE,TUBOD,VICE PRESIDENT PHILIPPINES,6,"LOPEZ, MANNY SD (WPP)",WPP,109,0.48 %
REGION X,LANAO DEL NORTE,TUBOD,VICE PRESIDENT PHILIPPINES,7,"BELLO, WALDEN (PLM)",PLM,60,0.26 %
REGION X,LANAO DEL NORTE,TUBOD,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,55,0.24 %
REGION X,LANAO DEL NORTE,TUBOD,VICE PRESIDENT PHILIPPINES,9,"DAVID, RIZALITO (DPP)",DPP,29,0.12 %
REGION X,LANAO DEL NORTE,TUBOD,SENATOR PHILIPPINES,1,"PADILLA, ROBIN (PDPLBN)",PDPLBN,14579,8.68 %
REGION X,LANAO DEL NORTE,TUBOD,SENATOR PHILIPPINES,2,"ZUBIRI, MIGZ (IND)",IND,9959,5.93 %
REGION X,LANAO DEL NORTE,TUBOD,SENATOR PHILIPPINES,3,"LEGARDA, LOREN (NPC)",NPC,9170,5.46 %
REGION X,LANAO DEL NORTE,TUBOD,SENATOR PHILIPPINES,4,"VILLAR, MARK (NP)",NP,9155,5.45 %
REGION X,LANAO DEL NORTE,TUBOD,SENATOR PHILIPPINES,5,"CAYETANO, ALAN PETER (IND)",IND,8992,5.35 %
REGION X,LANAO DEL NORTE,TUBOD,SENATOR PHILIPPINES,6,"ESTRADA, JINGGOY (PMP)",PMP,8895,5.29 %
REGION X,LANAO DEL NORTE,TUBOD,SENATOR PHILIPPINES,7,"TULFO, IDOL RAFFY (IND)",IND,8825,5.25 %
REGION X,LANAO DEL NORTE,TUBOD,SENATOR PHILIPPINES,8,"GATCHALIAN, WIN (NPC)",NPC,8110,4.83 %
REGION X,LANAO DEL NORTE,TUBOD,SENATOR PHILIPPINES,9,"EJERCITO, JV ESTRADA (NPC)",NPC,7913,4.71 %
REGION X,LANAO DEL NORTE,TUBOD,SENATOR PHILIPPINES,10,"VILLANUEVA,JOEL TESDAMAN (IND)",IND,6943,4.13 %
REGION X,LANAO DEL NORTE,TUBOD,SENATOR PHILIPPINES,11,"ESCUDERO, CHIZ (NPC)",NPC,6547,3.89 %
REGION X,LANAO DEL NORTE,TUBOD,SENATOR PHILIPPINES,12,"TEODORO, GIBO (PRP)",PRP,6225,3.70 %
REGION X,LANAO DEL NORTE,TUBOD,SENATOR PHILIPPINES,13,"ROQUE, HARRY SPOX (PRP)",PRP,5755,3.42 %
REGION X,LANAO DEL NORTE,TUBOD,SENATOR PHILIPPINES,14,"BINAY, JOJO (UNA)",UNA,4499,2.67 %
REGION X,LANAO DEL NORTE,TUBOD,SENATOR PHILIPPINES,15,"BAUTISTA, HERBERT BISTEK (NPC)",NPC,4455,2.65 %
REGION X,LANAO DEL NORTE,TUBOD,SENATOR PHILIPPINES,16,"HONTIVEROS, RISA (AKBAYAN)",AKBAYAN,4444,2.64 %
