region,province,city,position,rank,candidate_name,party,votes,percentage
REGION X,MISAMIS ORIENTAL,BINUANGAN,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,14,0.24 %
REGION X,MISAMIS ORIENTAL,BINUANGAN,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,14,0.24 %
REGION X,MISAMIS ORIENTAL,BINUANGAN,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,147,2.57 %
REGION X,MISAMIS ORIENTAL,BINUANGAN,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,11,0.19 %
REGION X,MISAMIS ORIENTAL,BINUANGAN,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,58,1.01 %
REGION X,MISAMIS ORIENTAL,BINUANGAN,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,6,0.10 %
REGION X,MISAMIS ORIENTAL,BINUANGAN,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,4043,70.92 %
REGION X,MISAMIS ORIENTAL,BINUANGAN,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,29,0.53 %
REGION X,MISAMIS ORIENTAL,BINUANGAN,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,15,0.27 %
REGION X,MISAMIS ORIENTAL,BINUANGAN,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,6,0.11 %
REGION X,MISAMIS ORIENTAL,BINUANGAN,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,4712,86.71 %
REGION X,MISAMIS ORIENTAL,BINUANGAN,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,19,0.34 %
REGION X,MISAMIS ORIENTAL,BINUANGAN,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,53,0.97 %
REGION X,MISAMIS ORIENTAL,BINUANGAN,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,351,6.45 %
REGION X,MISAMIS ORIENTAL,BINUANGAN,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,10,0.18 %
REGION X,MISAMIS ORIENTAL,BINUANGAN,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,239,4.39 %
REGION X,MISAMIS ORIENTAL,BINUANGAN,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,68,0.18 %
REGION X,MISAMIS ORIENTAL,BINUANGAN,SENATOR PHILIPPINES,2,"ALBANI, IBRAHIM",WPP,73,0.20 %
REGION X,MISAMIS ORIENTAL,BINUANGAN,SENATOR PHILIPPINES,3,"ARRANZA, MANG JESS",IND,54,0.14 %
REGION X,MISAMIS ORIENTAL,BINUANGAN,SENATOR PHILIPPINES,4,"BAGUILAT, TEDDY",LP,142,0.39 %
REGION X,MISAMIS ORIENTAL,BINUANGAN,SENATOR PHILIPPINES,5,"BAILEN, AGNES",IND,68,0.18 %
