region,province,city,position,rank,candidate_name,party,votes,percentage
REGION X,MISAMIS ORIENTAL,LAGONGLONG,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,10091,70.18 %
REGION X,MISAMIS ORIENTAL,LAGONGLONG,PRESIDENT PHILIPPINES,2,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,2000,13.91 %
REGION X,MISAMIS ORIENTAL,LAGONGLONG,PRESIDENT PHILIPPINES,3,"ROBREDO, LENI (IND)",IND,1660,11.54 %
REGION X,MISAMIS ORIENTAL,LAGONGLONG,PRESIDENT PHILIPPINES,4,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,352,2.44 %
REGION X,MISAMIS ORIENTAL,LAGONGLONG,PRESIDENT PHILIPPINES,5,"LACSON, PING (PDR)",PDR,133,0.92 %
REGION X,MISAMIS ORIENTAL,LAGONGLONG,PRESIDENT PHILIPPINES,6,"GONZALES, NORBERTO (PDSP)",PDSP,41,0.28 %
REGION X,MISAMIS ORIENTAL,LAGONGLONG,PRESIDENT PHILIPPINES,7,"ABELLA, ERNIE (IND)",IND,34,0.23 %
REGION X,MISAMIS ORIENTAL,LAGONGLONG,PRESIDENT PHILIPPINES,8,"DE GUZMAN, LEODY (PLM)",PLM,26,0.18 %
REGION X,MISAMIS ORIENTAL,LAGONGLONG,PRESIDENT PHILIPPINES,9,"MONTEMAYOR, JOSE JR. (DPP)",DPP,23,0.15 %
REGION X,MISAMIS ORIENTAL,LAGONGLONG,PRESIDENT PHILIPPINES,10,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,17,0.11 %
REGION X,MISAMIS ORIENTAL,LAGONGLONG,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,11741,84.79 %
REGION X,MISAMIS ORIENTAL,LAGONGLONG,VICE PRESIDENT PHILIPPINES,2,"PANGILINAN, KIKO (LP)",LP,972,7.02 %
