region,province,city,position,rank,candidate_name,party,votes,percentage
REGION X,MISAMIS ORIENTAL,MAGSAYSAY,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,10932,58.06 %
REGION X,MISAMIS ORIENTAL,MAGSAYSAY,PRESIDENT PHILIPPINES,2,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,4560,24.22 %
REGION X,MISAMIS ORIENTAL,MAGSAYSAY,PRESIDENT PHILIPPINES,3,"ROBREDO, LENI (IND)",IND,2583,13.72 %
REGION X,MISAMIS ORIENTAL,MAGSAYSAY,PRESIDENT PHILIPPINES,4,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,367,1.94 %
REGION X,MISAMIS ORIENTAL,MAGSAYSAY,PRESIDENT PHILIPPINES,5,"LACSON, PING (PDR)",PDR,165,0.87 %
REGION X,MISAMIS ORIENTAL,MAGSAYSAY,PRESIDENT PHILIPPINES,6,"GONZALES, NORBERTO (PDSP)",PDSP,66,0.35 %
REGION X,MISAMIS ORIENTAL,MAGSAYSAY,PRESIDENT PHILIPPINES,7,"ABELLA, ERNIE (IND)",IND,55,0.29 %
REGION X,MISAMIS ORIENTAL,MAGSAYSAY,PRESIDENT PHILIPPINES,8,"DE GUZMAN, LEODY (PLM)",PLM,44,0.23 %
REGION X,MISAMIS ORIENTAL,MAGSAYSAY,PRESIDENT PHILIPPINES,9,"MONTEMAYOR, JOSE JR. (DPP)",DPP,39,0.20 %
REGION X,MISAMIS ORIENTAL,MAGSAYSAY,PRESIDENT PHILIPPINES,10,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,15,0.07 %
REGION X,MISAMIS ORIENTAL,MAGSAYSAY,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,13519,76.48 %
REGION X,MISAMIS ORIENTAL,MAGSAYSAY,VICE PRESIDENT PHILIPPINES,2,"PANGILINAN, KIKO (LP)",LP,2066,11.68 %
REGION X,MISAMIS ORIENTAL,MAGSAYSAY,VICE PRESIDENT PHILIPPINES,3,"SOTTO, VICENTE TITO (NPC)",NPC,1352,7.64 %
REGION X,MISAMIS ORIENTAL,MAGSAYSAY,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,213,1.20 %
REGION X,MISAMIS ORIENTAL,MAGSAYSAY,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,204,1.15 %
REGION X,MISAMIS ORIENTAL,MAGSAYSAY,VICE PRESIDENT PHILIPPINES,6,"LOPEZ, MANNY SD (WPP)",WPP,175,0.99 %
REGION X,MISAMIS ORIENTAL,MAGSAYSAY,VICE PRESIDENT PHILIPPINES,7,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,66,0.37 %
REGION X,MISAMIS ORIENTAL,MAGSAYSAY,VICE PRESIDENT PHILIPPINES,8,"BELLO, WALDEN (PLM)",PLM,50,0.28 %
