region,province,city,position,rank,candidate_name,party,votes,percentage
REGION XI,DAVAO DEL NORTE,BRAULIO E. DUJALI,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,12696,83.98 %
REGION XI,DAVAO DEL NORTE,BRAULIO E. DUJALI,PRESIDENT PHILIPPINES,2,"ROBREDO, LENI (IND)",IND,1279,8.46 %
REGION XI,DAVAO DEL NORTE,BRAULIO E. DUJALI,PRESIDENT PHILIPPINES,3,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,680,4.49 %
REGION XI,DAVAO DEL NORTE,BRAULIO E. DUJALI,PRESIDENT PHILIPPINES,4,"LACSON, PING (PDR)",PDR,199,1.31 %
REGION XI,DAVAO DEL NORTE,BRAULIO E. DUJALI,PRESIDENT PHILIPPINES,5,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,134,0.88 %
REGION XI,DAVAO DEL NORTE,BRAULIO E. DUJALI,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,43,0.28 %
REGION XI,DAVAO DEL NORTE,BRAULIO E. DUJALI,PRESIDENT PHILIPPINES,7,"ABELLA, ERNIE (IND)",IND,30,0.19 %
REGION XI,DAVAO DEL NORTE,BRAULIO E. DUJALI,PRESIDENT PHILIPPINES,8,"GONZALES, NORBERTO (PDSP)",PDSP,26,0.17 %
REGION XI,DAVAO DEL NORTE,BRAULIO E. DUJALI,PRESIDENT PHILIPPINES,9,"DE GUZMAN, LEODY (PLM)",PLM,19,0.12 %
REGION XI,DAVAO DEL NORTE,BRAULIO E. DUJALI,PRESIDENT PHILIPPINES,10,"MONTEMAYOR, JOSE JR. (DPP)",DPP,11,0.07 %
REGION XI,DAVAO DEL NORTE,BRAULIO E. DUJALI,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,13436,89.58 %
REGION XI,DAVAO DEL NORTE,BRAULIO E. DUJALI,VICE PRESIDENT PHILIPPINES,2,"SOTTO, VICENTE TITO (NPC)",NPC,1059,7.06 %
REGION XI,DAVAO DEL NORTE,BRAULIO E. DUJALI,VICE PRESIDENT PHILIPPINES,3,"PANGILINAN, KIKO (LP)",LP,294,1.96 %
REGION XI,DAVAO DEL NORTE,BRAULIO E. DUJALI,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,83,0.55 %
REGION XI,DAVAO DEL NORTE,BRAULIO E. DUJALI,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,57,0.38 %
