region,province,city,position,rank,candidate_name,party,votes,percentage
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,60709,86.80 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,PRESIDENT PHILIPPINES,2,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,4124,5.89 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,PRESIDENT PHILIPPINES,3,"ROBREDO, LENI (IND)",IND,3288,4.70 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,PRESIDENT PHILIPPINES,4,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,750,1.07 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,PRESIDENT PHILIPPINES,5,"LACSON, PING (PDR)",PDR,495,0.70 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,PRESIDENT PHILIPPINES,6,"GONZALES, NORBERTO (PDSP)",PDSP,128,0.18 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,PRESIDENT PHILIPPINES,7,"DE GUZMAN, LEODY (PLM)",PLM,126,0.18 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,PRESIDENT PHILIPPINES,8,"ABELLA, ERNIE (IND)",IND,125,0.17 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,PRESIDENT PHILIPPINES,9,"MONTEMAYOR, JOSE JR. (DPP)",DPP,98,0.14 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,PRESIDENT PHILIPPINES,10,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,94,0.13 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,65792,94.47 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,VICE PRESIDENT PHILIPPINES,2,"SOTTO, VICENTE TITO (NPC)",NPC,1885,2.70 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,VICE PRESIDENT PHILIPPINES,3,"PANGILINAN, KIKO (LP)",LP,985,1.41 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,303,0.43 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,203,0.29 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,VICE PRESIDENT PHILIPPINES,6,"LOPEZ, MANNY SD (WPP)",WPP,158,0.22 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,VICE PRESIDENT PHILIPPINES,7,"DAVID, RIZALITO (DPP)",DPP,106,0.15 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,VICE PRESIDENT PHILIPPINES,8,"BELLO, WALDEN (PLM)",PLM,103,0.14 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,VICE PRESIDENT PHILIPPINES,9,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,103,0.14 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,1,"PADILLA, ROBIN (PDPLBN)",PDPLBN,46952,8.74 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,2,"CAYETANO, ALAN PETER (IND)",IND,33569,6.25 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,3,"LEGARDA, LOREN (NPC)",NPC,32002,5.96 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,4,"VILLAR, MARK (NP)",NP,30555,5.69 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,5,"TULFO, IDOL RAFFY (IND)",IND,29857,5.56 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,6,"ZUBIRI, MIGZ (IND)",IND,27851,5.19 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,7,"GATCHALIAN, WIN (NPC)",NPC,27811,5.18 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,8,"ESTRADA, JINGGOY (PMP)",PMP,26349,4.91 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,9,"EJERCITO, JV ESTRADA (NPC)",NPC,24000,4.47 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,10,"ROQUE, HARRY SPOX (PRP)",PRP,22533,4.19 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,11,"ESCUDERO, CHIZ (NPC)",NPC,20587,3.83 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,12,"TEODORO, GIBO (PRP)",PRP,20393,3.80 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,13,"VILLANUEVA,JOEL TESDAMAN (IND)",IND,20160,3.75 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,14,"BINAY, JOJO (UNA)",UNA,15257,2.84 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,15,"GADON, LARRY (KBL)",KBL,13789,2.56 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,16,"BAUTISTA, HERBERT BISTEK (NPC)",NPC,13701,2.55 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,17,"HONASAN, GRINGO (IND)",IND,12376,2.30 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,18,"ELEAZAR, GEN. GUILLERMO (PDR)",PDR,11750,2.18 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,19,"PANELO, SAL PANALO (PDPLBN)",PDPLBN,11685,2.17 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,20,"HONTIVEROS, RISA (AKBAYAN)",AKBAYAN,10345,1.92 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,21,"PIÑOL, MANNY (NPC)",NPC,8003,1.49 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,22,"DEL ROSARIO, MONSOUR (PDR)",PDR,7389,1.37 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,23,"MARCOS, FRANCIS LEO (IND)",IND,5606,1.04 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,24,"MARCOLETA, RODANTE (PDPLBN)",PDPLBN,5255,0.97 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,25,"GORDON, WOW DICK (BVNP)",BVNP,5135,0.95 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,26,"PADILLA, DRA. MINGUITA (PDR)",PDR,4896,0.91 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,27,"PIMENTEL, ASTRA (PDPLBN)",PDPLBN,4575,0.85 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,28,"COLMENARES, NERI (MKBYN)",MKBYN,4307,0.80 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,29,"BELLO, SILVESTRE JR. (PDPLBN)",PDPLBN,4267,0.79 %
REGION XI,DAVAO DEL NORTE,ISLAND GARDEN CITY OF SAMAL,SENATOR PHILIPPINES,30,"LACSON, KUYA ALEX (KP)",KP,3695,0.68 %
