region,province,city,position,rank,candidate_name,party,votes,percentage
REGION XI,DAVAO DEL SUR,CITY OF DAVAO,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,2262,0.31 %
REGION XI,DAVAO DEL SUR,CITY OF DAVAO,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,894,0.12 %
REGION XI,DAVAO DEL SUR,CITY OF DAVAO,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,6839,0.95 %
REGION XI,DAVAO DEL SUR,CITY OF DAVAO,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,1227,0.17 %
REGION XI,DAVAO DEL SUR,CITY OF DAVAO,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,7448,1.03 %
REGION XI,DAVAO DEL SUR,CITY OF DAVAO,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,2242,0.31 %
REGION XI,DAVAO DEL SUR,CITY OF DAVAO,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,649725,90.54 %
REGION XI,DAVAO DEL SUR,CITY OF DAVAO,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,820,0.11 %
REGION XI,DAVAO DEL SUR,CITY OF DAVAO,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,600,0.08 %
REGION XI,DAVAO DEL SUR,CITY OF DAVAO,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,294,0.04 %
REGION XI,DAVAO DEL SUR,CITY OF DAVAO,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,688065,95.60 %
REGION XI,DAVAO DEL SUR,CITY OF DAVAO,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,2009,0.27 %
REGION XI,DAVAO DEL SUR,CITY OF DAVAO,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,4023,0.55 %
REGION XI,DAVAO DEL SUR,CITY OF DAVAO,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,11072,1.53 %
