region,province,city,position,rank,candidate_name,party,votes,percentage
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,73934,79.54 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,PRESIDENT PHILIPPINES,2,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,10320,11.10 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,PRESIDENT PHILIPPINES,3,"ROBREDO, LENI (IND)",IND,5834,6.27 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,PRESIDENT PHILIPPINES,4,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,916,0.98 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,PRESIDENT PHILIPPINES,5,"LACSON, PING (PDR)",PDR,893,0.96 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,379,0.40 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,PRESIDENT PHILIPPINES,7,"ABELLA, ERNIE (IND)",IND,232,0.24 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,PRESIDENT PHILIPPINES,8,"GONZALES, NORBERTO (PDSP)",PDSP,188,0.20 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,PRESIDENT PHILIPPINES,9,"DE GUZMAN, LEODY (PLM)",PLM,131,0.14 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,PRESIDENT PHILIPPINES,10,"MONTEMAYOR, JOSE JR. (DPP)",DPP,115,0.12 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,83211,90.67 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,VICE PRESIDENT PHILIPPINES,2,"SOTTO, VICENTE TITO (NPC)",NPC,4074,4.43 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,VICE PRESIDENT PHILIPPINES,3,"PANGILINAN, KIKO (LP)",LP,2475,2.69 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,825,0.89 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,444,0.48 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,VICE PRESIDENT PHILIPPINES,6,"LOPEZ, MANNY SD (WPP)",WPP,259,0.28 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,VICE PRESIDENT PHILIPPINES,7,"BELLO, WALDEN (PLM)",PLM,214,0.23 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,157,0.17 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,VICE PRESIDENT PHILIPPINES,9,"DAVID, RIZALITO (DPP)",DPP,109,0.11 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,1,"PADILLA, ROBIN (PDPLBN)",PDPLBN,60504,7.76 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,2,"LEGARDA, LOREN (NPC)",NPC,47472,6.09 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,3,"CAYETANO, ALAN PETER (IND)",IND,41959,5.38 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,4,"ZUBIRI, MIGZ (IND)",IND,41018,5.26 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,5,"VILLAR, MARK (NP)",NP,40727,5.22 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,6,"GATCHALIAN, WIN (NPC)",NPC,40511,5.19 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,7,"ESTRADA, JINGGOY (PMP)",PMP,35461,4.54 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,8,"EJERCITO, JV ESTRADA (NPC)",NPC,34783,4.46 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,9,"TULFO, IDOL RAFFY (IND)",IND,34521,4.42 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,10,"ROQUE, HARRY SPOX (PRP)",PRP,33314,4.27 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,11,"TEODORO, GIBO (PRP)",PRP,32842,4.21 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,12,"BAUTISTA, HERBERT BISTEK (NPC)",NPC,32066,4.11 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,13,"ESCUDERO, CHIZ (NPC)",NPC,29396,3.77 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,14,"GADON, LARRY (KBL)",KBL,25889,3.32 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,15,"VILLANUEVA,JOEL TESDAMAN (IND)",IND,23050,2.95 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,16,"HONASAN, GRINGO (IND)",IND,22104,2.83 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,17,"PIÑOL, MANNY (NPC)",NPC,17375,2.22 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,18,"PANELO, SAL PANALO (PDPLBN)",PDPLBN,16039,2.05 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,19,"BINAY, JOJO (UNA)",UNA,15824,2.03 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,20,"HONTIVEROS, RISA (AKBAYAN)",AKBAYAN,15136,1.94 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,21,"ELEAZAR, GEN. GUILLERMO (PDR)",PDR,14141,1.81 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,22,"MARCOLETA, RODANTE (PDPLBN)",PDPLBN,10593,1.35 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,23,"GORDON, WOW DICK (BVNP)",BVNP,9886,1.26 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,24,"MARCOS, FRANCIS LEO (IND)",IND,9230,1.18 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,25,"PADILLA, DRA. MINGUITA (PDR)",PDR,8390,1.07 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,26,"BELLO, SILVESTRE JR. (PDPLBN)",PDPLBN,7974,1.02 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,27,"DIOKNO, CHEL (KANP)",KANP,6906,0.88 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,28,"PIMENTEL, ASTRA (PDPLBN)",PDPLBN,6241,0.80 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,29,"TRILLANES, ANTONIO IV (LP)",LP,6110,0.78 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,30,"LACSON, KUYA ALEX (KP)",KP,5997,0.76 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,31,"DEL ROSARIO, MONSOUR (PDR)",PDR,5707,0.73 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,32,"COLMENARES, NERI (MKBYN)",MKBYN,4342,0.55 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,33,"BELGICA, GRECO (PDDS)",PDDS,4211,0.54 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,34,"BALITA, CARL (AKSYON)",AKSYON,3297,0.42 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,35,"DE LIMA, LEILA (LP)",LP,3190,0.40 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,36,"GUTOC, SAMIRA (AKSYON)",AKSYON,3031,0.38 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,37,"BAGUILAT, TEDDY (LP)",LP,1919,0.24 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,38,"SISON, JOPET (AKSYON)",AKSYON,1819,0.23 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,39,"ESPIRITU, LUKE (PLM)",PLM,1769,0.22 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,40,"CHAVEZ, MELCHOR (WPP)",WPP,1725,0.22 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,41,"ZUBIAGA, CARMEN (IND)",IND,1522,0.19 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,42,"LANGIT, REY (PDPLBN)",PDPLBN,1517,0.19 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,43,"ALBANI, IBRAHIM (WPP)",WPP,1475,0.18 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,44,"BARBO, LUTZ (PDPLBN)",PDPLBN,1171,0.15 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,45,"CASTRICIONES, BRO JOHN(PDPLBN)",PDPLBN,1127,0.14 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,46,"MATULA, SONNY (IND)",IND,1091,0.13 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,47,"AFUANG, ABNER (IND)",IND,1058,0.13 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,48,"ARRANZA, MANG JESS (IND)",IND,1054,0.13 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,49,"LIM, ARIEL (IND)",IND,1032,0.13 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,50,"KIRAM, NUR-MAHAL (IND)",IND,1023,0.13 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,51,"DIAZ, DING (PPP)",PPP,969,0.12 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,52,"LABOG, ELMER (MKBYN)",MKBYN,963,0.12 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,53,"CABONEGRO, ROY (PLM)",PLM,961,0.12 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,54,"OLARTE, ATTY/DR. LEO (BIGKIS)",BIGKIS,950,0.12 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,55,"BAILEN, AGNES (IND)",IND,926,0.11 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,56,"RICABLANCA, WILLIE JR. (PM)",PM,799,0.10 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,57,"JAVELLANA, RJ (IND)",IND,792,0.10 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,58,"MINDALANO-ADAM,MARIETA(KTPNAN)",KTPNAN,788,0.10 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,59,"D'ANGELO, DAVID (PLM)",PLM,774,0.09 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,60,"EREÑO, BRO. ERNIE (PM)",PM,696,0.08 %
REGION XI,DAVAO DEL SUR,CITY OF DIGOS,SENATOR PHILIPPINES,61,"FALCONE, BAL FALCON (DPP)",DPP,598,0.07 %
