region,province,city,position,rank,candidate_name,party,votes,percentage
REGION XI,DAVAO DE ORO,MABINI,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,19441,82.53 %
REGION XI,DAVAO DE ORO,MABINI,PRESIDENT PHILIPPINES,2,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,2198,9.33 %
REGION XI,DAVAO DE ORO,MABINI,PRESIDENT PHILIPPINES,3,"ROBREDO, LENI (IND)",IND,1258,5.34 %
REGION XI,DAVAO DE ORO,MABINI,PRESIDENT PHILIPPINES,4,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,189,0.80 %
REGION XI,DAVAO DE ORO,MABINI,PRESIDENT PHILIPPINES,5,"LACSON, PING (PDR)",PDR,162,0.68 %
REGION XI,DAVAO DE ORO,MABINI,PRESIDENT PHILIPPINES,6,"GONZALES, NORBERTO (PDSP)",PDSP,80,0.33 %
REGION XI,DAVAO DE ORO,MABINI,PRESIDENT PHILIPPINES,7,"DE GUZMAN, LEODY (PLM)",PLM,73,0.30 %
REGION XI,DAVAO DE ORO,MABINI,PRESIDENT PHILIPPINES,8,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,73,0.30 %
REGION XI,DAVAO DE ORO,MABINI,PRESIDENT PHILIPPINES,9,"ABELLA, ERNIE (IND)",IND,47,0.19 %
REGION XI,DAVAO DE ORO,MABINI,PRESIDENT PHILIPPINES,10,"MONTEMAYOR, JOSE JR. (DPP)",DPP,33,0.14 %
REGION XI,DAVAO DE ORO,MABINI,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,20840,90.73 %
REGION XI,DAVAO DE ORO,MABINI,VICE PRESIDENT PHILIPPINES,2,"SOTTO, VICENTE TITO (NPC)",NPC,997,4.34 %
REGION XI,DAVAO DE ORO,MABINI,VICE PRESIDENT PHILIPPINES,3,"PANGILINAN, KIKO (LP)",LP,697,3.03 %
REGION XI,DAVAO DE ORO,MABINI,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,120,0.52 %
REGION XI,DAVAO DE ORO,MABINI,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,100,0.43 %
REGION XI,DAVAO DE ORO,MABINI,VICE PRESIDENT PHILIPPINES,6,"LOPEZ, MANNY SD (WPP)",WPP,91,0.39 %
REGION XI,DAVAO DE ORO,MABINI,VICE PRESIDENT PHILIPPINES,7,"BELLO, WALDEN (PLM)",PLM,60,0.26 %
REGION XI,DAVAO DE ORO,MABINI,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,47,0.20 %
REGION XI,DAVAO DE ORO,MABINI,VICE PRESIDENT PHILIPPINES,9,"DAVID, RIZALITO (DPP)",DPP,15,0.06 %
REGION XI,DAVAO DE ORO,MABINI,SENATOR PHILIPPINES,1,"PADILLA, ROBIN (PDPLBN)",PDPLBN,15826,9.45 %
