region,province,city,position,rank,candidate_name,party,votes,percentage
REGION XI,DAVAO DE ORO,PANTUKAN,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,158,0.32 %
REGION XI,DAVAO DE ORO,PANTUKAN,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,140,0.28 %
REGION XI,DAVAO DE ORO,PANTUKAN,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,518,1.07 %
REGION XI,DAVAO DE ORO,PANTUKAN,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,185,0.38 %
REGION XI,DAVAO DE ORO,PANTUKAN,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,355,0.73 %
REGION XI,DAVAO DE ORO,PANTUKAN,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,218,0.45 %
REGION XI,DAVAO DE ORO,PANTUKAN,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,37297,77.07 %
REGION XI,DAVAO DE ORO,PANTUKAN,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,360,0.76 %
REGION XI,DAVAO DE ORO,PANTUKAN,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,119,0.25 %
REGION XI,DAVAO DE ORO,PANTUKAN,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,39,0.08 %
REGION XI,DAVAO DE ORO,PANTUKAN,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,41409,88.47 %
REGION XI,DAVAO DE ORO,PANTUKAN,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,216,0.46 %
REGION XI,DAVAO DE ORO,PANTUKAN,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,322,0.68 %
REGION XI,DAVAO DE ORO,PANTUKAN,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,1888,4.03 %
REGION XI,DAVAO DE ORO,PANTUKAN,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,95,0.20 %
REGION XI,DAVAO DE ORO,PANTUKAN,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,2354,5.02 %
REGION XI,DAVAO DE ORO,PANTUKAN,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,714,0.21 %
REGION XI,DAVAO DE ORO,PANTUKAN,SENATOR PHILIPPINES,2,"ALBANI, IBRAHIM",WPP,1010,0.30 %
REGION XI,DAVAO DE ORO,PANTUKAN,SENATOR PHILIPPINES,3,"ARRANZA, MANG JESS",IND,550,0.16 %
REGION XI,DAVAO DE ORO,PANTUKAN,SENATOR PHILIPPINES,4,"BAGUILAT, TEDDY",LP,898,0.27 %
REGION XI,DAVAO DE ORO,PANTUKAN,SENATOR PHILIPPINES,5,"BAILEN, AGNES",IND,493,0.14 %
REGION XI,DAVAO DE ORO,PANTUKAN,SENATOR PHILIPPINES,6,"BALITA, CARL",AKSYON,1292,0.39 %
REGION XI,DAVAO DE ORO,PANTUKAN,SENATOR PHILIPPINES,7,"BARBO, LUTZ",PDPLBN,640,0.19 %
REGION XI,DAVAO DE ORO,PANTUKAN,SENATOR PHILIPPINES,8,"BAUTISTA, HERBERT BISTEK",NPC,10947,3.31 %
REGION XI,DAVAO DE ORO,PANTUKAN,SENATOR PHILIPPINES,9,"BELGICA, GRECO",PDDS,962,0.29 %
REGION XI,DAVAO DE ORO,PANTUKAN,SENATOR PHILIPPINES,10,"BELLO, SILVESTRE JR.",PDPLBN,1436,0.43 %
REGION XI,DAVAO DE ORO,PANTUKAN,SENATOR PHILIPPINES,11,"BINAY, JOJO",UNA,7606,2.30 %
REGION XI,DAVAO DE ORO,PANTUKAN,SENATOR PHILIPPINES,12,"CABONEGRO, ROY",PLM,500,0.15 %
REGION XI,DAVAO DE ORO,PANTUKAN,SENATOR PHILIPPINES,13,"CASTRICIONES, BRO JOHN",PDPLBN,515,0.15 %
REGION XI,DAVAO DE ORO,PANTUKAN,SENATOR PHILIPPINES,14,"CAYETANO, ALAN PETER",IND,15991,4.83 %
REGION XI,DAVAO DE ORO,PANTUKAN,SENATOR PHILIPPINES,15,"CHAVEZ, MELCHOR",WPP,837,0.25 %
REGION XI,DAVAO DE ORO,PANTUKAN,SENATOR PHILIPPINES,16,"COLMENARES, NERI",MKBYN,1528,0.46 %
REGION XI,DAVAO DE ORO,PANTUKAN,SENATOR PHILIPPINES,17,"D'ANGELO, DAVID",PLM,475,0.14 %
REGION XI,DAVAO DE ORO,PANTUKAN,SENATOR PHILIPPINES,18,"DE LIMA, LEILA",LP,1646,0.49 %
REGION XI,DAVAO DE ORO,PANTUKAN,SENATOR PHILIPPINES,19,"DEL ROSARIO, MONSOUR",PDR,3654,1.10 %
REGION XI,DAVAO DE ORO,PANTUKAN,SENATOR PHILIPPINES,20,"DIAZ, DING",PPP,528,0.15 %
REGION XI,DAVAO DE ORO,PANTUKAN,SENATOR PHILIPPINES,21,"DIOKNO, CHEL",KANP,2016,0.61 %
REGION XI,DAVAO DE ORO,PANTUKAN,SENATOR PHILIPPINES,22,"EJERCITO, JV ESTRADA",NPC,17262,5.22 %
REGION XI,DAVAO DE ORO,PANTUKAN,SENATOR PHILIPPINES,23,"ELEAZAR, GEN. GUILLERMO",PDR,3163,0.95 %
REGION XI,DAVAO DE ORO,PANTUKAN,SENATOR PHILIPPINES,24,"EREÑO, BRO. ERNIE",PM,456,0.13 %
REGION XI,DAVAO DE ORO,PANTUKAN,SENATOR PHILIPPINES,25,"ESCUDERO, CHIZ",NPC,14360,4.34 %
REGION XI,DAVAO DE ORO,PANTUKAN,SENATOR PHILIPPINES,26,"ESPIRITU, LUKE",PLM,610,0.18 %
REGION XI,DAVAO DE ORO,PANTUKAN,SENATOR PHILIPPINES,27,"ESTRADA, JINGGOY",PMP,18492,5.59 %
REGION XI,DAVAO DE ORO,PANTUKAN,SENATOR PHILIPPINES,28,"FALCONE, BAL FALCON",DPP,348,0.10 %
REGION XI,DAVAO DE ORO,PANTUKAN,SENATOR PHILIPPINES,29,"GADON, LARRY",KBL,7789,2.35 %
REGION XI,DAVAO DE ORO,PANTUKAN,SENATOR PHILIPPINES,30,"GATCHALIAN, WIN",NPC,15758,4.76 %
REGION XI,DAVAO DE ORO,PANTUKAN,SENATOR PHILIPPINES,31,"GORDON, WOW DICK",BVNP,3553,1.07 %
REGION XI,DAVAO DE ORO,PANTUKAN,SENATOR PHILIPPINES,32,"GUTOC, SAMIRA",AKSYON,856,0.25 %
REGION XI,DAVAO DE ORO,PANTUKAN,SENATOR PHILIPPINES,33,"HONASAN, GRINGO",IND,8262,2.50 %
REGION XI,DAVAO DE ORO,PANTUKAN,SENATOR PHILIPPINES,34,"HONTIVEROS, RISA",AKBAYAN,6280,1.90 %
