region,province,city,position,rank,candidate_name,party,votes,percentage
REGION XI,DAVAO ORIENTAL,BAGANGA,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,18359,62.61 %
REGION XI,DAVAO ORIENTAL,BAGANGA,PRESIDENT PHILIPPINES,2,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,7896,26.93 %
REGION XI,DAVAO ORIENTAL,BAGANGA,PRESIDENT PHILIPPINES,3,"ROBREDO, LENI (IND)",IND,2108,7.18 %
REGION XI,DAVAO ORIENTAL,BAGANGA,PRESIDENT PHILIPPINES,4,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,358,1.22 %
REGION XI,DAVAO ORIENTAL,BAGANGA,PRESIDENT PHILIPPINES,5,"LACSON, PING (PDR)",PDR,182,0.62 %
REGION XI,DAVAO ORIENTAL,BAGANGA,PRESIDENT PHILIPPINES,6,"GONZALES, NORBERTO (PDSP)",PDSP,118,0.40 %
REGION XI,DAVAO ORIENTAL,BAGANGA,PRESIDENT PHILIPPINES,7,"DE GUZMAN, LEODY (PLM)",PLM,93,0.31 %
REGION XI,DAVAO ORIENTAL,BAGANGA,PRESIDENT PHILIPPINES,8,"ABELLA, ERNIE (IND)",IND,75,0.25 %
REGION XI,DAVAO ORIENTAL,BAGANGA,PRESIDENT PHILIPPINES,9,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,67,0.22 %
REGION XI,DAVAO ORIENTAL,BAGANGA,PRESIDENT PHILIPPINES,10,"MONTEMAYOR, JOSE JR. (DPP)",DPP,63,0.21 %
REGION XI,DAVAO ORIENTAL,BAGANGA,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,24441,86.71 %
REGION XI,DAVAO ORIENTAL,BAGANGA,VICE PRESIDENT PHILIPPINES,2,"PANGILINAN, KIKO (LP)",LP,1503,5.33 %
REGION XI,DAVAO ORIENTAL,BAGANGA,VICE PRESIDENT PHILIPPINES,3,"SOTTO, VICENTE TITO (NPC)",NPC,1373,4.87 %
REGION XI,DAVAO ORIENTAL,BAGANGA,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,210,0.74 %
REGION XI,DAVAO ORIENTAL,BAGANGA,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,208,0.73 %
REGION XI,DAVAO ORIENTAL,BAGANGA,VICE PRESIDENT PHILIPPINES,6,"LOPEZ, MANNY SD (WPP)",WPP,193,0.68 %
