region,province,city,position,rank,candidate_name,party,votes,percentage
REGION XII,COTABATO,LIBUNGAN,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,23034,77.80 %
REGION XII,COTABATO,LIBUNGAN,PRESIDENT PHILIPPINES,2,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,3159,10.67 %
REGION XII,COTABATO,LIBUNGAN,PRESIDENT PHILIPPINES,3,"ROBREDO, LENI (IND)",IND,2331,7.87 %
REGION XII,COTABATO,LIBUNGAN,PRESIDENT PHILIPPINES,4,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,533,1.80 %
REGION XII,COTABATO,LIBUNGAN,PRESIDENT PHILIPPINES,5,"LACSON, PING (PDR)",PDR,273,0.92 %
REGION XII,COTABATO,LIBUNGAN,PRESIDENT PHILIPPINES,6,"GONZALES, NORBERTO (PDSP)",PDSP,65,0.21 %
REGION XII,COTABATO,LIBUNGAN,PRESIDENT PHILIPPINES,7,"ABELLA, ERNIE (IND)",IND,59,0.19 %
REGION XII,COTABATO,LIBUNGAN,PRESIDENT PHILIPPINES,8,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,58,0.19 %
REGION XII,COTABATO,LIBUNGAN,PRESIDENT PHILIPPINES,9,"MONTEMAYOR, JOSE JR. (DPP)",DPP,47,0.15 %
REGION XII,COTABATO,LIBUNGAN,PRESIDENT PHILIPPINES,10,"DE GUZMAN, LEODY (PLM)",PLM,45,0.15 %
REGION XII,COTABATO,LIBUNGAN,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,25634,88.02 %
REGION XII,COTABATO,LIBUNGAN,VICE PRESIDENT PHILIPPINES,2,"PANGILINAN, KIKO (LP)",LP,1433,4.92 %
REGION XII,COTABATO,LIBUNGAN,VICE PRESIDENT PHILIPPINES,3,"SOTTO, VICENTE TITO (NPC)",NPC,1355,4.65 %
REGION XII,COTABATO,LIBUNGAN,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,210,0.72 %
REGION XII,COTABATO,LIBUNGAN,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD (WPP)",WPP,154,0.52 %
REGION XII,COTABATO,LIBUNGAN,VICE PRESIDENT PHILIPPINES,6,"ATIENZA, LITO (PROMDI)",PROMDI,132,0.45 %
REGION XII,COTABATO,LIBUNGAN,VICE PRESIDENT PHILIPPINES,7,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,87,0.29 %
REGION XII,COTABATO,LIBUNGAN,VICE PRESIDENT PHILIPPINES,8,"BELLO, WALDEN (PLM)",PLM,66,0.22 %
REGION XII,COTABATO,LIBUNGAN,VICE PRESIDENT PHILIPPINES,9,"DAVID, RIZALITO (DPP)",DPP,50,0.17 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,1,"PADILLA, ROBIN (PDPLBN)",PDPLBN,18856,8.26 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,2,"PIÑOL, MANNY (NPC)",NPC,16022,7.02 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,3,"TULFO, IDOL RAFFY (IND)",IND,12377,5.42 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,4,"GATCHALIAN, WIN (NPC)",NPC,12010,5.26 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,5,"ESTRADA, JINGGOY (PMP)",PMP,11986,5.25 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,6,"LEGARDA, LOREN (NPC)",NPC,11735,5.14 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,7,"EJERCITO, JV ESTRADA (NPC)",NPC,11671,5.11 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,8,"CAYETANO, ALAN PETER (IND)",IND,11618,5.09 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,9,"VILLAR, MARK (NP)",NP,11361,4.98 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,10,"ZUBIRI, MIGZ (IND)",IND,10414,4.56 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,11,"VILLANUEVA,JOEL TESDAMAN (IND)",IND,10045,4.40 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,12,"ESCUDERO, CHIZ (NPC)",NPC,9198,4.03 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,13,"TEODORO, GIBO (PRP)",PRP,6947,3.04 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,14,"HONASAN, GRINGO (IND)",IND,6885,3.01 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,15,"BINAY, JOJO (UNA)",UNA,6513,2.85 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,16,"ROQUE, HARRY SPOX (PRP)",PRP,6387,2.80 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,17,"BAUTISTA, HERBERT BISTEK (NPC)",NPC,4659,2.04 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,18,"HONTIVEROS, RISA (AKBAYAN)",AKBAYAN,4570,2.00 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,19,"ELEAZAR, GEN. GUILLERMO (PDR)",PDR,4469,1.95 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,20,"GADON, LARRY (KBL)",KBL,3817,1.67 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,21,"GORDON, WOW DICK (BVNP)",BVNP,2534,1.11 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,22,"PANELO, SAL PANALO (PDPLBN)",PDPLBN,2532,1.11 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,23,"MARCOS, FRANCIS LEO (IND)",IND,2502,1.09 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,24,"TRILLANES, ANTONIO IV (LP)",LP,2347,1.02 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,25,"DEL ROSARIO, MONSOUR (PDR)",PDR,2291,1.00 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,26,"PADILLA, DRA. MINGUITA (PDR)",PDR,2244,0.98 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,27,"LACSON, KUYA ALEX (KP)",KP,2133,0.93 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,28,"MARCOLETA, RODANTE (PDPLBN)",PDPLBN,1670,0.73 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,29,"DIOKNO, CHEL (KANP)",KANP,1547,0.67 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,30,"PIMENTEL, ASTRA (PDPLBN)",PDPLBN,1480,0.64 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,31,"DE LIMA, LEILA (LP)",LP,1220,0.53 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,32,"SISON, JOPET (AKSYON)",AKSYON,1182,0.51 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,33,"COLMENARES, NERI (MKBYN)",MKBYN,1074,0.47 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,34,"BELLO, SILVESTRE JR. (PDPLBN)",PDPLBN,1048,0.45 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,35,"BALITA, CARL (AKSYON)",AKSYON,956,0.41 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,36,"BELGICA, GRECO (PDDS)",PDDS,753,0.33 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,37,"CHAVEZ, MELCHOR (WPP)",WPP,532,0.23 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,38,"GUTOC, SAMIRA (AKSYON)",AKSYON,524,0.22 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,39,"DIAZ, DING (PPP)",PPP,467,0.20 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,40,"BAGUILAT, TEDDY (LP)",LP,446,0.19 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,41,"ESPIRITU, LUKE (PLM)",PLM,434,0.19 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,42,"LANGIT, REY (PDPLBN)",PDPLBN,428,0.18 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,43,"ALBANI, IBRAHIM (WPP)",WPP,404,0.17 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,44,"CASTRICIONES, BRO JOHN(PDPLBN)",PDPLBN,366,0.16 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,45,"BARBO, LUTZ (PDPLBN)",PDPLBN,354,0.15 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,46,"ZUBIAGA, CARMEN (IND)",IND,354,0.15 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,47,"RICABLANCA, WILLIE JR. (PM)",PM,325,0.14 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,48,"KIRAM, NUR-MAHAL (IND)",IND,320,0.14 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,49,"BAILEN, AGNES (IND)",IND,313,0.13 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,50,"ARRANZA, MANG JESS (IND)",IND,307,0.13 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,51,"AFUANG, ABNER (IND)",IND,297,0.13 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,52,"EREÑO, BRO. ERNIE (PM)",PM,293,0.12 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,53,"MINDALANO-ADAM,MARIETA(KTPNAN)",KTPNAN,290,0.12 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,54,"LIM, ARIEL (IND)",IND,283,0.12 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,55,"OLARTE, ATTY/DR. LEO (BIGKIS)",BIGKIS,266,0.11 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,56,"CABONEGRO, ROY (PLM)",PLM,256,0.11 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,57,"JAVELLANA, RJ (IND)",IND,250,0.10 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,58,"LABOG, ELMER (MKBYN)",MKBYN,240,0.10 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,59,"MALLILLIN, EMILY (PPM)",PPM,237,0.10 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,60,"MATULA, SONNY (IND)",IND,218,0.09 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,61,"SAHIDULLA, LADY ANNE (PDDS)",PDDS,202,0.08 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,62,"D'ANGELO, DAVID (PLM)",PLM,198,0.08 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,63,"FALCONE, BAL FALCON (DPP)",DPP,195,0.08 %
REGION XII,COTABATO,LIBUNGAN,SENATOR PHILIPPINES,64,"VALEROS, REY (IND)",IND,190,0.08 %
REGION XII,COTABATO,LIBUNGAN,PROVINCIAL GOVERNOR COTABATO,1,"MENDOZA, LALA (NP)",NP,14628,51.22 %
REGION XII,COTABATO,LIBUNGAN,PROVINCIAL GOVERNOR COTABATO,2,"CATAMCO, NANCY (PDPLBN)",PDPLBN,13752,48.16 %
REGION XII,COTABATO,LIBUNGAN,PROVINCIAL GOVERNOR COTABATO,3,"MAONGKO, REX (IND)",IND,125,0.43 %
REGION XII,COTABATO,LIBUNGAN,PROVINCIAL GOVERNOR COTABATO,4,"ADAJAR, MANUEL (IND)",IND,49,0.17 %
REGION XII,COTABATO,LIBUNGAN,PROVINCIAL VICE-GOVERNOR COTABATO,1,"MACASARTE, NENENG (LAKAS)",LAKAS,16030,59.27 %
REGION XII,COTABATO,LIBUNGAN,PROVINCIAL VICE-GOVERNOR COTABATO,2,"PIÑOL, EFREN (PDPLBN)",PDPLBN,10652,39.38 %
REGION XII,COTABATO,LIBUNGAN,PROVINCIAL VICE-GOVERNOR COTABATO,3,"MACAPENDEG, ARMAN (IND)",IND,300,1.10 %
REGION XII,COTABATO,LIBUNGAN,PROVINCIAL VICE-GOVERNOR COTABATO,4,"DESCALSO, HYNER (IND)",IND,62,0.22 %
REGION XII,COTABATO,LIBUNGAN,"MEMBER, SANGGUNIANG PANLALAWIGAN COTABATO - FIRST PROVDIST",1,"ANTAO, SITTIE ELJORIE (NP)",NP,16904,18.90 %
REGION XII,COTABATO,LIBUNGAN,"MEMBER, SANGGUNIANG PANLALAWIGAN COTABATO - FIRST PROVDIST",2,"CRUZADO, EDWIN (PDPLBN)",PDPLBN,12510,13.99 %
REGION XII,COTABATO,LIBUNGAN,"MEMBER, SANGGUNIANG PANLALAWIGAN COTABATO - FIRST PROVDIST",3,"JUNGCO, ROLAND (NP)",NP,11274,12.60 %
REGION XII,COTABATO,LIBUNGAN,"MEMBER, SANGGUNIANG PANLALAWIGAN COTABATO - FIRST PROVDIST",4,"CABAYA, ROSE (NP)",NP,11223,12.55 %
REGION XII,COTABATO,LIBUNGAN,"MEMBER, SANGGUNIANG PANLALAWIGAN COTABATO - FIRST PROVDIST",5,"RABARA, MANUEL (PDPLBN)",PDPLBN,10587,11.83 %
REGION XII,COTABATO,LIBUNGAN,"MEMBER, SANGGUNIANG PANLALAWIGAN COTABATO - FIRST PROVDIST",6,"LLABAN, JAMES JR. (PDPLBN)",PDPLBN,9876,11.04 %
REGION XII,COTABATO,LIBUNGAN,"MEMBER, SANGGUNIANG PANLALAWIGAN COTABATO - FIRST PROVDIST",7,"SULTAN, DULIA (PDPLBN)",PDPLBN,6452,7.21 %
REGION XII,COTABATO,LIBUNGAN,"MEMBER, SANGGUNIANG PANLALAWIGAN COTABATO - FIRST PROVDIST",8,"QUEMAN, BENNY (PROMDI)",PROMDI,3989,4.46 %
REGION XII,COTABATO,LIBUNGAN,"MEMBER, SANGGUNIANG PANLALAWIGAN COTABATO - FIRST PROVDIST",9,"MOSTRALES, ALAN RY (IND)",IND,3635,4.06 %
REGION XII,COTABATO,LIBUNGAN,"MEMBER, SANGGUNIANG PANLALAWIGAN COTABATO - FIRST PROVDIST",10,"ROQUERO, NONOY (IND)",IND,1475,1.64 %
REGION XII,COTABATO,LIBUNGAN,"MEMBER, SANGGUNIANG PANLALAWIGAN COTABATO - FIRST PROVDIST",11,"MANGULAMAS, NORODIN (IND)",IND,328,0.36 %
REGION XII,COTABATO,LIBUNGAN,"MEMBER, SANGGUNIANG PANLALAWIGAN COTABATO - FIRST PROVDIST",12,"ANDIE, LINA (IND)",IND,310,0.34 %
REGION XII,COTABATO,LIBUNGAN,"MEMBER, SANGGUNIANG PANLALAWIGAN COTABATO - FIRST PROVDIST",13,"KAMAD, ABDULKADIL (IND)",IND,283,0.31 %
REGION XII,COTABATO,LIBUNGAN,"MEMBER, SANGGUNIANG PANLALAWIGAN COTABATO - FIRST PROVDIST",14,"LAGASAN, ARAPHAT (AKSYON)",AKSYON,267,0.29 %
REGION XII,COTABATO,LIBUNGAN,"MEMBER, SANGGUNIANG PANLALAWIGAN COTABATO - FIRST PROVDIST",15,"BUAT, JOHN (IND)",IND,160,0.17 %
REGION XII,COTABATO,LIBUNGAN,"MEMBER, SANGGUNIANG PANLALAWIGAN COTABATO - FIRST PROVDIST",16,"UNGGAD, DATUNASSER (IND)",IND,148,0.16 %
REGION XII,COTABATO,LIBUNGAN,"MEMBER, HOUSE OF REPRESENTATIVES COTABATO - FIRST LEGDIST",1,"SACDALAN, JOEL (PDPLBN)",PDPLBN,23946,91.93 %
REGION XII,COTABATO,LIBUNGAN,"MEMBER, HOUSE OF REPRESENTATIVES COTABATO - FIRST LEGDIST",2,"DELA PEÑA, KUY TORING (PROMDI)",PROMDI,1478,5.67 %
REGION XII,COTABATO,LIBUNGAN,"MEMBER, HOUSE OF REPRESENTATIVES COTABATO - FIRST LEGDIST",3,"DILANGALEN, ABDULBASSIT (IND)",IND,622,2.38 %
REGION XII,COTABATO,LIBUNGAN,MAYOR COTABATO - LIBUNGAN,1,"CUAN, APOL (NP)",NP,13784,46.33 %
REGION XII,COTABATO,LIBUNGAN,MAYOR COTABATO - LIBUNGAN,2,"YU, IDOL ARIS (PDPLBN)",PDPLBN,11612,39.03 %
REGION XII,COTABATO,LIBUNGAN,MAYOR COTABATO - LIBUNGAN,3,"ONDOY, JACKIE (PROMDI)",PROMDI,4354,14.63 %
REGION XII,COTABATO,LIBUNGAN,VICE-MAYOR COTABATO - LIBUNGAN,1,"FULLECIDO, JIMBOY (NP)",NP,14062,49.17 %
REGION XII,COTABATO,LIBUNGAN,VICE-MAYOR COTABATO - LIBUNGAN,2,"CORONEL, ED (PFP)",PFP,7715,26.97 %
REGION XII,COTABATO,LIBUNGAN,VICE-MAYOR COTABATO - LIBUNGAN,3,"GRETARE, NOEL (PDPLBN)",PDPLBN,6819,23.84 %
REGION XII,COTABATO,LIBUNGAN,"MEMBER, SANGGUNIANG BAYAN COTABATO - LIBUNGAN - LONE DIST",1,"PADER, PATRICIA (NP)",NP,19571,10.24 %
REGION XII,COTABATO,LIBUNGAN,"MEMBER, SANGGUNIANG BAYAN COTABATO - LIBUNGAN - LONE DIST",2,"CADAVA, JOJIE (IND)",IND,16447,8.60 %
REGION XII,COTABATO,LIBUNGAN,"MEMBER, SANGGUNIANG BAYAN COTABATO - LIBUNGAN - LONE DIST",3,"DELA SERNA, NIKKI (PDPLBN)",PDPLBN,13231,6.92 %
REGION XII,COTABATO,LIBUNGAN,"MEMBER, SANGGUNIANG BAYAN COTABATO - LIBUNGAN - LONE DIST",4,"ANTAO, WALLY (NP)",NP,11934,6.24 %
REGION XII,COTABATO,LIBUNGAN,"MEMBER, SANGGUNIANG BAYAN COTABATO - LIBUNGAN - LONE DIST",5,"DIMA-ANO, RJ (PDPLBN)",PDPLBN,11065,5.79 %
REGION XII,COTABATO,LIBUNGAN,"MEMBER, SANGGUNIANG BAYAN COTABATO - LIBUNGAN - LONE DIST",6,"MANA-AY, HERMIE (NP)",NP,10750,5.62 %
REGION XII,COTABATO,LIBUNGAN,"MEMBER, SANGGUNIANG BAYAN COTABATO - LIBUNGAN - LONE DIST",7,"IHAO, ERWIN (PROMDI)",PROMDI,10317,5.40 %
REGION XII,COTABATO,LIBUNGAN,"MEMBER, SANGGUNIANG BAYAN COTABATO - LIBUNGAN - LONE DIST",8,"DEVELLERES, ANECITA (PDPLBN)",PDPLBN,9784,5.12 %
