region,province,city,position,rank,candidate_name,party,votes,percentage
REGION XII,SOUTH COTABATO,NORALA,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,17545,70.23 %
REGION XII,SOUTH COTABATO,NORALA,PRESIDENT PHILIPPINES,2,"ROBREDO, LENI (IND)",IND,3986,15.95 %
REGION XII,SOUTH COTABATO,NORALA,PRESIDENT PHILIPPINES,3,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,2224,8.90 %
REGION XII,SOUTH COTABATO,NORALA,PRESIDENT PHILIPPINES,4,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,679,2.71 %
REGION XII,SOUTH COTABATO,NORALA,PRESIDENT PHILIPPINES,5,"LACSON, PING (PDR)",PDR,366,1.46 %
REGION XII,SOUTH COTABATO,NORALA,PRESIDENT PHILIPPINES,6,"ABELLA, ERNIE (IND)",IND,45,0.18 %
REGION XII,SOUTH COTABATO,NORALA,PRESIDENT PHILIPPINES,7,"DE GUZMAN, LEODY (PLM)",PLM,42,0.16 %
REGION XII,SOUTH COTABATO,NORALA,PRESIDENT PHILIPPINES,8,"GONZALES, NORBERTO (PDSP)",PDSP,38,0.15 %
REGION XII,SOUTH COTABATO,NORALA,PRESIDENT PHILIPPINES,9,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,33,0.13 %
REGION XII,SOUTH COTABATO,NORALA,PRESIDENT PHILIPPINES,10,"MONTEMAYOR, JOSE JR. (DPP)",DPP,21,0.08 %
REGION XII,SOUTH COTABATO,NORALA,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,18030,73.57 %
REGION XII,SOUTH COTABATO,NORALA,VICE PRESIDENT PHILIPPINES,2,"SOTTO, VICENTE TITO (NPC)",NPC,3082,12.57 %
REGION XII,SOUTH COTABATO,NORALA,VICE PRESIDENT PHILIPPINES,3,"PANGILINAN, KIKO (LP)",LP,2744,11.19 %
REGION XII,SOUTH COTABATO,NORALA,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,317,1.29 %
REGION XII,SOUTH COTABATO,NORALA,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,117,0.47 %
REGION XII,SOUTH COTABATO,NORALA,VICE PRESIDENT PHILIPPINES,6,"LOPEZ, MANNY SD (WPP)",WPP,81,0.33 %
REGION XII,SOUTH COTABATO,NORALA,VICE PRESIDENT PHILIPPINES,7,"BELLO, WALDEN (PLM)",PLM,55,0.22 %
REGION XII,SOUTH COTABATO,NORALA,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,49,0.19 %
REGION XII,SOUTH COTABATO,NORALA,VICE PRESIDENT PHILIPPINES,9,"DAVID, RIZALITO (DPP)",DPP,32,0.13 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,1,"PADILLA, ROBIN (PDPLBN)",PDPLBN,13503,6.75 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,2,"LEGARDA, LOREN (NPC)",NPC,12561,6.27 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,3,"ESTRADA, JINGGOY (PMP)",PMP,10815,5.40 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,4,"TULFO, IDOL RAFFY (IND)",IND,10349,5.17 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,5,"ZUBIRI, MIGZ (IND)",IND,10292,5.14 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,6,"CAYETANO, ALAN PETER (IND)",IND,10073,5.03 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,7,"GATCHALIAN, WIN (NPC)",NPC,9564,4.78 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,8,"EJERCITO, JV ESTRADA (NPC)",NPC,9534,4.76 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,9,"ESCUDERO, CHIZ (NPC)",NPC,8667,4.33 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,10,"VILLANUEVA,JOEL TESDAMAN (IND)",IND,8496,4.24 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,11,"HONTIVEROS, RISA (AKBAYAN)",AKBAYAN,6699,3.34 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,12,"VILLAR, MARK (NP)",NP,6471,3.23 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,13,"BAUTISTA, HERBERT BISTEK (NPC)",NPC,6382,3.19 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,14,"PIÑOL, MANNY (NPC)",NPC,5960,2.97 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,15,"ROQUE, HARRY SPOX (PRP)",PRP,5834,2.91 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,16,"TEODORO, GIBO (PRP)",PRP,5399,2.69 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,17,"GADON, LARRY (KBL)",KBL,5290,2.64 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,18,"BINAY, JOJO (UNA)",UNA,5268,2.63 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,19,"HONASAN, GRINGO (IND)",IND,5179,2.58 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,20,"ELEAZAR, GEN. GUILLERMO (PDR)",PDR,4544,2.27 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,21,"TRILLANES, ANTONIO IV (LP)",LP,3863,1.93 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,22,"GORDON, WOW DICK (BVNP)",BVNP,3487,1.74 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,23,"DIOKNO, CHEL (KANP)",KANP,2573,1.28 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,24,"PADILLA, DRA. MINGUITA (PDR)",PDR,1956,0.97 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,25,"DE LIMA, LEILA (LP)",LP,1942,0.97 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,26,"LACSON, KUYA ALEX (KP)",KP,1931,0.96 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,27,"MARCOLETA, RODANTE (PDPLBN)",PDPLBN,1903,0.95 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,28,"MARCOS, FRANCIS LEO (IND)",IND,1875,0.93 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,29,"DEL ROSARIO, MONSOUR (PDR)",PDR,1853,0.92 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,30,"PIMENTEL, ASTRA (PDPLBN)",PDPLBN,1783,0.89 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,31,"BALITA, CARL (AKSYON)",AKSYON,1701,0.85 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,32,"COLMENARES, NERI (MKBYN)",MKBYN,1570,0.78 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,33,"PANELO, SAL PANALO (PDPLBN)",PDPLBN,1545,0.77 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,34,"BELLO, SILVESTRE JR. (PDPLBN)",PDPLBN,937,0.46 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,35,"SISON, JOPET (AKSYON)",AKSYON,692,0.34 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,36,"ESPIRITU, LUKE (PLM)",PLM,672,0.33 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,37,"BAGUILAT, TEDDY (LP)",LP,588,0.29 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,38,"BELGICA, GRECO (PDDS)",PDDS,570,0.28 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,39,"CHAVEZ, MELCHOR (WPP)",WPP,536,0.26 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,40,"LANGIT, REY (PDPLBN)",PDPLBN,473,0.23 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,41,"GUTOC, SAMIRA (AKSYON)",AKSYON,470,0.23 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,42,"MATULA, SONNY (IND)",IND,388,0.19 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,43,"ZUBIAGA, CARMEN (IND)",IND,363,0.18 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,44,"CASTRICIONES, BRO JOHN(PDPLBN)",PDPLBN,343,0.17 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,45,"AFUANG, ABNER (IND)",IND,329,0.16 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,46,"ALBANI, IBRAHIM (WPP)",WPP,326,0.16 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,47,"DIAZ, DING (PPP)",PPP,321,0.16 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,48,"JAVELLANA, RJ (IND)",IND,306,0.15 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,49,"BAILEN, AGNES (IND)",IND,282,0.14 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,50,"MINDALANO-ADAM,MARIETA(KTPNAN)",KTPNAN,282,0.14 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,51,"BARBO, LUTZ (PDPLBN)",PDPLBN,281,0.14 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,52,"LIM, ARIEL (IND)",IND,281,0.14 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,53,"CABONEGRO, ROY (PLM)",PLM,270,0.13 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,54,"ARRANZA, MANG JESS (IND)",IND,267,0.13 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,55,"LABOG, ELMER (MKBYN)",MKBYN,251,0.12 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,56,"KIRAM, NUR-MAHAL (IND)",IND,240,0.11 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,57,"EREÑO, BRO. ERNIE (PM)",PM,238,0.11 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,58,"D'ANGELO, DAVID (PLM)",PLM,237,0.11 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,59,"OLARTE, ATTY/DR. LEO (BIGKIS)",BIGKIS,232,0.11 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,60,"FALCONE, BAL FALCON (DPP)",DPP,228,0.11 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,61,"MALLILLIN, EMILY (PPM)",PPM,227,0.11 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,62,"RICABLANCA, WILLIE JR. (PM)",PM,227,0.11 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,63,"SAHIDULLA, LADY ANNE (PDDS)",PDDS,166,0.08 %
REGION XII,SOUTH COTABATO,NORALA,SENATOR PHILIPPINES,64,"VALEROS, REY (IND)",IND,144,0.07 %
REGION XII,SOUTH COTABATO,NORALA,PROVINCIAL GOVERNOR SOUTH COTABATO,1,"TAMAYO, REYNALDO JR. (PFP)",PFP,14125,57.02 %
REGION XII,SOUTH COTABATO,NORALA,PROVINCIAL GOVERNOR SOUTH COTABATO,2,"HERNANDEZ, DINAND (PDPLBN)",PDPLBN,10578,42.70 %
REGION XII,SOUTH COTABATO,NORALA,PROVINCIAL GOVERNOR SOUTH COTABATO,3,"BADAYOS, PASTOR RAMIR (IND)",IND,66,0.26 %
REGION XII,SOUTH COTABATO,NORALA,PROVINCIAL VICE-GOVERNOR SOUTH COTABATO,1,"PINGOY, DODO (PFP)",PFP,14785,67.05 %
REGION XII,SOUTH COTABATO,NORALA,PROVINCIAL VICE-GOVERNOR SOUTH COTABATO,2,"DE JESUS, VICENTE (PDPLBN)",PDPLBN,7264,32.94 %
REGION XII,SOUTH COTABATO,NORALA,"MEMBER, SANGGUNIANG PANLALAWIGAN SOUTH COTABATO - SECOND PROVDIST",1,"LUNTAO, ERVIN (PFP)",PFP,13143,10.68 %
REGION XII,SOUTH COTABATO,NORALA,"MEMBER, SANGGUNIANG PANLALAWIGAN SOUTH COTABATO - SECOND PROVDIST",2,"CAUSING, RATRAT-BING (PFP)",PFP,12567,10.21 %
REGION XII,SOUTH COTABATO,NORALA,"MEMBER, SANGGUNIANG PANLALAWIGAN SOUTH COTABATO - SECOND PROVDIST",3,"HURTADO, JUNETTE INES (PFP)",PFP,12540,10.19 %
REGION XII,SOUTH COTABATO,NORALA,"MEMBER, SANGGUNIANG PANLALAWIGAN SOUTH COTABATO - SECOND PROVDIST",4,"DIEL, INDAY (PFP)",PFP,11809,9.59 %
REGION XII,SOUTH COTABATO,NORALA,"MEMBER, SANGGUNIANG PANLALAWIGAN SOUTH COTABATO - SECOND PROVDIST",5,"MATINONG, MIKE (PFP)",PFP,11184,9.08 %
REGION XII,SOUTH COTABATO,NORALA,"MEMBER, SANGGUNIANG PANLALAWIGAN SOUTH COTABATO - SECOND PROVDIST",6,"LADOT, HENRY (PFP)",PFP,10433,8.47 %
REGION XII,SOUTH COTABATO,NORALA,"MEMBER, SANGGUNIANG PANLALAWIGAN SOUTH COTABATO - SECOND PROVDIST",7,"CADELLINO, ROGELIO (PFP)",PFP,8379,6.80 %
REGION XII,SOUTH COTABATO,NORALA,"MEMBER, SANGGUNIANG PANLALAWIGAN SOUTH COTABATO - SECOND PROVDIST",8,"DAR, DARDANILO (PDPLBN)",PDPLBN,8366,6.79 %
REGION XII,SOUTH COTABATO,NORALA,"MEMBER, SANGGUNIANG PANLALAWIGAN SOUTH COTABATO - SECOND PROVDIST",9,"AVANCE, JINKY (PDPLBN)",PDPLBN,7459,6.06 %
REGION XII,SOUTH COTABATO,NORALA,"MEMBER, SANGGUNIANG PANLALAWIGAN SOUTH COTABATO - SECOND PROVDIST",10,"DE PEDRO, HILARIO VI (PDPLBN)",PDPLBN,7140,5.80 %
REGION XII,SOUTH COTABATO,NORALA,"MEMBER, SANGGUNIANG PANLALAWIGAN SOUTH COTABATO - SECOND PROVDIST",11,"SUSTIGUER, RJ (PDPLBN)",PDPLBN,5805,4.71 %
REGION XII,SOUTH COTABATO,NORALA,"MEMBER, SANGGUNIANG PANLALAWIGAN SOUTH COTABATO - SECOND PROVDIST",12,"ACHURRA, INDAY GRACE (PDPLBN)",PDPLBN,4876,3.96 %
REGION XII,SOUTH COTABATO,NORALA,"MEMBER, SANGGUNIANG PANLALAWIGAN SOUTH COTABATO - SECOND PROVDIST",13,"SOLLESTA, CHRISTY JOY (PDPLBN)",PDPLBN,3796,3.08 %
REGION XII,SOUTH COTABATO,NORALA,"MEMBER, SANGGUNIANG PANLALAWIGAN SOUTH COTABATO - SECOND PROVDIST",14,"REYES, MAGNO JR. (LDP)",LDP,2790,2.26 %
REGION XII,SOUTH COTABATO,NORALA,"MEMBER, SANGGUNIANG PANLALAWIGAN SOUTH COTABATO - SECOND PROVDIST",15,"BIARE, RAMIL (IND)",IND,692,0.56 %
REGION XII,SOUTH COTABATO,NORALA,"MEMBER, SANGGUNIANG PANLALAWIGAN SOUTH COTABATO - SECOND PROVDIST",16,"FADO, ROMELITO (IND)",IND,689,0.55 %
REGION XII,SOUTH COTABATO,NORALA,"MEMBER, SANGGUNIANG PANLALAWIGAN SOUTH COTABATO - SECOND PROVDIST",17,"BETITA, TERESITO (IND)",IND,589,0.47 %
REGION XII,SOUTH COTABATO,NORALA,"MEMBER, SANGGUNIANG PANLALAWIGAN SOUTH COTABATO - SECOND PROVDIST",18,"COMAYOG, ANSARY (IND)",IND,500,0.40 %
REGION XII,SOUTH COTABATO,NORALA,"MEMBER, SANGGUNIANG PANLALAWIGAN SOUTH COTABATO - SECOND PROVDIST",19,"SAIG, LINO (IND)",IND,294,0.23 %
