region,province,city,position,rank,candidate_name,party,votes,percentage
REGION XIII,SURIGAO DEL NORTE,DAPA,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,13071,70.92 %
REGION XIII,SURIGAO DEL NORTE,DAPA,PRESIDENT PHILIPPINES,2,"ROBREDO, LENI (IND)",IND,2561,13.89 %
REGION XIII,SURIGAO DEL NORTE,DAPA,PRESIDENT PHILIPPINES,3,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,2132,11.56 %
REGION XIII,SURIGAO DEL NORTE,DAPA,PRESIDENT PHILIPPINES,4,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,236,1.28 %
REGION XIII,SURIGAO DEL NORTE,DAPA,PRESIDENT PHILIPPINES,5,"LACSON, PING (PDR)",PDR,154,0.83 %
REGION XIII,SURIGAO DEL NORTE,DAPA,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,96,0.52 %
REGION XIII,SURIGAO DEL NORTE,DAPA,PRESIDENT PHILIPPINES,7,"ABELLA, ERNIE (IND)",IND,91,0.49 %
REGION XIII,SURIGAO DEL NORTE,DAPA,PRESIDENT PHILIPPINES,8,"GONZALES, NORBERTO (PDSP)",PDSP,44,0.23 %
REGION XIII,SURIGAO DEL NORTE,DAPA,PRESIDENT PHILIPPINES,9,"DE GUZMAN, LEODY (PLM)",PLM,23,0.12 %
REGION XIII,SURIGAO DEL NORTE,DAPA,PRESIDENT PHILIPPINES,10,"MONTEMAYOR, JOSE JR. (DPP)",DPP,22,0.11 %
REGION XIII,SURIGAO DEL NORTE,DAPA,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,15728,88.21 %
REGION XIII,SURIGAO DEL NORTE,DAPA,VICE PRESIDENT PHILIPPINES,2,"PANGILINAN, KIKO (LP)",LP,1109,6.22 %
REGION XIII,SURIGAO DEL NORTE,DAPA,VICE PRESIDENT PHILIPPINES,3,"SOTTO, VICENTE TITO (NPC)",NPC,602,3.37 %
REGION XIII,SURIGAO DEL NORTE,DAPA,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,158,0.88 %
REGION XIII,SURIGAO DEL NORTE,DAPA,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,108,0.60 %
REGION XIII,SURIGAO DEL NORTE,DAPA,VICE PRESIDENT PHILIPPINES,6,"LOPEZ, MANNY SD (WPP)",WPP,41,0.22 %
REGION XIII,SURIGAO DEL NORTE,DAPA,VICE PRESIDENT PHILIPPINES,7,"BELLO, WALDEN (PLM)",PLM,31,0.17 %
REGION XIII,SURIGAO DEL NORTE,DAPA,VICE PRESIDENT PHILIPPINES,8,"DAVID, RIZALITO (DPP)",DPP,26,0.14 %
REGION XIII,SURIGAO DEL NORTE,DAPA,VICE PRESIDENT PHILIPPINES,9,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,26,0.14 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,1,"PADILLA, ROBIN (PDPLBN)",PDPLBN,8678,6.93 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,2,"TULFO, IDOL RAFFY (IND)",IND,7610,6.08 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,3,"CAYETANO, ALAN PETER (IND)",IND,6837,5.46 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,4,"ZUBIRI, MIGZ (IND)",IND,6767,5.40 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,5,"ESCUDERO, CHIZ (NPC)",NPC,6576,5.25 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,6,"VILLAR, MARK (NP)",NP,6002,4.79 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,7,"LEGARDA, LOREN (NPC)",NPC,5648,4.51 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,8,"GATCHALIAN, WIN (NPC)",NPC,5467,4.36 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,9,"ESTRADA, JINGGOY (PMP)",PMP,4663,3.72 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,10,"EJERCITO, JV ESTRADA (NPC)",NPC,4457,3.56 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,11,"TEODORO, GIBO (PRP)",PRP,4289,3.42 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,12,"VILLANUEVA,JOEL TESDAMAN (IND)",IND,4109,3.28 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,13,"BAUTISTA, HERBERT BISTEK (NPC)",NPC,4006,3.20 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,14,"ROQUE, HARRY SPOX (PRP)",PRP,3936,3.14 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,15,"BINAY, JOJO (UNA)",UNA,3567,2.85 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,16,"HONASAN, GRINGO (IND)",IND,3460,2.76 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,17,"ELEAZAR, GEN. GUILLERMO (PDR)",PDR,2878,2.29 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,18,"HONTIVEROS, RISA (AKBAYAN)",AKBAYAN,2836,2.26 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,19,"GADON, LARRY (KBL)",KBL,2818,2.25 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,20,"GORDON, WOW DICK (BVNP)",BVNP,2317,1.85 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,21,"PANELO, SAL PANALO (PDPLBN)",PDPLBN,2083,1.66 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,22,"DIOKNO, CHEL (KANP)",KANP,1855,1.48 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,23,"LACSON, KUYA ALEX (KP)",KP,1598,1.27 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,24,"MARCOLETA, RODANTE (PDPLBN)",PDPLBN,1587,1.26 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,25,"BELLO, SILVESTRE JR. (PDPLBN)",PDPLBN,1537,1.22 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,26,"PIMENTEL, ASTRA (PDPLBN)",PDPLBN,1405,1.12 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,27,"TRILLANES, ANTONIO IV (LP)",LP,1367,1.09 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,28,"COLMENARES, NERI (MKBYN)",MKBYN,1254,1.00 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,29,"BALITA, CARL (AKSYON)",AKSYON,1241,0.99 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,30,"MARCOS, FRANCIS LEO (IND)",IND,1237,0.98 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,31,"DEL ROSARIO, MONSOUR (PDR)",PDR,1193,0.95 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,32,"BELGICA, GRECO (PDDS)",PDDS,1172,0.93 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,33,"PADILLA, DRA. MINGUITA (PDR)",PDR,1129,0.90 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,34,"DE LIMA, LEILA (LP)",LP,968,0.77 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,35,"PIÑOL, MANNY (NPC)",NPC,928,0.74 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,36,"ESPIRITU, LUKE (PLM)",PLM,554,0.44 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,37,"BARBO, LUTZ (PDPLBN)",PDPLBN,513,0.40 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,38,"BAGUILAT, TEDDY (LP)",LP,494,0.39 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,39,"LANGIT, REY (PDPLBN)",PDPLBN,493,0.39 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,40,"CASTRICIONES, BRO JOHN(PDPLBN)",PDPLBN,480,0.38 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,41,"SISON, JOPET (AKSYON)",AKSYON,436,0.34 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,42,"MATULA, SONNY (IND)",IND,388,0.31 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,43,"GUTOC, SAMIRA (AKSYON)",AKSYON,366,0.29 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,44,"AFUANG, ABNER (IND)",IND,309,0.24 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,45,"CHAVEZ, MELCHOR (WPP)",WPP,277,0.22 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,46,"ZUBIAGA, CARMEN (IND)",IND,263,0.21 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,47,"ALBANI, IBRAHIM (WPP)",WPP,254,0.20 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,48,"D'ANGELO, DAVID (PLM)",PLM,222,0.17 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,49,"OLARTE, ATTY/DR. LEO (BIGKIS)",BIGKIS,214,0.17 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,50,"LABOG, ELMER (MKBYN)",MKBYN,212,0.16 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,51,"BAILEN, AGNES (IND)",IND,207,0.16 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,52,"ARRANZA, MANG JESS (IND)",IND,206,0.16 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,53,"KIRAM, NUR-MAHAL (IND)",IND,199,0.15 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,54,"MINDALANO-ADAM,MARIETA(KTPNAN)",KTPNAN,184,0.14 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,55,"LIM, ARIEL (IND)",IND,173,0.13 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,56,"CABONEGRO, ROY (PLM)",PLM,172,0.13 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,57,"EREÑO, BRO. ERNIE (PM)",PM,163,0.13 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,58,"DIAZ, DING (PPP)",PPP,157,0.12 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,59,"RICABLANCA, WILLIE JR. (PM)",PM,154,0.12 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,60,"FALCONE, BAL FALCON (DPP)",DPP,141,0.11 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,61,"JAVELLANA, RJ (IND)",IND,129,0.10 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,62,"MALLILLIN, EMILY (PPM)",PPM,119,0.09 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,63,"SAHIDULLA, LADY ANNE (PDDS)",PDDS,94,0.07 %
REGION XIII,SURIGAO DEL NORTE,DAPA,SENATOR PHILIPPINES,64,"VALEROS, REY (IND)",IND,92,0.07 %
REGION XIII,SURIGAO DEL NORTE,DAPA,PROVINCIAL GOVERNOR SURIGAO DEL NORTE,1,"MATUGAS, LALO (PDPLBN)",PDPLBN,10675,58.47 %
REGION XIII,SURIGAO DEL NORTE,DAPA,PROVINCIAL GOVERNOR SURIGAO DEL NORTE,2,"BARBERS, LYNDON (NP)",NP,7496,41.05 %
REGION XIII,SURIGAO DEL NORTE,DAPA,PROVINCIAL GOVERNOR SURIGAO DEL NORTE,3,"MAQUISO, ARTEMIO (IND)",IND,86,0.47 %
REGION XIII,SURIGAO DEL NORTE,DAPA,PROVINCIAL VICE-GOVERNOR SURIGAO DEL NORTE,1,"GOKIANGKEE, GEED (PDPLBN)",PDPLBN,9896,58.95 %
REGION XIII,SURIGAO DEL NORTE,DAPA,PROVINCIAL VICE-GOVERNOR SURIGAO DEL NORTE,2,"CATRE, NOEL (NP)",NP,5831,34.73 %
REGION XIII,SURIGAO DEL NORTE,DAPA,PROVINCIAL VICE-GOVERNOR SURIGAO DEL NORTE,3,"RUAYA, AMBROSIO JR. (IND)",IND,1058,6.30 %
REGION XIII,SURIGAO DEL NORTE,DAPA,"MEMBER, SANGGUNIANG PANLALAWIGAN SURIGAO DEL NORTE - FIRST PROVDIST",1,"NAVARRO, BULLY (PDPLBN)",PDPLBN,9470,13.65 %
REGION XIII,SURIGAO DEL NORTE,DAPA,"MEMBER, SANGGUNIANG PANLALAWIGAN SURIGAO DEL NORTE - FIRST PROVDIST",2,"SUNICO, JULECS (PDPLBN)",PDPLBN,8736,12.59 %
REGION XIII,SURIGAO DEL NORTE,DAPA,"MEMBER, SANGGUNIANG PANLALAWIGAN SURIGAO DEL NORTE - FIRST PROVDIST",3,"BONCAROS, GUILLER (PDPLBN)",PDPLBN,8077,11.64 %
REGION XIII,SURIGAO DEL NORTE,DAPA,"MEMBER, SANGGUNIANG PANLALAWIGAN SURIGAO DEL NORTE - FIRST PROVDIST",4,"ANDANAR, SONNY BOY (PDPLBN)",PDPLBN,7775,11.21 %
REGION XIII,SURIGAO DEL NORTE,DAPA,"MEMBER, SANGGUNIANG PANLALAWIGAN SURIGAO DEL NORTE - FIRST PROVDIST",5,"PLAZA, DONGDONG (PDPLBN)",PDPLBN,7233,10.43 %
REGION XIII,SURIGAO DEL NORTE,DAPA,"MEMBER, SANGGUNIANG PANLALAWIGAN SURIGAO DEL NORTE - FIRST PROVDIST",6,"GOPICO, CATHY (NP)",NP,6531,9.41 %
