region,province,city,position,rank,candidate_name,party,votes,percentage
REGION XIII,SURIGAO DEL NORTE,DEL CARMEN,PRESIDENT PHILIPPINES,1,"MARCOS, BONGBONG (PFP)",PFP,5711,61.25 %
REGION XIII,SURIGAO DEL NORTE,DEL CARMEN,PRESIDENT PHILIPPINES,2,"ROBREDO, LENI (IND)",IND,2197,23.56 %
REGION XIII,SURIGAO DEL NORTE,DEL CARMEN,PRESIDENT PHILIPPINES,3,"PACQUIAO, MANNY PACMAN(PROMDI)",PROMDI,1036,11.11 %
REGION XIII,SURIGAO DEL NORTE,DEL CARMEN,PRESIDENT PHILIPPINES,4,"DOMAGOSO, ISKO MORENO (AKSYON)",AKSYON,135,1.44 %
REGION XIII,SURIGAO DEL NORTE,DEL CARMEN,PRESIDENT PHILIPPINES,5,"LACSON, PING (PDR)",PDR,108,1.15 %
REGION XIII,SURIGAO DEL NORTE,DEL CARMEN,PRESIDENT PHILIPPINES,6,"ABELLA, ERNIE (IND)",IND,55,0.58 %
REGION XIII,SURIGAO DEL NORTE,DEL CARMEN,PRESIDENT PHILIPPINES,7,"GONZALES, NORBERTO (PDSP)",PDSP,39,0.41 %
REGION XIII,SURIGAO DEL NORTE,DEL CARMEN,PRESIDENT PHILIPPINES,8,"DE GUZMAN, LEODY (PLM)",PLM,22,0.23 %
REGION XIII,SURIGAO DEL NORTE,DEL CARMEN,PRESIDENT PHILIPPINES,9,"MONTEMAYOR, JOSE JR. (DPP)",DPP,13,0.13 %
REGION XIII,SURIGAO DEL NORTE,DEL CARMEN,PRESIDENT PHILIPPINES,10,"MANGONDATO, FAISAL (KTPNAN)",KTPNAN,7,0.07 %
REGION XIII,SURIGAO DEL NORTE,DEL CARMEN,VICE PRESIDENT PHILIPPINES,1,"DUTERTE, SARA (LAKAS)",LAKAS,7696,85.29 %
REGION XIII,SURIGAO DEL NORTE,DEL CARMEN,VICE PRESIDENT PHILIPPINES,2,"PANGILINAN, KIKO (LP)",LP,712,7.89 %
REGION XIII,SURIGAO DEL NORTE,DEL CARMEN,VICE PRESIDENT PHILIPPINES,3,"SOTTO, VICENTE TITO (NPC)",NPC,385,4.26 %
REGION XIII,SURIGAO DEL NORTE,DEL CARMEN,VICE PRESIDENT PHILIPPINES,4,"ONG, DOC WILLIE (AKSYON)",AKSYON,82,0.90 %
REGION XIII,SURIGAO DEL NORTE,DEL CARMEN,VICE PRESIDENT PHILIPPINES,5,"ATIENZA, LITO (PROMDI)",PROMDI,49,0.54 %
REGION XIII,SURIGAO DEL NORTE,DEL CARMEN,VICE PRESIDENT PHILIPPINES,6,"LOPEZ, MANNY SD (WPP)",WPP,33,0.36 %
REGION XIII,SURIGAO DEL NORTE,DEL CARMEN,VICE PRESIDENT PHILIPPINES,7,"SERAPIO, CARLOS (KTPNAN)",KTPNAN,31,0.34 %
REGION XIII,SURIGAO DEL NORTE,DEL CARMEN,VICE PRESIDENT PHILIPPINES,8,"DAVID, RIZALITO (DPP)",DPP,18,0.19 %
REGION XIII,SURIGAO DEL NORTE,DEL CARMEN,VICE PRESIDENT PHILIPPINES,9,"BELLO, WALDEN (PLM)",PLM,17,0.18 %
