region,province,city,position,rank,candidate_name,party,votes,percentage
REGION XIII,SURIGAO DEL NORTE,MALIMONO,PRESIDENT PHILIPPINES,1,"ABELLA, ERNIE",IND,27,0.23 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,PRESIDENT PHILIPPINES,2,"DE GUZMAN, LEODY",PLM,17,0.14 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,PRESIDENT PHILIPPINES,3,"DOMAGOSO, ISKO MORENO",AKSYON,159,1.36 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,PRESIDENT PHILIPPINES,4,"GONZALES, NORBERTO",PDSP,27,0.23 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,PRESIDENT PHILIPPINES,5,"LACSON, PING",PDR,73,0.62 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,PRESIDENT PHILIPPINES,6,"MANGONDATO, FAISAL",KTPNAN,8,0.06 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,PRESIDENT PHILIPPINES,7,"MARCOS, BONGBONG",PFP,8977,76.84 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,VICE PRESIDENT PHILIPPINES,1,"ATIENZA, LITO",PROMDI,48,0.42 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,VICE PRESIDENT PHILIPPINES,2,"BELLO, WALDEN",PLM,15,0.13 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,VICE PRESIDENT PHILIPPINES,3,"DAVID, RIZALITO",DPP,10,0.08 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,VICE PRESIDENT PHILIPPINES,4,"DUTERTE, SARA",LAKAS,10356,90.72 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,VICE PRESIDENT PHILIPPINES,5,"LOPEZ, MANNY SD",WPP,37,0.32 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,VICE PRESIDENT PHILIPPINES,6,"ONG, DOC WILLIE",AKSYON,96,0.84 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,VICE PRESIDENT PHILIPPINES,7,"PANGILINAN, KIKO",LP,544,4.76 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,VICE PRESIDENT PHILIPPINES,8,"SERAPIO, CARLOS",KTPNAN,17,0.14 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,VICE PRESIDENT PHILIPPINES,9,"SOTTO, VICENTE TITO",NPC,292,2.55 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,1,"AFUANG, ABNER",IND,157,0.20 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,2,"ALBANI, IBRAHIM",WPP,202,0.26 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,3,"ARRANZA, MANG JESS",IND,114,0.15 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,4,"BAGUILAT, TEDDY",LP,197,0.26 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,5,"BAILEN, AGNES",IND,118,0.15 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,6,"BALITA, CARL",AKSYON,991,1.31 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,7,"BARBO, LUTZ",PDPLBN,248,0.32 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,8,"BAUTISTA, HERBERT BISTEK",NPC,2266,3.00 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,9,"BELGICA, GRECO",PDDS,302,0.40 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,10,"BELLO, SILVESTRE JR.",PDPLBN,480,0.63 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,11,"BINAY, JOJO",UNA,1910,2.53 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,12,"CABONEGRO, ROY",PLM,86,0.11 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,13,"CASTRICIONES, BRO JOHN",PDPLBN,228,0.30 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,14,"CAYETANO, ALAN PETER",IND,4566,6.06 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,15,"CHAVEZ, MELCHOR",WPP,167,0.22 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,16,"COLMENARES, NERI",MKBYN,765,1.01 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,17,"D'ANGELO, DAVID",PLM,104,0.13 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,18,"DE LIMA, LEILA",LP,443,0.58 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,19,"DEL ROSARIO, MONSOUR",PDR,663,0.88 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,20,"DIAZ, DING",PPP,120,0.15 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,21,"DIOKNO, CHEL",KANP,743,0.98 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,22,"EJERCITO, JV ESTRADA",NPC,3436,4.56 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,23,"ELEAZAR, GEN. GUILLERMO",PDR,1144,1.51 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,24,"EREÑO, BRO. ERNIE",PM,101,0.13 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,25,"ESCUDERO, CHIZ",NPC,3335,4.42 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,26,"ESPIRITU, LUKE",PLM,257,0.34 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,27,"ESTRADA, JINGGOY",PMP,2865,3.80 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,28,"FALCONE, BAL FALCON",DPP,92,0.12 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,29,"GADON, LARRY",KBL,1142,1.51 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,30,"GATCHALIAN, WIN",NPC,3784,5.02 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,31,"GORDON, WOW DICK",BVNP,1492,1.98 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,32,"GUTOC, SAMIRA",AKSYON,134,0.17 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,33,"HONASAN, GRINGO",IND,1712,2.27 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,34,"HONTIVEROS, RISA",AKBAYAN,1516,2.01 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,35,"JAVELLANA, RJ",IND,93,0.12 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,36,"KIRAM, NUR-MAHAL",IND,95,0.12 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,37,"LABOG, ELMER",MKBYN,145,0.19 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,38,"LACSON, KUYA ALEX",KP,991,1.31 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,39,"LANGIT, REY",PDPLBN,287,0.38 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,40,"LEGARDA, LOREN",NPC,3423,4.54 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,41,"LIM, ARIEL",IND,147,0.19 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,42,"MALLILLIN, EMILY",PPM,73,0.09 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,43,"MARCOLETA, RODANTE",PDPLBN,961,1.27 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,44,"MARCOS, FRANCIS LEO",IND,776,1.03 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,45,"MATULA, SONNY",IND,163,0.21 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,46,"MINDALANO-ADAM,MARIETA",KTPNAN,94,0.12 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,47,"OLARTE, ATTY/DR. LEO",BIGKIS,168,0.22 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,48,"PADILLA, DRA. MINGUITA",PDR,739,0.98 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,49,"PADILLA, ROBIN",PDPLBN,5248,6.96 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,50,"PANELO, SAL PANALO",PDPLBN,1013,1.34 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,51,"PIMENTEL, ASTRA",PDPLBN,782,1.03 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,52,"PIÑOL, MANNY",NPC,2442,3.24 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,53,"RICABLANCA, WILLIE JR.",PM,118,0.15 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,54,"ROQUE, HARRY SPOX",PRP,2131,2.82 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,55,"SAHIDULLA, LADY ANNE",PDDS,55,0.07 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,56,"SISON, JOPET",AKSYON,315,0.41 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,57,"TEODORO, GIBO",PRP,2252,2.98 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,58,"TRILLANES, ANTONIO IV",LP,750,0.99 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,59,"TULFO, IDOL RAFFY",IND,5179,6.87 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,60,"VALEROS, REY",IND,60,0.07 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,61,"VILLANUEVA,JOEL TESDAMAN",IND,2672,3.54 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,62,"VILLAR, MARK",NP,3770,5.00 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,63,"ZUBIAGA, CARMEN",IND,159,0.21 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,64,"ZUBIRI, MIGZ",IND,4343,5.76 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,SENATOR PHILIPPINES,65,35 BH,BAGONG HENERASYON,25,0.39 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,"MEMBER, HOUSE OF REPRESENTATIVES SURIGAO DEL NORTE - SECOND LEGDIST",1,"BARBERS, ACE",NP,7635,69.63 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,"MEMBER, HOUSE OF REPRESENTATIVES SURIGAO DEL NORTE - SECOND LEGDIST",2,"LARONG, LOLONG",PDPLBN,3330,30.36 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,PROVINCIAL GOVERNOR SURIGAO DEL NORTE,1,"BARBERS, LYNDON",NP,6142,52.83 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,PROVINCIAL GOVERNOR SURIGAO DEL NORTE,2,"MAQUISO, ARTEMIO",IND,59,0.50 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,PROVINCIAL GOVERNOR SURIGAO DEL NORTE,3,"MATUGAS, LALO",PDPLBN,5424,46.65 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,PROVINCIAL VICE-GOVERNOR SURIGAO DEL NORTE,1,"CATRE, NOEL",NP,3957,37.54 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,PROVINCIAL VICE-GOVERNOR SURIGAO DEL NORTE,2,"GOKIANGKEE, GEED",PDPLBN,6486,61.53 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,PROVINCIAL VICE-GOVERNOR SURIGAO DEL NORTE,3,"RUAYA, AMBROSIO JR.",IND,97,0.92 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,"MEMBER, SANGGUNIANG PANLALAWIGAN SURIGAO DEL NORTE - SECOND PROVDIST",1,"BEBERINO, VICENTE JR.",NP,2896,8.33 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,"MEMBER, SANGGUNIANG PANLALAWIGAN SURIGAO DEL NORTE - SECOND PROVDIST",2,"BERNAL, VICTOR",NP,3248,9.34 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,"MEMBER, SANGGUNIANG PANLALAWIGAN SURIGAO DEL NORTE - SECOND PROVDIST",3,"CASTRENCE, SIM",PDPLBN,3514,10.11 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,"MEMBER, SANGGUNIANG PANLALAWIGAN SURIGAO DEL NORTE - SECOND PROVDIST",4,"EGAY, ELVIRA",PDPLBN,4341,12.49 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,"MEMBER, SANGGUNIANG PANLALAWIGAN SURIGAO DEL NORTE - SECOND PROVDIST",5,"LAMBUS, ALLAN",NP,3298,9.49 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,"MEMBER, SANGGUNIANG PANLALAWIGAN SURIGAO DEL NORTE - SECOND PROVDIST",6,"LARONG, JEFF",PDPLBN,4576,13.17 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,"MEMBER, SANGGUNIANG PANLALAWIGAN SURIGAO DEL NORTE - SECOND PROVDIST",7,"RECABO, KAISER JR.",PDPLBN,3446,9.91 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,"MEMBER, SANGGUNIANG PANLALAWIGAN SURIGAO DEL NORTE - SECOND PROVDIST",8,"SERVILLAS, DOREEN",NP,3023,8.70 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,"MEMBER, SANGGUNIANG PANLALAWIGAN SURIGAO DEL NORTE - SECOND PROVDIST",9,"URIARTE, BOBOY",NP,2898,8.34 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,"MEMBER, SANGGUNIANG PANLALAWIGAN SURIGAO DEL NORTE - SECOND PROVDIST",10,"YUIPCO, KENT",PDPLBN,3505,10.08 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,MAYOR SURIGAO DEL NORTE - MALIMONO,1,"ENCINA, MARLOU",IND,59,0.49 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,MAYOR SURIGAO DEL NORTE - MALIMONO,2,"QUINTO, OBAW",PROMDI,574,4.77 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,MAYOR SURIGAO DEL NORTE - MALIMONO,3,"SANDIGAN, SHEENA",NP,4859,40.43 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,MAYOR SURIGAO DEL NORTE - MALIMONO,4,"SINACA, WALLACE",PDPLBN,6525,54.29 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,VICE-MAYOR SURIGAO DEL NORTE - MALIMONO,1,"AMALLA, YOYOY",PDPLBN,6000,52.69 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,VICE-MAYOR SURIGAO DEL NORTE - MALIMONO,2,"MACANA, ULYSSES",PROMDI,1145,10.05 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,VICE-MAYOR SURIGAO DEL NORTE - MALIMONO,3,"VERGARA, JUPITH",NP,4241,37.24 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,"MEMBER, SANGGUNIANG BAYAN SURIGAO DEL NORTE - MALIMONO - LONE DIST",1,"ABRAHAM, NATY",PDPLBN,6058,7.35 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,"MEMBER, SANGGUNIANG BAYAN SURIGAO DEL NORTE - MALIMONO - LONE DIST",2,"ALMENDRAL, IBRAHIM",PROMDI,465,0.56 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,"MEMBER, SANGGUNIANG BAYAN SURIGAO DEL NORTE - MALIMONO - LONE DIST",3,"BIBERA, KAPITAN YOYONG",IND,1170,1.41 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,"MEMBER, SANGGUNIANG BAYAN SURIGAO DEL NORTE - MALIMONO - LONE DIST",4,"CAGA, RICKY",PROMDI,1226,1.48 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,"MEMBER, SANGGUNIANG BAYAN SURIGAO DEL NORTE - MALIMONO - LONE DIST",5,"DALDE, WENDENG",NP,2994,3.63 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,"MEMBER, SANGGUNIANG BAYAN SURIGAO DEL NORTE - MALIMONO - LONE DIST",6,"DAPUSALA, MOYMOY",IND,320,0.38 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,"MEMBER, SANGGUNIANG BAYAN SURIGAO DEL NORTE - MALIMONO - LONE DIST",7,"DEL CARMEN, GAYA",PDPLBN,6390,7.75 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,"MEMBER, SANGGUNIANG BAYAN SURIGAO DEL NORTE - MALIMONO - LONE DIST",8,"ESCAÑO, IAN",PDPLBN,4066,4.93 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,"MEMBER, SANGGUNIANG BAYAN SURIGAO DEL NORTE - MALIMONO - LONE DIST",9,"ESTRELLA, LAD",PDPLBN,2308,2.80 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,"MEMBER, SANGGUNIANG BAYAN SURIGAO DEL NORTE - MALIMONO - LONE DIST",10,"FEROL, OPAW SINACA",PDPLBN,5120,6.21 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,"MEMBER, SANGGUNIANG BAYAN SURIGAO DEL NORTE - MALIMONO - LONE DIST",11,"FUENTES, DANNY",NP,1846,2.23 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,"MEMBER, SANGGUNIANG BAYAN SURIGAO DEL NORTE - MALIMONO - LONE DIST",12,"GALOLA, RADY",PDPLBN,6362,7.71 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,"MEMBER, SANGGUNIANG BAYAN SURIGAO DEL NORTE - MALIMONO - LONE DIST",13,"GERALDINO, DANTE",PROMDI,3382,4.10 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,"MEMBER, SANGGUNIANG BAYAN SURIGAO DEL NORTE - MALIMONO - LONE DIST",14,"LIBATE, JANE",PROMDI,1608,1.95 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,"MEMBER, SANGGUNIANG BAYAN SURIGAO DEL NORTE - MALIMONO - LONE DIST",15,"MACARINE, ADO",PDPLBN,3793,4.60 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,"MEMBER, SANGGUNIANG BAYAN SURIGAO DEL NORTE - MALIMONO - LONE DIST",16,"MAGALONA, NOLIE",PROMDI,3539,4.29 %
REGION XIII,SURIGAO DEL NORTE,MALIMONO,"MEMBER, SANGGUNIANG BAYAN SURIGAO DEL NORTE - MALIMONO - LONE DIST",17,"MANTALA, DONDON",NP,2270,2.75 %
