region,province,city,position,rank,candidate_name,party,votes,percentage
BARMM,MAGUINDANAO DEL NORTE,DATU BLAH T. SINSUAT,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,6900,5.8 %
BARMM,MAGUINDANAO DEL NORTE,DATU BLAH T. SINSUAT,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,203,0.17 %
BARMM,MAGUINDANAO DEL NORTE,DATU BLAH T. SINSUAT,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,13,0.01 %
BARMM,MAGUINDANAO DEL NORTE,DATU BLAH T. SINSUAT,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,16,0.01 %
BARMM,MAGUINDANAO DEL NORTE,DATU BLAH T. SINSUAT,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,871,0.73 %
BARMM,MAGUINDANAO DEL NORTE,DATU BLAH T. SINSUAT,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,24,0.02 %
BARMM,MAGUINDANAO DEL NORTE,DATU BLAH T. SINSUAT,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,22,0.02 %
BARMM,MAGUINDANAO DEL NORTE,DATU BLAH T. SINSUAT,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,89,0.07 %
BARMM,MAGUINDANAO DEL NORTE,DATU BLAH T. SINSUAT,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,6601,5.55 %
BARMM,MAGUINDANAO DEL NORTE,DATU BLAH T. SINSUAT,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,3718,3.13 %
BARMM,MAGUINDANAO DEL NORTE,DATU BLAH T. SINSUAT,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,6003,5.05 %
BARMM,MAGUINDANAO DEL NORTE,DATU BLAH T. SINSUAT,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,193,0.16 %
BARMM,MAGUINDANAO DEL NORTE,DATU BLAH T. SINSUAT,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,29,0.02 %
BARMM,MAGUINDANAO DEL NORTE,DATU BLAH T. SINSUAT,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,30,0.03 %
