region,province,city,position,rank,candidate_name,party,votes,percentage
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,14522,6.74 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,354,0.16 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,331,0.15 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,321,0.15 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,7212,3.35 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,1157,0.54 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,382,0.18 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,783,0.36 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,12801,5.94 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,1348,0.63 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,12557,5.83 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,4542,2.11 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,1347,0.63 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,189,0.09 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,331,0.15 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,1320,0.61 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,1094,0.51 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,6078,2.82 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,201,0.09 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,863,0.4 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,1221,0.57 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,4555,2.11 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,286,0.13 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,314,0.15 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,25,"ESPIRITU, LUKE",PLM,2179,1.01 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,26,"FLORANDA, MODY PISTON",MKBYN,262,0.12 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,27,"GAMBOA, MARC LOUIE",IND,273,0.13 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,28,"GO, BONG GO",PDPLBN,7085,3.29 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,29,"GONZALES, NORBERTO",PDSP,418,0.19 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,30,"HINLO, JAYVEE",PDPLBN,686,0.32 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,31,"HONASAN, GRINGO",RP,2840,1.32 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,32,"JOSE, RELLY JR.",KBL,210,0.1 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,33,"LACSON, PING",IND,13909,6.46 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,34,"LAMBINO, RAUL",PDPLBN,901,0.42 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,35,"LAPID, LITO",NPC,5780,2.68 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,36,"LEE, MANOY WILBERT",AKSYON,262,0.12 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,37,"LIDASAN, AMIRAH",MKBYN,233,0.11 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,38,"MARCOLETA, RODANTE",IND,6643,3.08 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,39,"MARCOS, IMEE R.",NP,15512,7.2 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,40,"MARQUEZ, NORMAN",IND,510,0.24 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,41,"MARTINEZ, ERIC",IND,300,0.14 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,42,"MATA, DOC MARITES",IND,637,0.3 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,43,"MATULA, ATTY. SONNY",WPP,1105,0.51 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,44,"MAZA, LIZA",MKBYN,1237,0.57 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,45,"MENDOZA, HEIDI",IND,3463,1.61 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,46,"MONTEMAYOR, JOEY",IND,300,0.14 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,47,"MUSTAPHA, SUBAIR",WPP,120,0.06 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,48,"OLIVAR, JOSE JESSIE",IND,180,0.08 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,49,"ONG, DOC WILLIE",AKSYON,2937,1.36 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,50,"PACQUIAO, MANNY PACMAN",PFP,10321,4.79 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,51,"PANGILINAN, KIKO",LP,5607,2.6 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,52,"QUERUBIN, ARIEL PORFIRIO",NP,3082,1.43 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,53,"QUIBOLOY, APOLLO",IND,772,0.36 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,54,"RAMOS, DANILO",MKBYN,1294,0.6 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,55,"REVILLAME, WILLIE WIL",IND,3787,1.76 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,56,"RODRIGUEZ, ATTY. VIC",IND,1747,0.81 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,57,"SAHIDULLA, NUR-ANA",IND,123,0.06 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,58,"SALVADOR, PHILLIP IPE",PDPLBN,1818,0.84 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,59,"SOTTO, TITO",NPC,8614,4 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,60,"TAPADO, MICHAEL BONGBONG",PM,201,0.09 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,61,"TOLENTINO, FRANCIS TOL",PFP,3306,1.54 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,62,"TULFO, BEN BITAG",IND,6324,2.94 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,63,"TULFO, ERWIN",LAKAS,14964,6.95 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,64,"VALBUENA, MAR MANIBELA",IND,162,0.08 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,65,"VERCELES, LEANDRO",IND,160,0.07 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,SENATOR of PHILIPPINES,66,"VILLAR, CAMILLE",NP,11000,5.11 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,PARTY LIST of PHILIPPINES,,1 4PS,,304,1.09 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,PARTY LIST of PHILIPPINES,,2 PPP,,11,0.04 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,PARTY LIST of PHILIPPINES,,3 FPJ PANDAY BAYANIHAN,,29,0.1 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,PARTY LIST of PHILIPPINES,,4 KABATAAN,,75,0.27 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,PARTY LIST of PHILIPPINES,,5 DUTERTE YOUTH,,239,0.86 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,PARTY LIST of PHILIPPINES,,6 ML,,61,0.22 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,PARTY LIST of PHILIPPINES,,7 PBBM,,2662,9.57 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,PARTY LIST of PHILIPPINES,,8 P3PWD,,37,0.13 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,PARTY LIST of PHILIPPINES,,9 MURANG KURYENTE,,28,0.1 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,PARTY LIST of PHILIPPINES,,10 BICOL SARO,,15,0.05 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,PARTY LIST of PHILIPPINES,,11 IPATUPAD,,10,0.04 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,PARTY LIST of PHILIPPINES,,12 PATROL,,6,0.02 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,PARTY LIST of PHILIPPINES,,13 JUAN PINOY,,3,0.01 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,PARTY LIST of PHILIPPINES,,14 ARTE,,3,0.01 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,PARTY LIST of PHILIPPINES,,15 WIFI,,25,0.09 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,PARTY LIST of PHILIPPINES,,16 MAAGAP,,2,0.01 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,PARTY LIST of PHILIPPINES,,17 UNITED SENIOR CITIZENS,,97,0.35 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,PARTY LIST of PHILIPPINES,,18 EPANAW SAMBAYANAN,,13,0.05 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,PARTY LIST of PHILIPPINES,,19 AKO PADAYON,,0,0 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,PARTY LIST of PHILIPPINES,,20 TUCP,,1,0 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,PARTY LIST of PHILIPPINES,,21 ACT TEACHERS,,34,0.12 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,PARTY LIST of PHILIPPINES,,22 1PACMAN,,276,0.99 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,PARTY LIST of PHILIPPINES,,23 TGP,,12,0.04 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,PARTY LIST of PHILIPPINES,,24 DUMPER PTDA,,1,0 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,PARTY LIST of PHILIPPINES,,25 ANAKALUSUGAN,,1,0 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,PARTY LIST of PHILIPPINES,,26 AKSYON DAPAT,,11,0.04 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,PARTY LIST of PHILIPPINES,,27 BHW,,7,0.03 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,PARTY LIST of PHILIPPINES,,28 SULONG DIGNIDAD,,1,0 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,PARTY LIST of PHILIPPINES,,29 BATANG QUIAPO,,19,0.07 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,PARTY LIST of PHILIPPINES,,30 PBA,,4,0.01 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,PARTY LIST of PHILIPPINES,,31 GILAS,,1,0 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,PARTY LIST of PHILIPPINES,,32 AKO ILOCANO AKO,,171,0.61 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,PARTY LIST of PHILIPPINES,,33 PAMILYANG MAGSASAKA,,9,0.03 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,PARTY LIST of PHILIPPINES,,34 CLICK PARTY,,3,0.01 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,PARTY LIST of PHILIPPINES,,35 ABANTE BISDAK,,0,0 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,PARTY LIST of PHILIPPINES,,36 MANILA TEACHERS,,20,0.07 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,PARTY LIST of PHILIPPINES,,37 PAMANA,,1,0 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,BANGUED,PARTY LIST of PHILIPPINES,,38 NANAY,,4,0.01 %
