region,province,city,position,rank,candidate_name,party,votes,percentage
CORDILLERA ADMINISTRATIVE REGION,ABRA,SALLAPADAN,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,1656,5.33 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,SALLAPADAN,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,74,0.24 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,SALLAPADAN,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,131,0.42 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,SALLAPADAN,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,70,0.23 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,SALLAPADAN,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,913,2.94 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,SALLAPADAN,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,121,0.39 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,SALLAPADAN,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,92,0.3 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,SALLAPADAN,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,98,0.32 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,SALLAPADAN,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,1598,5.14 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,SALLAPADAN,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,258,0.83 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,SALLAPADAN,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,1565,5.04 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,SALLAPADAN,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,632,2.03 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,SALLAPADAN,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,149,0.48 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,SALLAPADAN,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,48,0.15 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,SALLAPADAN,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,90,0.29 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,SALLAPADAN,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,131,0.42 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,SALLAPADAN,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,125,0.4 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,SALLAPADAN,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,1010,3.25 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,SALLAPADAN,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,46,0.15 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,SALLAPADAN,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,80,0.26 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,SALLAPADAN,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,100,0.32 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,SALLAPADAN,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,893,2.87 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,SALLAPADAN,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,75,0.24 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,SALLAPADAN,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,64,0.21 %
CORDILLERA ADMINISTRATIVE REGION,ABRA,SALLAPADAN,SENATOR of PHILIPPINES,25,"ESPIRITU, LUKE",PLM,192,0.62 %
