region,province,city,position,rank,candidate_name,party,votes,percentage
CORDILLERA ADMINISTRATIVE REGION,BENGUET,BUGUIAS,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,3973,2.88 %
CORDILLERA ADMINISTRATIVE REGION,BENGUET,BUGUIAS,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,170,0.12 %
CORDILLERA ADMINISTRATIVE REGION,BENGUET,BUGUIAS,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,235,0.17 %
CORDILLERA ADMINISTRATIVE REGION,BENGUET,BUGUIAS,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,137,0.1 %
CORDILLERA ADMINISTRATIVE REGION,BENGUET,BUGUIAS,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,3766,2.73 %
CORDILLERA ADMINISTRATIVE REGION,BENGUET,BUGUIAS,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,326,0.24 %
CORDILLERA ADMINISTRATIVE REGION,BENGUET,BUGUIAS,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,238,0.17 %
CORDILLERA ADMINISTRATIVE REGION,BENGUET,BUGUIAS,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,294,0.21 %
CORDILLERA ADMINISTRATIVE REGION,BENGUET,BUGUIAS,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,3418,2.48 %
CORDILLERA ADMINISTRATIVE REGION,BENGUET,BUGUIAS,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,1590,1.15 %
CORDILLERA ADMINISTRATIVE REGION,BENGUET,BUGUIAS,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,4311,3.13 %
CORDILLERA ADMINISTRATIVE REGION,BENGUET,BUGUIAS,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,3070,2.23 %
CORDILLERA ADMINISTRATIVE REGION,BENGUET,BUGUIAS,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,416,0.3 %
CORDILLERA ADMINISTRATIVE REGION,BENGUET,BUGUIAS,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,81,0.06 %
CORDILLERA ADMINISTRATIVE REGION,BENGUET,BUGUIAS,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,1149,0.83 %
CORDILLERA ADMINISTRATIVE REGION,BENGUET,BUGUIAS,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,486,0.35 %
CORDILLERA ADMINISTRATIVE REGION,BENGUET,BUGUIAS,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,545,0.4 %
CORDILLERA ADMINISTRATIVE REGION,BENGUET,BUGUIAS,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,5420,3.93 %
CORDILLERA ADMINISTRATIVE REGION,BENGUET,BUGUIAS,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,111,0.08 %
CORDILLERA ADMINISTRATIVE REGION,BENGUET,BUGUIAS,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,335,0.24 %
CORDILLERA ADMINISTRATIVE REGION,BENGUET,BUGUIAS,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,423,0.31 %
CORDILLERA ADMINISTRATIVE REGION,BENGUET,BUGUIAS,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,7009,5.08 %
CORDILLERA ADMINISTRATIVE REGION,BENGUET,BUGUIAS,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,108,0.08 %
CORDILLERA ADMINISTRATIVE REGION,BENGUET,BUGUIAS,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,146,0.11 %
CORDILLERA ADMINISTRATIVE REGION,BENGUET,BUGUIAS,SENATOR of PHILIPPINES,25,"ESPIRITU, LUKE",PLM,639,0.46 %
CORDILLERA ADMINISTRATIVE REGION,BENGUET,BUGUIAS,SENATOR of PHILIPPINES,26,"FLORANDA, MODY PISTON",MKBYN,111,0.08 %
CORDILLERA ADMINISTRATIVE REGION,BENGUET,BUGUIAS,SENATOR of PHILIPPINES,27,"GAMBOA, MARC LOUIE",IND,120,0.09 %
CORDILLERA ADMINISTRATIVE REGION,BENGUET,BUGUIAS,SENATOR of PHILIPPINES,28,"GO, BONG GO",PDPLBN,9147,6.63 %
CORDILLERA ADMINISTRATIVE REGION,BENGUET,BUGUIAS,SENATOR of PHILIPPINES,29,"GONZALES, NORBERTO",PDSP,228,0.17 %
CORDILLERA ADMINISTRATIVE REGION,BENGUET,BUGUIAS,SENATOR of PHILIPPINES,30,"HINLO, JAYVEE",PDPLBN,911,0.66 %
CORDILLERA ADMINISTRATIVE REGION,BENGUET,BUGUIAS,SENATOR of PHILIPPINES,31,"HONASAN, GRINGO",RP,2400,1.74 %
CORDILLERA ADMINISTRATIVE REGION,BENGUET,BUGUIAS,SENATOR of PHILIPPINES,32,"JOSE, RELLY JR.",KBL,118,0.09 %
CORDILLERA ADMINISTRATIVE REGION,BENGUET,BUGUIAS,SENATOR of PHILIPPINES,33,"LACSON, PING",IND,7127,5.17 %
