region,province,city,position,rank,candidate_name,party,votes,percentage
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,5723,2.09 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,926,0.34 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,1048,0.38 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,764,0.28 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,13474,4.93 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,1313,0.48 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,715,0.26 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,1288,0.47 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,10997,4.02 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,6549,2.39 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,8529,3.12 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,3532,1.29 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,1340,0.49 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,356,0.13 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,530,0.19 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,1402,0.51 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,1363,0.5 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,8266,3.02 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,493,0.18 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,1288,0.47 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,1556,0.57 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,17494,6.39 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,602,0.22 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,541,0.2 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,25,"ESPIRITU, LUKE",PLM,2248,0.82 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,26,"FLORANDA, MODY PISTON",MKBYN,469,0.17 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,27,"GAMBOA, MARC LOUIE",IND,590,0.22 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,28,"GO, BONG GO",PDPLBN,19971,7.3 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,29,"GONZALES, NORBERTO",PDSP,1317,0.48 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,30,"HINLO, JAYVEE",PDPLBN,4437,1.62 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,31,"HONASAN, GRINGO",RP,3072,1.12 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,32,"JOSE, RELLY JR.",KBL,449,0.16 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,33,"LACSON, PING",IND,9407,3.44 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,34,"LAMBINO, RAUL",PDPLBN,5526,2.02 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,35,"LAPID, LITO",NPC,11116,4.06 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,36,"LEE, MANOY WILBERT",AKSYON,478,0.17 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,37,"LIDASAN, AMIRAH",MKBYN,356,0.13 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,38,"MARCOLETA, RODANTE",IND,9342,3.41 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,39,"MARCOS, IMEE R.",NP,7835,2.86 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,40,"MARQUEZ, NORMAN",IND,1425,0.52 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,41,"MARTINEZ, ERIC",IND,864,0.32 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,42,"MATA, DOC MARITES",IND,2949,1.08 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,43,"MATULA, ATTY. SONNY",WPP,1317,0.48 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,44,"MAZA, LIZA",MKBYN,1340,0.49 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,45,"MENDOZA, HEIDI",IND,2849,1.04 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,46,"MONTEMAYOR, JOEY",IND,559,0.2 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,47,"MUSTAPHA, SUBAIR",WPP,223,0.08 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,48,"OLIVAR, JOSE JESSIE",IND,435,0.16 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,49,"ONG, DOC WILLIE",AKSYON,3784,1.38 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,50,"PACQUIAO, MANNY PACMAN",PFP,12680,4.64 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,51,"PANGILINAN, KIKO",LP,9157,3.35 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,52,"QUERUBIN, ARIEL PORFIRIO",NP,2539,0.93 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,53,"QUIBOLOY, APOLLO",IND,2981,1.09 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,54,"RAMOS, DANILO",MKBYN,1307,0.48 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,55,"REVILLAME, WILLIE WIL",IND,5723,2.09 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,56,"RODRIGUEZ, ATTY. VIC",IND,4749,1.74 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,57,"SAHIDULLA, NUR-ANA",IND,322,0.12 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,58,"SALVADOR, PHILLIP IPE",PDPLBN,6838,2.5 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,59,"SOTTO, TITO",NPC,8418,3.08 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,60,"TAPADO, MICHAEL BONGBONG",PM,517,0.19 %
NIR,NEGROS ORIENTAL,CITY OF BAIS,SENATOR of PHILIPPINES,61,"TOLENTINO, FRANCIS TOL",PFP,4280,1.56 %
