region,province,city,position,rank,candidate_name,party,votes,percentage
REGION I,ILOCOS NORTE,BANGUI,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,2613,4.95 %
REGION I,ILOCOS NORTE,BANGUI,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,64,0.12 %
REGION I,ILOCOS NORTE,BANGUI,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,55,0.1 %
REGION I,ILOCOS NORTE,BANGUI,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,100,0.19 %
REGION I,ILOCOS NORTE,BANGUI,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,2474,4.68 %
REGION I,ILOCOS NORTE,BANGUI,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,345,0.65 %
REGION I,ILOCOS NORTE,BANGUI,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,109,0.21 %
REGION I,ILOCOS NORTE,BANGUI,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,225,0.43 %
REGION I,ILOCOS NORTE,BANGUI,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,2061,3.9 %
REGION I,ILOCOS NORTE,BANGUI,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,271,0.51 %
REGION I,ILOCOS NORTE,BANGUI,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,2201,4.17 %
REGION I,ILOCOS NORTE,BANGUI,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,1319,2.5 %
REGION I,ILOCOS NORTE,BANGUI,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,405,0.77 %
REGION I,ILOCOS NORTE,BANGUI,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,24,0.05 %
REGION I,ILOCOS NORTE,BANGUI,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,53,0.1 %
REGION I,ILOCOS NORTE,BANGUI,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,353,0.67 %
REGION I,ILOCOS NORTE,BANGUI,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,295,0.56 %
REGION I,ILOCOS NORTE,BANGUI,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,2318,4.39 %
REGION I,ILOCOS NORTE,BANGUI,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,39,0.07 %
REGION I,ILOCOS NORTE,BANGUI,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,287,0.54 %
REGION I,ILOCOS NORTE,BANGUI,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,323,0.61 %
REGION I,ILOCOS NORTE,BANGUI,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,1241,2.35 %
REGION I,ILOCOS NORTE,BANGUI,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,47,0.09 %
REGION I,ILOCOS NORTE,BANGUI,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,64,0.12 %
REGION I,ILOCOS NORTE,BANGUI,SENATOR of PHILIPPINES,25,"ESPIRITU, LUKE",PLM,650,1.23 %
REGION I,ILOCOS NORTE,BANGUI,SENATOR of PHILIPPINES,26,"FLORANDA, MODY PISTON",MKBYN,70,0.13 %
REGION I,ILOCOS NORTE,BANGUI,SENATOR of PHILIPPINES,27,"GAMBOA, MARC LOUIE",IND,43,0.08 %
REGION I,ILOCOS NORTE,BANGUI,SENATOR of PHILIPPINES,28,"GO, BONG GO",PDPLBN,1672,3.16 %
REGION I,ILOCOS NORTE,BANGUI,SENATOR of PHILIPPINES,29,"GONZALES, NORBERTO",PDSP,110,0.21 %
REGION I,ILOCOS NORTE,BANGUI,SENATOR of PHILIPPINES,30,"HINLO, JAYVEE",PDPLBN,138,0.26 %
REGION I,ILOCOS NORTE,BANGUI,SENATOR of PHILIPPINES,31,"HONASAN, GRINGO",RP,868,1.64 %
