region,province,city,position,rank,candidate_name,party,votes,percentage
REGION I,PANGASINAN,SANTO TOMAS,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,3632,5.7 %
REGION I,PANGASINAN,SANTO TOMAS,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,58,0.09 %
REGION I,PANGASINAN,SANTO TOMAS,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,52,0.08 %
REGION I,PANGASINAN,SANTO TOMAS,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,77,0.12 %
REGION I,PANGASINAN,SANTO TOMAS,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,3223,5.06 %
REGION I,PANGASINAN,SANTO TOMAS,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,503,0.79 %
REGION I,PANGASINAN,SANTO TOMAS,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,49,0.08 %
REGION I,PANGASINAN,SANTO TOMAS,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,296,0.46 %
REGION I,PANGASINAN,SANTO TOMAS,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,2198,3.45 %
REGION I,PANGASINAN,SANTO TOMAS,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,364,0.57 %
REGION I,PANGASINAN,SANTO TOMAS,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,3938,6.18 %
REGION I,PANGASINAN,SANTO TOMAS,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,1340,2.1 %
REGION I,PANGASINAN,SANTO TOMAS,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,524,0.82 %
REGION I,PANGASINAN,SANTO TOMAS,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,30,0.05 %
REGION I,PANGASINAN,SANTO TOMAS,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,36,0.06 %
REGION I,PANGASINAN,SANTO TOMAS,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,485,0.76 %
REGION I,PANGASINAN,SANTO TOMAS,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,337,0.53 %
REGION I,PANGASINAN,SANTO TOMAS,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,2708,4.25 %
