region,province,city,position,rank,candidate_name,party,votes,percentage
REGION II,QUIRINO,AGLIPAY,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,5324,4.71 %
REGION II,QUIRINO,AGLIPAY,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,153,0.14 %
REGION II,QUIRINO,AGLIPAY,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,153,0.14 %
REGION II,QUIRINO,AGLIPAY,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,193,0.17 %
REGION II,QUIRINO,AGLIPAY,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,5215,4.61 %
REGION II,QUIRINO,AGLIPAY,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,496,0.44 %
REGION II,QUIRINO,AGLIPAY,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,238,0.21 %
REGION II,QUIRINO,AGLIPAY,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,419,0.37 %
REGION II,QUIRINO,AGLIPAY,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,4179,3.7 %
REGION II,QUIRINO,AGLIPAY,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,919,0.81 %
REGION II,QUIRINO,AGLIPAY,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,5488,4.85 %
REGION II,QUIRINO,AGLIPAY,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,3208,2.84 %
REGION II,QUIRINO,AGLIPAY,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,594,0.53 %
REGION II,QUIRINO,AGLIPAY,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,120,0.11 %
REGION II,QUIRINO,AGLIPAY,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,203,0.18 %
REGION II,QUIRINO,AGLIPAY,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,651,0.58 %
REGION II,QUIRINO,AGLIPAY,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,570,0.5 %
REGION II,QUIRINO,AGLIPAY,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,5117,4.53 %
REGION II,QUIRINO,AGLIPAY,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,107,0.09 %
REGION II,QUIRINO,AGLIPAY,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,433,0.38 %
REGION II,QUIRINO,AGLIPAY,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,497,0.44 %
REGION II,QUIRINO,AGLIPAY,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,4325,3.83 %
REGION II,QUIRINO,AGLIPAY,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,191,0.17 %
REGION II,QUIRINO,AGLIPAY,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,190,0.17 %
REGION II,QUIRINO,AGLIPAY,SENATOR of PHILIPPINES,25,"ESPIRITU, LUKE",PLM,837,0.74 %
REGION II,QUIRINO,AGLIPAY,SENATOR of PHILIPPINES,26,"FLORANDA, MODY PISTON",MKBYN,149,0.13 %
REGION II,QUIRINO,AGLIPAY,SENATOR of PHILIPPINES,27,"GAMBOA, MARC LOUIE",IND,142,0.13 %
REGION II,QUIRINO,AGLIPAY,SENATOR of PHILIPPINES,28,"GO, BONG GO",PDPLBN,6034,5.34 %
REGION II,QUIRINO,AGLIPAY,SENATOR of PHILIPPINES,29,"GONZALES, NORBERTO",PDSP,234,0.21 %
REGION II,QUIRINO,AGLIPAY,SENATOR of PHILIPPINES,30,"HINLO, JAYVEE",PDPLBN,436,0.39 %
REGION II,QUIRINO,AGLIPAY,SENATOR of PHILIPPINES,31,"HONASAN, GRINGO",RP,2055,1.82 %
REGION II,QUIRINO,AGLIPAY,SENATOR of PHILIPPINES,32,"JOSE, RELLY JR.",KBL,172,0.15 %
REGION II,QUIRINO,AGLIPAY,SENATOR of PHILIPPINES,33,"LACSON, PING",IND,5145,4.55 %
REGION II,QUIRINO,AGLIPAY,SENATOR of PHILIPPINES,34,"LAMBINO, RAUL",PDPLBN,563,0.5 %
REGION II,QUIRINO,AGLIPAY,SENATOR of PHILIPPINES,35,"LAPID, LITO",NPC,4589,4.06 %
REGION II,QUIRINO,AGLIPAY,SENATOR of PHILIPPINES,36,"LEE, MANOY WILBERT",AKSYON,123,0.11 %
REGION II,QUIRINO,AGLIPAY,SENATOR of PHILIPPINES,37,"LIDASAN, AMIRAH",MKBYN,82,0.07 %
REGION II,QUIRINO,AGLIPAY,SENATOR of PHILIPPINES,38,"MARCOLETA, RODANTE",IND,3589,3.17 %
