region,province,city,position,rank,candidate_name,party,votes,percentage
REGION II,QUIRINO,DIFFUN,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,11850,5.61 %
REGION II,QUIRINO,DIFFUN,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,268,0.13 %
REGION II,QUIRINO,DIFFUN,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,259,0.12 %
REGION II,QUIRINO,DIFFUN,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,298,0.14 %
REGION II,QUIRINO,DIFFUN,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,9505,4.5 %
REGION II,QUIRINO,DIFFUN,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,1044,0.49 %
REGION II,QUIRINO,DIFFUN,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,459,0.22 %
REGION II,QUIRINO,DIFFUN,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,724,0.34 %
REGION II,QUIRINO,DIFFUN,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,7461,3.53 %
REGION II,QUIRINO,DIFFUN,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,1653,0.78 %
REGION II,QUIRINO,DIFFUN,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,10028,4.75 %
REGION II,QUIRINO,DIFFUN,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,5594,2.65 %
REGION II,QUIRINO,DIFFUN,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,1202,0.57 %
REGION II,QUIRINO,DIFFUN,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,122,0.06 %
REGION II,QUIRINO,DIFFUN,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,353,0.17 %
REGION II,QUIRINO,DIFFUN,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,1267,0.6 %
REGION II,QUIRINO,DIFFUN,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,1083,0.51 %
