region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,5296,2.52 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,343,0.16 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,256,0.12 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,466,0.22 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,13829,6.58 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,3379,1.61 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,383,0.18 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,1738,0.83 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,5139,2.45 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,2388,1.14 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,5329,2.54 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,8731,4.16 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,3440,1.64 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,149,0.07 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,290,0.14 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,3663,1.74 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,2590,1.23 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,7043,3.35 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,390,0.19 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,1849,0.88 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,3463,1.65 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,6667,3.17 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,382,0.18 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,357,0.17 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,25,"ESPIRITU, LUKE",PLM,5211,2.48 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,26,"FLORANDA, MODY PISTON",MKBYN,308,0.15 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,27,"GAMBOA, MARC LOUIE",IND,214,0.1 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,28,"GO, BONG GO",PDPLBN,9160,4.36 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,29,"GONZALES, NORBERTO",PDSP,401,0.19 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,30,"HINLO, JAYVEE",PDPLBN,1305,0.62 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,31,"HONASAN, GRINGO",RP,3091,1.47 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,32,"JOSE, RELLY JR.",KBL,162,0.08 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,33,"LACSON, PING",IND,8293,3.95 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,34,"LAMBINO, RAUL",PDPLBN,1494,0.71 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,35,"LAPID, LITO",NPC,6958,3.31 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,36,"LEE, MANOY WILBERT",AKSYON,317,0.15 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,37,"LIDASAN, AMIRAH",MKBYN,280,0.13 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,38,"MARCOLETA, RODANTE",IND,4939,2.35 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,39,"MARCOS, IMEE R.",NP,5077,2.42 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,40,"MARQUEZ, NORMAN",IND,705,0.34 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,41,"MARTINEZ, ERIC",IND,372,0.18 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,42,"MATA, DOC MARITES",IND,1287,0.61 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,43,"MATULA, ATTY. SONNY",WPP,3051,1.45 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,44,"MAZA, LIZA",MKBYN,3508,1.67 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,45,"MENDOZA, HEIDI",IND,6638,3.16 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,46,"MONTEMAYOR, JOEY",IND,406,0.19 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,47,"MUSTAPHA, SUBAIR",WPP,105,0.05 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,48,"OLIVAR, JOSE JESSIE",IND,166,0.08 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,49,"ONG, DOC WILLIE",AKSYON,4219,2.01 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,50,"PACQUIAO, MANNY PACMAN",PFP,4439,2.11 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,51,"PANGILINAN, KIKO",LP,10593,5.04 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,52,"QUERUBIN, ARIEL PORFIRIO",NP,1506,0.72 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,53,"QUIBOLOY, APOLLO",IND,990,0.47 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,54,"RAMOS, DANILO",MKBYN,3388,1.61 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,55,"REVILLAME, WILLIE WIL",IND,4164,1.98 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,56,"RODRIGUEZ, ATTY. VIC",IND,2156,1.03 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,57,"SAHIDULLA, NUR-ANA",IND,114,0.05 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,58,"SALVADOR, PHILLIP IPE",PDPLBN,2581,1.23 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,59,"SOTTO, TITO",NPC,8055,3.84 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,60,"TAPADO, MICHAEL BONGBONG",PM,176,0.08 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,61,"TOLENTINO, FRANCIS TOL",PFP,3940,1.88 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,62,"TULFO, BEN BITAG",IND,7247,3.45 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,63,"TULFO, ERWIN",LAKAS,9651,4.6 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,64,"VALBUENA, MAR MANIBELA",IND,262,0.12 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,65,"VERCELES, LEANDRO",IND,110,0.05 %
REGION IV-A,LAGUNA,ALAMINOS,SENATOR of PHILIPPINES,66,"VILLAR, CAMILLE",NP,5432,2.59 %
REGION IV-A,LAGUNA,ALAMINOS,PARTY LIST of PHILIPPINES,,1 4PS,,495,2.13 %
REGION IV-A,LAGUNA,ALAMINOS,PARTY LIST of PHILIPPINES,,2 PPP,,38,0.16 %
REGION IV-A,LAGUNA,ALAMINOS,PARTY LIST of PHILIPPINES,,3 FPJ PANDAY BAYANIHAN,,375,1.62 %
REGION IV-A,LAGUNA,ALAMINOS,PARTY LIST of PHILIPPINES,,4 KABATAAN,,238,1.03 %
REGION IV-A,LAGUNA,ALAMINOS,PARTY LIST of PHILIPPINES,,5 DUTERTE YOUTH,,704,3.03 %
REGION IV-A,LAGUNA,ALAMINOS,PARTY LIST of PHILIPPINES,,6 ML,,223,0.96 %
REGION IV-A,LAGUNA,ALAMINOS,PARTY LIST of PHILIPPINES,,7 PBBM,,75,0.32 %
REGION IV-A,LAGUNA,ALAMINOS,PARTY LIST of PHILIPPINES,,8 P3PWD,,46,0.2 %
REGION IV-A,LAGUNA,ALAMINOS,PARTY LIST of PHILIPPINES,,9 MURANG KURYENTE,,117,0.5 %
REGION IV-A,LAGUNA,ALAMINOS,PARTY LIST of PHILIPPINES,,10 BICOL SARO,,166,0.72 %
REGION IV-A,LAGUNA,ALAMINOS,PARTY LIST of PHILIPPINES,,11 IPATUPAD,,50,0.22 %
REGION IV-A,LAGUNA,ALAMINOS,PARTY LIST of PHILIPPINES,,12 PATROL,,15,0.06 %
REGION IV-A,LAGUNA,ALAMINOS,PARTY LIST of PHILIPPINES,,13 JUAN PINOY,,2,0.01 %
REGION IV-A,LAGUNA,ALAMINOS,PARTY LIST of PHILIPPINES,,14 ARTE,,6,0.03 %
REGION IV-A,LAGUNA,ALAMINOS,PARTY LIST of PHILIPPINES,,15 WIFI,,58,0.25 %
REGION IV-A,LAGUNA,ALAMINOS,PARTY LIST of PHILIPPINES,,16 MAAGAP,,13,0.06 %
REGION IV-A,LAGUNA,ALAMINOS,PARTY LIST of PHILIPPINES,,17 UNITED SENIOR CITIZENS,,269,1.16 %
REGION IV-A,LAGUNA,ALAMINOS,PARTY LIST of PHILIPPINES,,18 EPANAW SAMBAYANAN,,50,0.22 %
REGION IV-A,LAGUNA,ALAMINOS,PARTY LIST of PHILIPPINES,,19 AKO PADAYON,,3,0.01 %
REGION IV-A,LAGUNA,ALAMINOS,PARTY LIST of PHILIPPINES,,20 TUCP,,16,0.07 %
REGION IV-A,LAGUNA,ALAMINOS,PARTY LIST of PHILIPPINES,,21 ACT TEACHERS,,269,1.16 %
REGION IV-A,LAGUNA,ALAMINOS,PARTY LIST of PHILIPPINES,,22 1PACMAN,,44,0.19 %
REGION IV-A,LAGUNA,ALAMINOS,PARTY LIST of PHILIPPINES,,23 TGP,,3228,13.91 %
REGION IV-A,LAGUNA,ALAMINOS,PARTY LIST of PHILIPPINES,,24 DUMPER PTDA,,6,0.03 %
REGION IV-A,LAGUNA,ALAMINOS,PARTY LIST of PHILIPPINES,,25 ANAKALUSUGAN,,219,0.94 %
REGION IV-A,LAGUNA,ALAMINOS,PARTY LIST of PHILIPPINES,,26 AKSYON DAPAT,,37,0.16 %
REGION IV-A,LAGUNA,ALAMINOS,PARTY LIST of PHILIPPINES,,27 BHW,,66,0.28 %
REGION IV-A,LAGUNA,ALAMINOS,PARTY LIST of PHILIPPINES,,28 SULONG DIGNIDAD,,4,0.02 %
REGION IV-A,LAGUNA,ALAMINOS,PARTY LIST of PHILIPPINES,,29 BATANG QUIAPO,,51,0.22 %
REGION IV-A,LAGUNA,ALAMINOS,PARTY LIST of PHILIPPINES,,30 PBA,,17,0.07 %
