region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,7940,3.04 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,518,0.2 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,392,0.15 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,450,0.17 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,17472,6.69 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,2079,0.8 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,614,0.24 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,1382,0.53 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,7993,3.06 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,2135,0.82 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,8623,3.3 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,11319,4.33 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,2659,1.02 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,250,0.1 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,377,0.14 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,3171,1.21 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,2998,1.15 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,11433,4.38 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,405,0.16 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,1515,0.58 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,2837,1.09 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,5845,2.24 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,444,0.17 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,493,0.19 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,25,"ESPIRITU, LUKE",PLM,5110,1.96 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,26,"FLORANDA, MODY PISTON",MKBYN,514,0.2 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,27,"GAMBOA, MARC LOUIE",IND,308,0.12 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,28,"GO, BONG GO",PDPLBN,7826,3 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,29,"GONZALES, NORBERTO",PDSP,1066,0.41 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,30,"HINLO, JAYVEE",PDPLBN,1022,0.39 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,31,"HONASAN, GRINGO",RP,4238,1.62 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,32,"JOSE, RELLY JR.",KBL,327,0.13 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,33,"LACSON, PING",IND,13078,5.01 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,34,"LAMBINO, RAUL",PDPLBN,1121,0.43 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,35,"LAPID, LITO",NPC,10845,4.15 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,36,"LEE, MANOY WILBERT",AKSYON,511,0.2 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,37,"LIDASAN, AMIRAH",MKBYN,266,0.1 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,38,"MARCOLETA, RODANTE",IND,4240,1.62 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,39,"MARCOS, IMEE R.",NP,9491,3.63 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,40,"MARQUEZ, NORMAN",IND,676,0.26 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,41,"MARTINEZ, ERIC",IND,491,0.19 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,42,"MATA, DOC MARITES",IND,901,0.34 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,43,"MATULA, ATTY. SONNY",WPP,1914,0.73 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,44,"MAZA, LIZA",MKBYN,2081,0.8 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,45,"MENDOZA, HEIDI",IND,8785,3.36 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,46,"MONTEMAYOR, JOEY",IND,405,0.16 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,47,"MUSTAPHA, SUBAIR",WPP,155,0.06 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,48,"OLIVAR, JOSE JESSIE",IND,283,0.11 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,49,"ONG, DOC WILLIE",AKSYON,4058,1.55 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,50,"PACQUIAO, MANNY PACMAN",PFP,7646,2.93 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,51,"PANGILINAN, KIKO",LP,14285,5.47 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,52,"QUERUBIN, ARIEL PORFIRIO",NP,2946,1.13 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,53,"QUIBOLOY, APOLLO",IND,808,0.31 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,54,"RAMOS, DANILO",MKBYN,2852,1.09 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,55,"REVILLAME, WILLIE WIL",IND,6626,2.54 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,56,"RODRIGUEZ, ATTY. VIC",IND,1645,0.63 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,57,"SAHIDULLA, NUR-ANA",IND,164,0.06 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,58,"SALVADOR, PHILLIP IPE",PDPLBN,3160,1.21 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,59,"SOTTO, TITO",NPC,10645,4.07 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,60,"TAPADO, MICHAEL BONGBONG",PM,326,0.12 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,61,"TOLENTINO, FRANCIS TOL",PFP,4436,1.7 %
REGION IV-A,QUEZON,CATANAUAN,SENATOR of PHILIPPINES,62,"TULFO, BEN BITAG",IND,9366,3.59 %
