region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,6893,2.5 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,478,0.17 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,350,0.13 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,600,0.22 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,19042,6.92 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,3651,1.33 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,625,0.23 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,2110,0.77 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,7074,2.57 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,2669,0.97 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,7302,2.65 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,11536,4.19 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,3848,1.4 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,213,0.08 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,373,0.14 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,4330,1.57 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,3046,1.11 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,10081,3.66 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,622,0.23 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,1819,0.66 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,3805,1.38 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,7872,2.86 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,500,0.18 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,615,0.22 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,25,"ESPIRITU, LUKE",PLM,6459,2.35 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,26,"FLORANDA, MODY PISTON",MKBYN,406,0.15 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,27,"GAMBOA, MARC LOUIE",IND,362,0.13 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,28,"GO, BONG GO",PDPLBN,10398,3.78 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,29,"GONZALES, NORBERTO",PDSP,533,0.19 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,30,"HINLO, JAYVEE",PDPLBN,1223,0.44 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,31,"HONASAN, GRINGO",RP,3920,1.42 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,32,"JOSE, RELLY JR.",KBL,358,0.13 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,33,"LACSON, PING",IND,12081,4.39 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,34,"LAMBINO, RAUL",PDPLBN,1435,0.52 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,35,"LAPID, LITO",NPC,9564,3.48 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,36,"LEE, MANOY WILBERT",AKSYON,319,0.12 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,37,"LIDASAN, AMIRAH",MKBYN,347,0.13 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,38,"MARCOLETA, RODANTE",IND,6332,2.3 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,39,"MARCOS, IMEE R.",NP,9526,3.46 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,40,"MARQUEZ, NORMAN",IND,794,0.29 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,41,"MARTINEZ, ERIC",IND,811,0.29 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,42,"MATA, DOC MARITES",IND,1346,0.49 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,43,"MATULA, ATTY. SONNY",WPP,3270,1.19 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,44,"MAZA, LIZA",MKBYN,3440,1.25 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,45,"MENDOZA, HEIDI",IND,14383,5.23 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,46,"MONTEMAYOR, JOEY",IND,429,0.16 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,47,"MUSTAPHA, SUBAIR",WPP,169,0.06 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,48,"OLIVAR, JOSE JESSIE",IND,263,0.1 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,49,"ONG, DOC WILLIE",AKSYON,5970,2.17 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,50,"PACQUIAO, MANNY PACMAN",PFP,7082,2.57 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,51,"PANGILINAN, KIKO",LP,13891,5.05 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,52,"QUERUBIN, ARIEL PORFIRIO",NP,1880,0.68 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,53,"QUIBOLOY, APOLLO",IND,1047,0.38 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,54,"RAMOS, DANILO",MKBYN,3802,1.38 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,55,"REVILLAME, WILLIE WIL",IND,5657,2.06 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,56,"RODRIGUEZ, ATTY. VIC",IND,2269,0.82 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,57,"SAHIDULLA, NUR-ANA",IND,191,0.07 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,58,"SALVADOR, PHILLIP IPE",PDPLBN,3008,1.09 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,59,"SOTTO, TITO",NPC,10973,3.99 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,60,"TAPADO, MICHAEL BONGBONG",PM,268,0.1 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,61,"TOLENTINO, FRANCIS TOL",PFP,4150,1.51 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,62,"TULFO, BEN BITAG",IND,8908,3.24 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,63,"TULFO, ERWIN",LAKAS,12066,4.38 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,64,"VALBUENA, MAR MANIBELA",IND,350,0.13 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,65,"VERCELES, LEANDRO",IND,138,0.05 %
REGION IV-A,QUEZON,PAGBILAO,SENATOR of PHILIPPINES,66,"VILLAR, CAMILLE",NP,5938,2.16 %
REGION IV-A,QUEZON,PAGBILAO,PARTY LIST of PHILIPPINES,,1 4PS,,650,2.02 %
REGION IV-A,QUEZON,PAGBILAO,PARTY LIST of PHILIPPINES,,2 PPP,,17,0.05 %
REGION IV-A,QUEZON,PAGBILAO,PARTY LIST of PHILIPPINES,,3 FPJ PANDAY BAYANIHAN,,180,0.56 %
REGION IV-A,QUEZON,PAGBILAO,PARTY LIST of PHILIPPINES,,4 KABATAAN,,360,1.12 %
REGION IV-A,QUEZON,PAGBILAO,PARTY LIST of PHILIPPINES,,5 DUTERTE YOUTH,,504,1.57 %
REGION IV-A,QUEZON,PAGBILAO,PARTY LIST of PHILIPPINES,,6 ML,,334,1.04 %
REGION IV-A,QUEZON,PAGBILAO,PARTY LIST of PHILIPPINES,,7 PBBM,,55,0.17 %
REGION IV-A,QUEZON,PAGBILAO,PARTY LIST of PHILIPPINES,,8 P3PWD,,32,0.1 %
REGION IV-A,QUEZON,PAGBILAO,PARTY LIST of PHILIPPINES,,9 MURANG KURYENTE,,97,0.3 %
REGION IV-A,QUEZON,PAGBILAO,PARTY LIST of PHILIPPINES,,10 BICOL SARO,,85,0.26 %
