region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,1505,2.71 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,92,0.17 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,48,0.09 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,114,0.21 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,4047,7.3 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,762,1.37 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,83,0.15 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,361,0.65 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,1692,3.05 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,631,1.14 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,1888,3.4 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,1875,3.38 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,813,1.47 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,24,0.04 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,63,0.11 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,1379,2.49 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,658,1.19 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,1849,3.33 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,75,0.14 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,371,0.67 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,849,1.53 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,1430,2.58 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,90,0.16 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,63,0.11 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,25,"ESPIRITU, LUKE",PLM,1278,2.3 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,26,"FLORANDA, MODY PISTON",MKBYN,60,0.11 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,27,"GAMBOA, MARC LOUIE",IND,39,0.07 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,28,"GO, BONG GO",PDPLBN,2199,3.96 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,29,"GONZALES, NORBERTO",PDSP,76,0.14 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,30,"HINLO, JAYVEE",PDPLBN,268,0.48 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,31,"HONASAN, GRINGO",RP,730,1.32 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,32,"JOSE, RELLY JR.",KBL,27,0.05 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,33,"LACSON, PING",IND,2157,3.89 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,34,"LAMBINO, RAUL",PDPLBN,319,0.58 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,35,"LAPID, LITO",NPC,1816,3.27 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,36,"LEE, MANOY WILBERT",AKSYON,69,0.12 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,37,"LIDASAN, AMIRAH",MKBYN,59,0.11 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,38,"MARCOLETA, RODANTE",IND,1042,1.88 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,39,"MARCOS, IMEE R.",NP,2100,3.79 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,40,"MARQUEZ, NORMAN",IND,125,0.23 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,41,"MARTINEZ, ERIC",IND,49,0.09 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,42,"MATA, DOC MARITES",IND,282,0.51 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,43,"MATULA, ATTY. SONNY",WPP,715,1.29 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,44,"MAZA, LIZA",MKBYN,729,1.31 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,45,"MENDOZA, HEIDI",IND,2742,4.94 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,46,"MONTEMAYOR, JOEY",IND,57,0.1 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,47,"MUSTAPHA, SUBAIR",WPP,26,0.05 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,48,"OLIVAR, JOSE JESSIE",IND,32,0.06 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,49,"ONG, DOC WILLIE",AKSYON,1000,1.8 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,50,"PACQUIAO, MANNY PACMAN",PFP,1274,2.3 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,51,"PANGILINAN, KIKO",LP,2981,5.37 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,52,"QUERUBIN, ARIEL PORFIRIO",NP,370,0.67 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,53,"QUIBOLOY, APOLLO",IND,212,0.38 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,54,"RAMOS, DANILO",MKBYN,784,1.41 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,55,"REVILLAME, WILLIE WIL",IND,1026,1.85 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,56,"RODRIGUEZ, ATTY. VIC",IND,471,0.85 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,57,"SAHIDULLA, NUR-ANA",IND,27,0.05 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,58,"SALVADOR, PHILLIP IPE",PDPLBN,531,0.96 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,59,"SOTTO, TITO",NPC,2235,4.03 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,60,"TAPADO, MICHAEL BONGBONG",PM,54,0.1 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,61,"TOLENTINO, FRANCIS TOL",PFP,1086,1.96 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,62,"TULFO, BEN BITAG",IND,1626,2.93 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,63,"TULFO, ERWIN",LAKAS,2379,4.29 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,64,"VALBUENA, MAR MANIBELA",IND,67,0.12 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,65,"VERCELES, LEANDRO",IND,18,0.03 %
REGION IV-A,QUEZON,SAMPALOC,SENATOR of PHILIPPINES,66,"VILLAR, CAMILLE",NP,1577,2.84 %
REGION IV-A,QUEZON,SAMPALOC,PARTY LIST of PHILIPPINES,,1 4PS,,103,1.56 %
REGION IV-A,QUEZON,SAMPALOC,PARTY LIST of PHILIPPINES,,2 PPP,,2,0.03 %
REGION IV-A,QUEZON,SAMPALOC,PARTY LIST of PHILIPPINES,,3 FPJ PANDAY BAYANIHAN,,20,0.3 %
REGION IV-A,QUEZON,SAMPALOC,PARTY LIST of PHILIPPINES,,4 KABATAAN,,66,1 %
REGION IV-A,QUEZON,SAMPALOC,PARTY LIST of PHILIPPINES,,5 DUTERTE YOUTH,,89,1.35 %
REGION IV-A,QUEZON,SAMPALOC,PARTY LIST of PHILIPPINES,,6 ML,,90,1.36 %
REGION IV-A,QUEZON,SAMPALOC,PARTY LIST of PHILIPPINES,,7 PBBM,,7,0.11 %
REGION IV-A,QUEZON,SAMPALOC,PARTY LIST of PHILIPPINES,,8 P3PWD,,11,0.17 %
REGION IV-A,QUEZON,SAMPALOC,PARTY LIST of PHILIPPINES,,9 MURANG KURYENTE,,10,0.15 %
REGION IV-A,QUEZON,SAMPALOC,PARTY LIST of PHILIPPINES,,10 BICOL SARO,,14,0.21 %
REGION IV-A,QUEZON,SAMPALOC,PARTY LIST of PHILIPPINES,,11 IPATUPAD,,1,0.02 %
