region,province,city,position,rank,candidate_name,party,votes,percentage
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,2907,4.02 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,144,0.2 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,177,0.24 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,110,0.15 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,1509,2.09 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,152,0.21 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,146,0.2 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,210,0.29 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,3320,4.59 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,2515,3.48 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,3031,4.19 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,676,0.94 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,143,0.2 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,89,0.12 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,153,0.21 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,145,0.2 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,152,0.21 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,2159,2.99 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,90,0.12 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,173,0.24 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,168,0.23 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,5037,6.97 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,99,0.14 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,104,0.14 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,25,"ESPIRITU, LUKE",PLM,248,0.34 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,26,"FLORANDA, MODY PISTON",MKBYN,82,0.11 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,27,"GAMBOA, MARC LOUIE",IND,102,0.14 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,28,"GO, BONG GO",PDPLBN,6312,8.74 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,29,"GONZALES, NORBERTO",PDSP,116,0.16 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,30,"HINLO, JAYVEE",PDPLBN,1967,2.72 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,31,"HONASAN, GRINGO",RP,461,0.64 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,32,"JOSE, RELLY JR.",KBL,97,0.13 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,33,"LACSON, PING",IND,2212,3.06 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,34,"LAMBINO, RAUL",PDPLBN,2039,2.82 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,35,"LAPID, LITO",NPC,3294,4.56 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,36,"LEE, MANOY WILBERT",AKSYON,80,0.11 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,37,"LIDASAN, AMIRAH",MKBYN,48,0.07 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,38,"MARCOLETA, RODANTE",IND,3550,4.91 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,39,"MARCOS, IMEE R.",NP,2627,3.64 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,40,"MARQUEZ, NORMAN",IND,132,0.18 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,41,"MARTINEZ, ERIC",IND,186,0.26 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,42,"MATA, DOC MARITES",IND,1251,1.73 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,43,"MATULA, ATTY. SONNY",WPP,175,0.24 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,44,"MAZA, LIZA",MKBYN,120,0.17 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,45,"MENDOZA, HEIDI",IND,329,0.46 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,46,"MONTEMAYOR, JOEY",IND,91,0.13 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,47,"MUSTAPHA, SUBAIR",WPP,64,0.09 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,48,"OLIVAR, JOSE JESSIE",IND,97,0.13 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,49,"ONG, DOC WILLIE",AKSYON,596,0.82 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,50,"PACQUIAO, MANNY PACMAN",PFP,1533,2.12 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,51,"PANGILINAN, KIKO",LP,1076,1.49 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,52,"QUERUBIN, ARIEL PORFIRIO",NP,474,0.66 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,53,"QUIBOLOY, APOLLO",IND,1701,2.35 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,54,"RAMOS, DANILO",MKBYN,168,0.23 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,55,"REVILLAME, WILLIE WIL",IND,1326,1.84 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,56,"RODRIGUEZ, ATTY. VIC",IND,1923,2.66 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,57,"SAHIDULLA, NUR-ANA",IND,50,0.07 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,58,"SALVADOR, PHILLIP IPE",PDPLBN,2561,3.54 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,59,"SOTTO, TITO",NPC,2873,3.98 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,60,"TAPADO, MICHAEL BONGBONG",PM,125,0.17 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,61,"TOLENTINO, FRANCIS TOL",PFP,1657,2.29 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,62,"TULFO, BEN BITAG",IND,1850,2.56 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,63,"TULFO, ERWIN",LAKAS,2784,3.85 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,64,"VALBUENA, MAR MANIBELA",IND,102,0.14 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,65,"VERCELES, LEANDRO",IND,46,0.06 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,SENATOR of PHILIPPINES,66,"VILLAR, CAMILLE",NP,2323,3.21 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,PARTY LIST of PHILIPPINES,,1 4PS,,225,3.13 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,PARTY LIST of PHILIPPINES,,2 PPP,,40,0.56 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,PARTY LIST of PHILIPPINES,,3 FPJ PANDAY BAYANIHAN,,13,0.18 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,PARTY LIST of PHILIPPINES,,4 KABATAAN,,21,0.29 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,PARTY LIST of PHILIPPINES,,5 DUTERTE YOUTH,,320,4.45 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,PARTY LIST of PHILIPPINES,,6 ML,,13,0.18 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,PARTY LIST of PHILIPPINES,,7 PBBM,,11,0.15 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,PARTY LIST of PHILIPPINES,,8 P3PWD,,11,0.15 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,PARTY LIST of PHILIPPINES,,9 MURANG KURYENTE,,11,0.15 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,PARTY LIST of PHILIPPINES,,10 BICOL SARO,,7,0.1 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,PARTY LIST of PHILIPPINES,,11 IPATUPAD,,6,0.08 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,PARTY LIST of PHILIPPINES,,12 PATROL,,3,0.04 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,PARTY LIST of PHILIPPINES,,13 JUAN PINOY,,3,0.04 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,PARTY LIST of PHILIPPINES,,14 ARTE,,0,0 %
REGION IX,ZAMBOANGA DEL SUR,TIGBAO,PARTY LIST of PHILIPPINES,,15 WIFI,,10,0.14 %
