region,province,city,position,rank,candidate_name,party,votes,percentage
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,11627,2.95 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,821,0.21 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,456,0.12 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,838,0.21 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,34182,8.68 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,5442,1.38 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,605,0.15 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,2849,0.72 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,14469,3.68 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,2447,0.62 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,11024,2.8 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,10488,2.66 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,6197,1.57 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,293,0.07 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,524,0.13 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,6772,1.72 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,5771,1.47 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,16592,4.21 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,717,0.18 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,2819,0.72 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,6222,1.58 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,5908,1.5 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,692,0.18 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,2944,0.75 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,25,"ESPIRITU, LUKE",PLM,13267,3.37 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,26,"FLORANDA, MODY PISTON",MKBYN,466,0.12 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,27,"GAMBOA, MARC LOUIE",IND,696,0.18 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,28,"GO, BONG GO",PDPLBN,13379,3.4 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,29,"GONZALES, NORBERTO",PDSP,718,0.18 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,30,"HINLO, JAYVEE",PDPLBN,1216,0.31 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,31,"HONASAN, GRINGO",RP,6257,1.59 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,32,"JOSE, RELLY JR.",KBL,421,0.11 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,33,"LACSON, PING",IND,15057,3.82 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,34,"LAMBINO, RAUL",PDPLBN,1306,0.33 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,35,"LAPID, LITO",NPC,16143,4.1 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,36,"LEE, MANOY WILBERT",AKSYON,582,0.15 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,37,"LIDASAN, AMIRAH",MKBYN,488,0.12 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,38,"MARCOLETA, RODANTE",IND,5678,1.44 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,39,"MARCOS, IMEE R.",NP,6986,1.77 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,40,"MARQUEZ, NORMAN",IND,1044,0.27 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,41,"MARTINEZ, ERIC",IND,822,0.21 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,42,"MATA, DOC MARITES",IND,1459,0.37 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,43,"MATULA, ATTY. SONNY",WPP,6050,1.54 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,44,"MAZA, LIZA",MKBYN,5616,1.43 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,45,"MENDOZA, HEIDI",IND,13360,3.39 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,46,"MONTEMAYOR, JOEY",IND,494,0.13 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,47,"MUSTAPHA, SUBAIR",WPP,210,0.05 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,48,"OLIVAR, JOSE JESSIE",IND,716,0.18 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,49,"ONG, DOC WILLIE",AKSYON,5949,1.51 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,50,"PACQUIAO, MANNY PACMAN",PFP,7363,1.87 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,51,"PANGILINAN, KIKO",LP,25895,6.58 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,52,"QUERUBIN, ARIEL PORFIRIO",NP,3507,0.89 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,53,"QUIBOLOY, APOLLO",IND,979,0.25 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,54,"RAMOS, DANILO",MKBYN,5806,1.47 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,55,"REVILLAME, WILLIE WIL",IND,6364,1.62 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,56,"RODRIGUEZ, ATTY. VIC",IND,3224,0.82 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,57,"SAHIDULLA, NUR-ANA",IND,230,0.06 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,58,"SALVADOR, PHILLIP IPE",PDPLBN,2389,0.61 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,59,"SOTTO, TITO",NPC,15091,3.83 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,60,"TAPADO, MICHAEL BONGBONG",PM,281,0.07 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,61,"TOLENTINO, FRANCIS TOL",PFP,8344,2.12 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,62,"TULFO, BEN BITAG",IND,13733,3.49 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,63,"TULFO, ERWIN",LAKAS,20286,5.15 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,64,"VALBUENA, MAR MANIBELA",IND,447,0.11 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,65,"VERCELES, LEANDRO",IND,199,0.05 %
REGION V,CAMARINES SUR,CITY OF IRIGA,SENATOR of PHILIPPINES,66,"VILLAR, CAMILLE",NP,10486,2.66 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,1 4PS,,1130,2.3 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,2 PPP,,31,0.06 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,3 FPJ PANDAY BAYANIHAN,,118,0.24 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,4 KABATAAN,,248,0.51 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,5 DUTERTE YOUTH,,409,0.83 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,6 ML,,17197,35.03 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,7 PBBM,,66,0.13 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,8 P3PWD,,71,0.14 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,9 MURANG KURYENTE,,77,0.16 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,10 BICOL SARO,,11643,23.72 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,11 IPATUPAD,,62,0.13 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,12 PATROL,,20,0.04 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,13 JUAN PINOY,,8,0.02 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,14 ARTE,,10,0.02 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,15 WIFI,,37,0.08 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,16 MAAGAP,,20,0.04 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,17 UNITED SENIOR CITIZENS,,335,0.68 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,18 EPANAW SAMBAYANAN,,39,0.08 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,19 AKO PADAYON,,12,0.02 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,20 TUCP,,5,0.01 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,21 ACT TEACHERS,,331,0.67 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,22 1PACMAN,,610,1.24 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,23 TGP,,280,0.57 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,24 DUMPER PTDA,,3,0.01 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,25 ANAKALUSUGAN,,8,0.02 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,26 AKSYON DAPAT,,13,0.03 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,27 BHW,,145,0.3 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,28 SULONG DIGNIDAD,,3,0.01 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,29 BATANG QUIAPO,,24,0.05 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,30 PBA,,8,0.02 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,31 GILAS,,13,0.03 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,32 AKO ILOCANO AKO,,33,0.07 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,33 PAMILYANG MAGSASAKA,,203,0.41 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,34 CLICK PARTY,,6,0.01 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,35 ABANTE BISDAK,,6,0.01 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,36 MANILA TEACHERS,,493,1 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,37 PAMANA,,5,0.01 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,38 NANAY,,29,0.06 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,39 KM NGAYON NA,,2,0 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,40 BABAE AKO,,138,0.28 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,41 ARISE,,12,0.02 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,42 MAGDALO,,53,0.11 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,43 APEC,,5,0.01 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,44 MAGBUBUKID,,20,0.04 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,45 SSS-GSIS PENSYONADO,,55,0.11 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,46 GABRIELA,,113,0.23 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,47 TINGOG,,9,0.02 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,48 APAT-DAPAT,,12,0.02 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,49 AHON MAHIRAP,,24,0.05 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,50 UGB,,106,0.22 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,51 AKBAYAN,,1962,4 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,52 AGIMAT,,25,0.05 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,53 PHILRECA,,268,0.55 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,54 KAPUSO PM,,12,0.02 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,55 ILOCANO DEFENDERS,,14,0.03 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,56 1-RIDER PARTY-LIST,,311,0.63 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,57 TICTOK,,3,0.01 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,59 BAYAN MUNA,,54,0.11 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,60 ANG PROBINSIYANO,,76,0.15 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,61 BANAT,,3,0.01 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,62 SBP,,5,0.01 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,63 BUHAY,,10,0.02 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,64 TULUNGAN TAYO,,15,0.03 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,65 SAGIP,,18,0.04 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,66 BTS BAYANING TSUPER,,8,0.02 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,67 VENDORS,,16,0.03 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,68 ACT-CIS,,1020,2.08 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,69 AKTIBONG KAAGAPAY,,5,0.01 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,70 ASENSO PINOY,,6,0.01 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,71 SOLO PARENTS,,63,0.13 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,72 ANG KOMADRONA,,12,0.02 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,73 PROMDI,,2,0 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,74 PUSONG PINOY,,6,0.01 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,75 KUSUG TAUSUG,,0,0 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,76 DAMAYANG FILIPINO,,6,0.01 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,77 MPBL,,15,0.03 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,78 ANGAT,,53,0.11 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,79 KALINGA,,122,0.25 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,80 BOSES PARTY-LIST,,47,0.1 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,81 ARANGKADA PILIPINO,,48,0.1 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,82 AANGAT TAYO,,109,0.22 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,83 OFW,,141,0.29 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,84 BIDA KATAGUMPAY,,4,0.01 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,85 KAMANGGAGAWA,,306,0.62 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,86 BFF,,4,0.01 %
REGION V,CAMARINES SUR,CITY OF IRIGA,PARTY LIST of PHILIPPINES,,87 BUNYOG,,87,0.18 %
