region,province,city,position,rank,candidate_name,party,votes,percentage
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,3790,2.96 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,360,0.28 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,294,0.23 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,316,0.25 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,7296,5.7 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,917,0.72 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,363,0.28 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,618,0.48 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,5173,4.04 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,907,0.71 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,5671,4.43 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,1940,1.52 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,1092,0.85 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,215,0.17 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,334,0.26 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,995,0.78 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,1369,1.07 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,4937,3.86 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,244,0.19 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,630,0.49 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,1116,0.87 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,2832,2.21 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,405,0.32 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,404,0.32 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,25,"ESPIRITU, LUKE",PLM,1698,1.33 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,26,"FLORANDA, MODY PISTON",MKBYN,335,0.26 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,27,"GAMBOA, MARC LOUIE",IND,266,0.21 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,28,"GO, BONG GO",PDPLBN,4971,3.88 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,29,"GONZALES, NORBERTO",PDSP,391,0.31 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,30,"HINLO, JAYVEE",PDPLBN,562,0.44 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,31,"HONASAN, GRINGO",RP,2541,1.99 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,32,"JOSE, RELLY JR.",KBL,359,0.28 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,33,"LACSON, PING",IND,5495,4.29 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,34,"LAMBINO, RAUL",PDPLBN,515,0.4 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,35,"LAPID, LITO",NPC,5959,4.66 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,36,"LEE, MANOY WILBERT",AKSYON,270,0.21 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,37,"LIDASAN, AMIRAH",MKBYN,189,0.15 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,38,"MARCOLETA, RODANTE",IND,1515,1.18 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,39,"MARCOS, IMEE R.",NP,2209,1.73 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,40,"MARQUEZ, NORMAN",IND,326,0.25 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,41,"MARTINEZ, ERIC",IND,522,0.41 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,42,"MATA, DOC MARITES",IND,743,0.58 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,43,"MATULA, ATTY. SONNY",WPP,925,0.72 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,44,"MAZA, LIZA",MKBYN,967,0.76 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,45,"MENDOZA, HEIDI",IND,2156,1.68 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,46,"MONTEMAYOR, JOEY",IND,311,0.24 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,47,"MUSTAPHA, SUBAIR",WPP,162,0.13 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,48,"OLIVAR, JOSE JESSIE",IND,199,0.16 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,49,"ONG, DOC WILLIE",AKSYON,2380,1.86 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,50,"PACQUIAO, MANNY PACMAN",PFP,4621,3.61 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,51,"PANGILINAN, KIKO",LP,5958,4.66 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,52,"QUERUBIN, ARIEL PORFIRIO",NP,716,0.56 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,53,"QUIBOLOY, APOLLO",IND,532,0.42 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,54,"RAMOS, DANILO",MKBYN,892,0.7 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,55,"REVILLAME, WILLIE WIL",IND,4902,3.83 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,56,"RODRIGUEZ, ATTY. VIC",IND,1342,1.05 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,57,"SAHIDULLA, NUR-ANA",IND,148,0.12 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,58,"SALVADOR, PHILLIP IPE",PDPLBN,1729,1.35 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,59,"SOTTO, TITO",NPC,6466,5.05 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,60,"TAPADO, MICHAEL BONGBONG",PM,298,0.23 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,61,"TOLENTINO, FRANCIS TOL",PFP,2382,1.86 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,62,"TULFO, BEN BITAG",IND,5396,4.22 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,63,"TULFO, ERWIN",LAKAS,7068,5.52 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,64,"VALBUENA, MAR MANIBELA",IND,289,0.23 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,65,"VERCELES, LEANDRO",IND,2346,1.83 %
REGION V,CATANDUANES,CARAMORAN,SENATOR of PHILIPPINES,66,"VILLAR, CAMILLE",NP,4691,3.67 %
REGION V,CATANDUANES,CARAMORAN,PARTY LIST of PHILIPPINES,,1 4PS,,570,4.04 %
REGION V,CATANDUANES,CARAMORAN,PARTY LIST of PHILIPPINES,,2 PPP,,17,0.12 %
REGION V,CATANDUANES,CARAMORAN,PARTY LIST of PHILIPPINES,,3 FPJ PANDAY BAYANIHAN,,110,0.78 %
REGION V,CATANDUANES,CARAMORAN,PARTY LIST of PHILIPPINES,,4 KABATAAN,,83,0.59 %
REGION V,CATANDUANES,CARAMORAN,PARTY LIST of PHILIPPINES,,5 DUTERTE YOUTH,,152,1.08 %
REGION V,CATANDUANES,CARAMORAN,PARTY LIST of PHILIPPINES,,6 ML,,100,0.71 %
