region,province,city,position,rank,candidate_name,party,votes,percentage
REGION V,SORSOGON,GUBAT,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,5750,2.4 %
REGION V,SORSOGON,GUBAT,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,429,0.18 %
REGION V,SORSOGON,GUBAT,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,323,0.13 %
REGION V,SORSOGON,GUBAT,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,521,0.22 %
REGION V,SORSOGON,GUBAT,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,18083,7.55 %
REGION V,SORSOGON,GUBAT,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,2866,1.2 %
REGION V,SORSOGON,GUBAT,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,504,0.21 %
REGION V,SORSOGON,GUBAT,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,1557,0.65 %
REGION V,SORSOGON,GUBAT,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,7706,3.22 %
REGION V,SORSOGON,GUBAT,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,1762,0.74 %
REGION V,SORSOGON,GUBAT,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,6707,2.8 %
REGION V,SORSOGON,GUBAT,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,5732,2.39 %
REGION V,SORSOGON,GUBAT,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,3341,1.4 %
REGION V,SORSOGON,GUBAT,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,195,0.08 %
REGION V,SORSOGON,GUBAT,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,370,0.15 %
REGION V,SORSOGON,GUBAT,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,3788,1.58 %
REGION V,SORSOGON,GUBAT,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,3193,1.33 %
REGION V,SORSOGON,GUBAT,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,9732,4.06 %
REGION V,SORSOGON,GUBAT,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,439,0.18 %
REGION V,SORSOGON,GUBAT,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,1404,0.59 %
REGION V,SORSOGON,GUBAT,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,3225,1.35 %
REGION V,SORSOGON,GUBAT,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,5433,2.27 %
REGION V,SORSOGON,GUBAT,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,558,0.23 %
REGION V,SORSOGON,GUBAT,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,809,0.34 %
REGION V,SORSOGON,GUBAT,SENATOR of PHILIPPINES,25,"ESPIRITU, LUKE",PLM,5642,2.36 %
