region,province,city,position,rank,candidate_name,party,votes,percentage
REGION V,SORSOGON,MAGALLANES,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,3495,2.73 %
REGION V,SORSOGON,MAGALLANES,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,340,0.27 %
REGION V,SORSOGON,MAGALLANES,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,196,0.15 %
REGION V,SORSOGON,MAGALLANES,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,266,0.21 %
REGION V,SORSOGON,MAGALLANES,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,10430,8.16 %
REGION V,SORSOGON,MAGALLANES,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,2124,1.66 %
REGION V,SORSOGON,MAGALLANES,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,314,0.25 %
REGION V,SORSOGON,MAGALLANES,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,739,0.58 %
REGION V,SORSOGON,MAGALLANES,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,3460,2.71 %
REGION V,SORSOGON,MAGALLANES,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,779,0.61 %
REGION V,SORSOGON,MAGALLANES,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,4618,3.61 %
REGION V,SORSOGON,MAGALLANES,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,2693,2.11 %
REGION V,SORSOGON,MAGALLANES,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,1192,0.93 %
REGION V,SORSOGON,MAGALLANES,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,158,0.12 %
REGION V,SORSOGON,MAGALLANES,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,579,0.45 %
REGION V,SORSOGON,MAGALLANES,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,1295,1.01 %
REGION V,SORSOGON,MAGALLANES,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,1247,0.98 %
REGION V,SORSOGON,MAGALLANES,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,5150,4.03 %
REGION V,SORSOGON,MAGALLANES,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,218,0.17 %
REGION V,SORSOGON,MAGALLANES,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,616,0.48 %
