region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VII,CEBU,SAN REMIGIO,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,6460,2.29 %
REGION VII,CEBU,SAN REMIGIO,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,538,0.19 %
REGION VII,CEBU,SAN REMIGIO,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,559,0.2 %
REGION VII,CEBU,SAN REMIGIO,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,422,0.15 %
REGION VII,CEBU,SAN REMIGIO,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,11240,3.98 %
REGION VII,CEBU,SAN REMIGIO,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,1161,0.41 %
REGION VII,CEBU,SAN REMIGIO,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,750,0.27 %
REGION VII,CEBU,SAN REMIGIO,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,985,0.35 %
REGION VII,CEBU,SAN REMIGIO,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,5712,2.02 %
REGION VII,CEBU,SAN REMIGIO,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,10640,3.77 %
REGION VII,CEBU,SAN REMIGIO,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,7401,2.62 %
REGION VII,CEBU,SAN REMIGIO,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,4414,1.56 %
REGION VII,CEBU,SAN REMIGIO,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,1304,0.46 %
REGION VII,CEBU,SAN REMIGIO,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,431,0.15 %
REGION VII,CEBU,SAN REMIGIO,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,687,0.24 %
REGION VII,CEBU,SAN REMIGIO,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,1274,0.45 %
REGION VII,CEBU,SAN REMIGIO,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,1617,0.57 %
REGION VII,CEBU,SAN REMIGIO,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,9014,3.19 %
REGION VII,CEBU,SAN REMIGIO,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,385,0.14 %
REGION VII,CEBU,SAN REMIGIO,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,1157,0.41 %
REGION VII,CEBU,SAN REMIGIO,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,1413,0.5 %
REGION VII,CEBU,SAN REMIGIO,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,19144,6.78 %
REGION VII,CEBU,SAN REMIGIO,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,489,0.17 %
REGION VII,CEBU,SAN REMIGIO,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,631,0.22 %
REGION VII,CEBU,SAN REMIGIO,SENATOR of PHILIPPINES,25,"ESPIRITU, LUKE",PLM,2212,0.78 %
REGION VII,CEBU,SAN REMIGIO,SENATOR of PHILIPPINES,26,"FLORANDA, MODY PISTON",MKBYN,448,0.16 %
REGION VII,CEBU,SAN REMIGIO,SENATOR of PHILIPPINES,27,"GAMBOA, MARC LOUIE",IND,437,0.15 %
REGION VII,CEBU,SAN REMIGIO,SENATOR of PHILIPPINES,28,"GO, BONG GO",PDPLBN,22680,8.03 %
REGION VII,CEBU,SAN REMIGIO,SENATOR of PHILIPPINES,29,"GONZALES, NORBERTO",PDSP,659,0.23 %
REGION VII,CEBU,SAN REMIGIO,SENATOR of PHILIPPINES,30,"HINLO, JAYVEE",PDPLBN,7519,2.66 %
REGION VII,CEBU,SAN REMIGIO,SENATOR of PHILIPPINES,31,"HONASAN, GRINGO",RP,3733,1.32 %
REGION VII,CEBU,SAN REMIGIO,SENATOR of PHILIPPINES,32,"JOSE, RELLY JR.",KBL,374,0.13 %
REGION VII,CEBU,SAN REMIGIO,SENATOR of PHILIPPINES,33,"LACSON, PING",IND,8270,2.93 %
REGION VII,CEBU,SAN REMIGIO,SENATOR of PHILIPPINES,34,"LAMBINO, RAUL",PDPLBN,8122,2.88 %
