region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VIII,LEYTE,ABUYOG,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,6193,2.69 %
REGION VIII,LEYTE,ABUYOG,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,478,0.21 %
REGION VIII,LEYTE,ABUYOG,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,483,0.21 %
REGION VIII,LEYTE,ABUYOG,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,315,0.14 %
REGION VIII,LEYTE,ABUYOG,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,7171,3.12 %
REGION VIII,LEYTE,ABUYOG,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,955,0.42 %
REGION VIII,LEYTE,ABUYOG,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,446,0.19 %
REGION VIII,LEYTE,ABUYOG,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,807,0.35 %
REGION VIII,LEYTE,ABUYOG,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,5235,2.28 %
REGION VIII,LEYTE,ABUYOG,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,8788,3.82 %
REGION VIII,LEYTE,ABUYOG,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,7106,3.09 %
REGION VIII,LEYTE,ABUYOG,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,3415,1.48 %
REGION VIII,LEYTE,ABUYOG,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,1095,0.48 %
REGION VIII,LEYTE,ABUYOG,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,305,0.13 %
REGION VIII,LEYTE,ABUYOG,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,468,0.2 %
REGION VIII,LEYTE,ABUYOG,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,1094,0.48 %
REGION VIII,LEYTE,ABUYOG,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,1059,0.46 %
REGION VIII,LEYTE,ABUYOG,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,5574,2.42 %
REGION VIII,LEYTE,ABUYOG,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,328,0.14 %
REGION VIII,LEYTE,ABUYOG,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,815,0.35 %
REGION VIII,LEYTE,ABUYOG,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,1187,0.52 %
REGION VIII,LEYTE,ABUYOG,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,17649,7.67 %
REGION VIII,LEYTE,ABUYOG,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,423,0.18 %
REGION VIII,LEYTE,ABUYOG,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,454,0.2 %
REGION VIII,LEYTE,ABUYOG,SENATOR of PHILIPPINES,25,"ESPIRITU, LUKE",PLM,2017,0.88 %
REGION VIII,LEYTE,ABUYOG,SENATOR of PHILIPPINES,26,"FLORANDA, MODY PISTON",MKBYN,331,0.14 %
REGION VIII,LEYTE,ABUYOG,SENATOR of PHILIPPINES,27,"GAMBOA, MARC LOUIE",IND,308,0.13 %
REGION VIII,LEYTE,ABUYOG,SENATOR of PHILIPPINES,28,"GO, BONG GO",PDPLBN,19484,8.47 %
REGION VIII,LEYTE,ABUYOG,SENATOR of PHILIPPINES,29,"GONZALES, NORBERTO",PDSP,485,0.21 %
REGION VIII,LEYTE,ABUYOG,SENATOR of PHILIPPINES,30,"HINLO, JAYVEE",PDPLBN,6372,2.77 %
REGION VIII,LEYTE,ABUYOG,SENATOR of PHILIPPINES,31,"HONASAN, GRINGO",RP,2999,1.3 %
REGION VIII,LEYTE,ABUYOG,SENATOR of PHILIPPINES,32,"JOSE, RELLY JR.",KBL,250,0.11 %
REGION VIII,LEYTE,ABUYOG,SENATOR of PHILIPPINES,33,"LACSON, PING",IND,5871,2.55 %
REGION VIII,LEYTE,ABUYOG,SENATOR of PHILIPPINES,34,"LAMBINO, RAUL",PDPLBN,6965,3.03 %
REGION VIII,LEYTE,ABUYOG,SENATOR of PHILIPPINES,35,"LAPID, LITO",NPC,6417,2.79 %
REGION VIII,LEYTE,ABUYOG,SENATOR of PHILIPPINES,36,"LEE, MANOY WILBERT",AKSYON,364,0.16 %
REGION VIII,LEYTE,ABUYOG,SENATOR of PHILIPPINES,37,"LIDASAN, AMIRAH",MKBYN,201,0.09 %
REGION VIII,LEYTE,ABUYOG,SENATOR of PHILIPPINES,38,"MARCOLETA, RODANTE",IND,8451,3.67 %
REGION VIII,LEYTE,ABUYOG,SENATOR of PHILIPPINES,39,"MARCOS, IMEE R.",NP,8947,3.89 %
