region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,8017,4.09 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,507,0.26 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,555,0.28 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,532,0.27 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,8245,4.2 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,1026,0.52 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,627,0.32 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,786,0.4 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,8248,4.2 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,3292,1.68 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,8196,4.18 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,2925,1.49 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,1209,0.62 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,341,0.17 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,15,"CAPUYAN, ALLEN",PPP,478,0.24 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,16,"CASIÑO, TEDDY",MKBYN,985,0.5 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,17,"CASTRO, TEACHER FRANCE",MKBYN,990,0.5 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,18,"CAYETANO, PIA",NP,8571,4.37 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,19,"D'ANGELO, DAVID",BUNYOG,311,0.16 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,20,"DE ALBAN,ATTORNEY ANGELO",IND,752,0.38 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,21,"DE GUZMAN, KA LEODY",PLM,1078,0.55 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,22,"DELA ROSA, BATO",PDPLBN,7101,3.62 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,23,"DORINGO, NANAY MIMI",MKBYN,360,0.18 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,24,"ESCOBAL, ARNEL",PM,464,0.24 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,25,"ESPIRITU, LUKE",PLM,1910,0.97 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,26,"FLORANDA, MODY PISTON",MKBYN,325,0.17 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,27,"GAMBOA, MARC LOUIE",IND,295,0.15 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,28,"GO, BONG GO",PDPLBN,12906,6.58 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,29,"GONZALES, NORBERTO",PDSP,418,0.21 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,30,"HINLO, JAYVEE",PDPLBN,2095,1.07 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,31,"HONASAN, GRINGO",RP,1945,0.99 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,32,"JOSE, RELLY JR.",KBL,263,0.13 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,33,"LACSON, PING",IND,8322,4.24 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,34,"LAMBINO, RAUL",PDPLBN,2231,1.14 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,35,"LAPID, LITO",NPC,9901,5.05 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,36,"LEE, MANOY WILBERT",AKSYON,383,0.2 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,37,"LIDASAN, AMIRAH",MKBYN,215,0.11 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,38,"MARCOLETA, RODANTE",IND,4039,2.06 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,39,"MARCOS, IMEE R.",NP,8204,4.18 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,40,"MARQUEZ, NORMAN",IND,447,0.23 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,41,"MARTINEZ, ERIC",IND,528,0.27 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,42,"MATA, DOC MARITES",IND,1556,0.79 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,43,"MATULA, ATTY. SONNY",WPP,834,0.42 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,44,"MAZA, LIZA",MKBYN,999,0.51 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,45,"MENDOZA, HEIDI",IND,2709,1.38 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,46,"MONTEMAYOR, JOEY",IND,285,0.15 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,47,"MUSTAPHA, SUBAIR",WPP,549,0.28 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,48,"OLIVAR, JOSE JESSIE",IND,208,0.11 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,49,"ONG, DOC WILLIE",AKSYON,2864,1.46 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,50,"PACQUIAO, MANNY PACMAN",PFP,5901,3.01 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,51,"PANGILINAN, KIKO",LP,7702,3.92 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,52,"QUERUBIN, ARIEL PORFIRIO",NP,1990,1.01 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,53,"QUIBOLOY, APOLLO",IND,1312,0.67 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,54,"RAMOS, DANILO",MKBYN,1029,0.52 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,55,"REVILLAME, WILLIE WIL",IND,4800,2.45 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,56,"RODRIGUEZ, ATTY. VIC",IND,2580,1.31 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,57,"SAHIDULLA, NUR-ANA",IND,175,0.09 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,58,"SALVADOR, PHILLIP IPE",PDPLBN,3126,1.59 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,59,"SOTTO, TITO",NPC,6684,3.41 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,60,"TAPADO, MICHAEL BONGBONG",PM,345,0.18 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,61,"TOLENTINO, FRANCIS TOL",PFP,4404,2.24 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,62,"TULFO, BEN BITAG",IND,6019,3.07 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,63,"TULFO, ERWIN",LAKAS,11420,5.82 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,64,"VALBUENA, MAR MANIBELA",IND,312,0.16 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,65,"VERCELES, LEANDRO",IND,125,0.06 %
REGION VIII,SAMAR,BASEY,SENATOR of PHILIPPINES,66,"VILLAR, CAMILLE",NP,8295,4.23 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,1 4PS,,666,2.79 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,2 PPP,,15,0.06 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,3 FPJ PANDAY BAYANIHAN,,65,0.27 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,4 KABATAAN,,79,0.33 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,5 DUTERTE YOUTH,,594,2.49 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,6 ML,,73,0.31 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,7 PBBM,,32,0.13 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,8 P3PWD,,91,0.38 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,9 MURANG KURYENTE,,23,0.1 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,10 BICOL SARO,,15,0.06 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,11 IPATUPAD,,27,0.11 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,12 PATROL,,6,0.03 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,13 JUAN PINOY,,10,0.04 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,14 ARTE,,16,0.07 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,15 WIFI,,44,0.18 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,16 MAAGAP,,22,0.09 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,17 UNITED SENIOR CITIZENS,,380,1.59 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,18 EPANAW SAMBAYANAN,,35,0.15 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,19 AKO PADAYON,,10,0.04 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,20 TUCP,,2,0.01 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,21 ACT TEACHERS,,83,0.35 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,22 1PACMAN,,25,0.1 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,23 TGP,,25,0.1 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,24 DUMPER PTDA,,6,0.03 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,25 ANAKALUSUGAN,,4,0.02 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,26 AKSYON DAPAT,,20,0.08 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,27 BHW,,233,0.98 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,28 SULONG DIGNIDAD,,3,0.01 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,29 BATANG QUIAPO,,18,0.08 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,30 PBA,,2,0.01 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,31 GILAS,,1,0 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,32 AKO ILOCANO AKO,,1,0 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,33 PAMILYANG MAGSASAKA,,16,0.07 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,34 CLICK PARTY,,1,0 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,35 ABANTE BISDAK,,1,0 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,36 MANILA TEACHERS,,62,0.26 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,37 PAMANA,,2,0.01 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,38 NANAY,,8,0.03 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,39 KM NGAYON NA,,1,0 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,40 BABAE AKO,,19,0.08 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,41 ARISE,,7,0.03 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,42 MAGDALO,,14,0.06 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,43 APEC,,178,0.75 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,44 MAGBUBUKID,,14,0.06 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,45 SSS-GSIS PENSYONADO,,29,0.12 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,46 GABRIELA,,96,0.4 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,47 TINGOG,,17100,71.65 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,48 APAT-DAPAT,,58,0.24 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,49 AHON MAHIRAP,,18,0.08 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,50 UGB,,433,1.81 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,51 AKBAYAN,,342,1.43 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,52 AGIMAT,,5,0.02 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,53 PHILRECA,,6,0.03 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,54 KAPUSO PM,,4,0.02 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,55 ILOCANO DEFENDERS,,10,0.04 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,56 1-RIDER PARTY-LIST,,33,0.14 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,57 TICTOK,,4,0.02 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,59 BAYAN MUNA,,29,0.12 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,60 ANG PROBINSIYANO,,14,0.06 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,61 BANAT,,2,0.01 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,62 SBP,,5,0.02 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,63 BUHAY,,10,0.04 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,64 TULUNGAN TAYO,,8,0.03 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,65 SAGIP,,13,0.05 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,66 BTS BAYANING TSUPER,,2,0.01 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,67 VENDORS,,22,0.09 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,68 ACT-CIS,,159,0.67 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,69 AKTIBONG KAAGAPAY,,0,0 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,70 ASENSO PINOY,,8,0.03 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,71 SOLO PARENTS,,12,0.05 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,72 ANG KOMADRONA,,16,0.07 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,73 PROMDI,,2,0.01 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,74 PUSONG PINOY,,9,0.04 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,75 KUSUG TAUSUG,,0,0 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,76 DAMAYANG FILIPINO,,1,0 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,77 MPBL,,6,0.03 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,78 ANGAT,,6,0.03 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,79 KALINGA,,41,0.17 %
REGION VIII,SAMAR,BASEY,PARTY LIST of PHILIPPINES,,80 BOSES PARTY-LIST,,86,0.36 %
