region,province,city,position,rank,candidate_name,party,votes,percentage
REGION VIII,SOUTHERN LEYTE,PINTUYAN,SENATOR of PHILIPPINES,1,"ABALOS, BENHUR",PFP,646,1.52 %
REGION VIII,SOUTHERN LEYTE,PINTUYAN,SENATOR of PHILIPPINES,2,"ADONIS, JEROME",MKBYN,53,0.13 %
REGION VIII,SOUTHERN LEYTE,PINTUYAN,SENATOR of PHILIPPINES,3,"AMAD, WILSON",IND,66,0.16 %
REGION VIII,SOUTHERN LEYTE,PINTUYAN,SENATOR of PHILIPPINES,4,"ANDAMO, NARS ALYN",MKBYN,52,0.12 %
REGION VIII,SOUTHERN LEYTE,PINTUYAN,SENATOR of PHILIPPINES,5,"AQUINO, BAM",KNP,1192,2.81 %
REGION VIII,SOUTHERN LEYTE,PINTUYAN,SENATOR of PHILIPPINES,6,"ARAMBULO, RONNEL",MKBYN,168,0.4 %
REGION VIII,SOUTHERN LEYTE,PINTUYAN,SENATOR of PHILIPPINES,7,"ARELLANO, ERNESTO",KTPNAN,67,0.16 %
REGION VIII,SOUTHERN LEYTE,PINTUYAN,SENATOR of PHILIPPINES,8,"BALLON, ROBERTO",IND,138,0.33 %
REGION VIII,SOUTHERN LEYTE,PINTUYAN,SENATOR of PHILIPPINES,9,"BINAY, ABBY",NPC,696,1.64 %
REGION VIII,SOUTHERN LEYTE,PINTUYAN,SENATOR of PHILIPPINES,10,"BONDOC, JIMMY",PDPLBN,2228,5.26 %
REGION VIII,SOUTHERN LEYTE,PINTUYAN,SENATOR of PHILIPPINES,11,"BONG REVILLA,RAMON, JR.",LAKAS,819,1.93 %
REGION VIII,SOUTHERN LEYTE,PINTUYAN,SENATOR of PHILIPPINES,12,"BOSITA, COLONEL",IND,592,1.4 %
REGION VIII,SOUTHERN LEYTE,PINTUYAN,SENATOR of PHILIPPINES,13,"BROSAS, ARLENE",MKBYN,174,0.41 %
REGION VIII,SOUTHERN LEYTE,PINTUYAN,SENATOR of PHILIPPINES,14,"CABONEGRO, ROY",DPP,50,0.12 %
